source,score,level,source_original
AAK1,-0.7507420369633865,3,AAK1
AANAT,0.44810986753283605,4,AANAT
AATK,0.5376471974265216,5,AATK
ABL1,-1.3973370312217024,2,ABL1
ABL2,0.6762237946452239,3,ABL2
ACAT1,-1.1422151977192745,5,ACAT1
ACE2,-1.3219612515143888,6,ACE2
ACP1,-0.9925329882497533,2,ACP1
ACTB,1.1664438597938624,3,ACTB
ACTN1,-1.8564752256445065,4,ACTN1
ACTR2,-1.5884678534908596,5,ACTR2
ACVR1,-1.2442561315178566,4,ACVR1
ACVR2A,-1.8358161186639936,5,ACVR2A
ACVR2B,-1.9211814097260156,4,ACVR2B
ACVRL1,-1.2442561315178566,4,ACVRL1
ADA,-0.654982012861568,5,ADA
ADAM12,0.7660379168318425,4,ADAM12
ADAM15,2.3260795673630277,4,ADAM15
ADAM17,1.0128480121144576,3,ADAM17
ADAM23,1.6568912056747152,4,ADAM23
ADAM9,1.4626295042073607,4,ADAM9
ADAMTS13,-1.7988037134821624,5,ADAMTS13
ADNP,-0.9925329882497533,2,ADNP
ADRA1A,1.152727799937231,3,ADRA1A
ADRB2,1.152727799937231,3,ADRB2
ADRM1,-0.9925329882497533,2,ADRM1
AGT,-1.5993499303717456,5,AGT
AGTR1,-1.51806287129022,4,AGTR1
AHSA1,-2.0541191297494623,4,AHSA1
AIMP1,-0.7507420369633865,3,AIMP1
AKAP5,-0.31390376178970064,3,AKAP5
AKAP8,-0.9925329882497533,2,AKAP8
AKT1S1,0.6490894161536424,5,AKT1S1
AKT2,-1.4525212186400178,2,AKT2
AKT3,-0.8745522382767195,3,AKT3
ALDH2,-0.9925329882497533,2,ALDH2
ALK,-1.3498681284380327,4,ALK
AMER1,1.3134360038867139,2,AMER1
AMH,-1.4208047531231143,5,AMH
AMHR2,-1.4208047531231143,5,AMHR2
AMOT,0.9925329882497533,2,AMOT
ANAPC1,0.9925329882497533,2,ANAPC1
ANGPT1,-1.0878300751571799,5,ANGPT1
ANK2,-1.2917822042613594,5,ANK2
ANK3,1.2798074892834703,3,ANK3
ANKRD26,-0.8306014624335362,4,ANKRD26
ANKRD6,1.1924171033915432,3,ANKRD6
