source,target,sign
ABL2,CRK,-1
ABL2,PDGFRB,-1
ACAT1,parent_of_SMAD1-1,-1
ACE2,AGT,1
ACTR2,parent_of_SMAD21_____SMAD31,1
ACVR1,SMAD1,1
ACVR1,VPS39,1
ACVR1,parent_of_SMAD41,1
ACVR2A,ACVR1,1
ACVR2A,parent_of_SMAD21_____SMAD31,1
ACVR2B,ACVR1,1
ACVR2B,ACVRL1,1
ACVR2B,BMPR1A,1
ACVR2B,BMPR1B,1
ACVR2B,SMAD2,1
ACVR2B,SMAD3,1
ACVR2B,parent_of_SMAD21_____SMAD31,1
ACVRL1,SMAD1,1
ADAM12,PIK3CA,1
ADRA1A,GNAQ,1
ADRB2,GNAQ,1
ADRB2,GNAS,1
ADRB2,GNB2,1
AGT,AGTR1,1
AGT,parent_of_AGT1,1
AGT,parent_of_GNAQ1,1
AGTR1,GNAI1,1
AGTR1,GNAQ,1
AIMP1,SMURF2,1
AKT1,ADRB2,-1
AKT1,BRAF,-1
AKT1,BRCA1,1
AKT1,CHEK1,-1
AKT1,DAB2IP,-1
AKT1,GSK3B,-1
AKT1,HSPB1,-1
AKT1,IKBKB,1
AKT1,IRAK1,-1
AKT1,KHSRP,-1
AKT1,MST1,1
AKT1,MST1R,1
AKT1,PRKAA1,-1
AKT1,RAF1,-1
AKT1,SH3RF1,-1
AKT1,SMAD3,1
AKT1,USP4,1
AKT1,parent_of_APOA11,1
AKT3,BRAF,-1
AKT3,CHUK,1
AKT3,GSK3B,-1
AKT3,HSPB1,-1
AMER1,CSNK1G1,1
AMER1,GSK3B,1
AMER1,LRP6,1
AMH,ACVR1,1
AMH,AMHR2,1
AMH,BMPR1B,1
AMHR2,ACVR1,1
AMHR2,BMPR1B,1
ANK2,parent_of_TGFBR11,1
ANK3,GABARAP,1
ANK3,parent_of_PRKCA1,1
APEX1,parent_of_PTH1R1,-1
APH1A,PSEN1,1
APH1A,PSENEN,1
APH1B,NCSTN,1
APH1B,PSEN1,1
APH1B,PSENEN,1
APOE,LRP5,1
APPL1,STK11,1
ARAF,MAP2K1,1
ARF6,PLD1,1
ARHGAP1,CDC42,-1
ARHGAP32,ARHGAP1,-1
ARHGAP32,CDC42,1
ARHGAP32,CRK,1
ARHGAP32,CRKL,1
ARHGAP32,SRC,1
ARRB1,ADRB2,-1
ARRB1,DVL1,1
ARRB1,DVL2,1
ARRB1,F2RL1,-1
ARRB1,FZD1,1
ARRB1,GNAI1,-1
ARRB1,GNAI2,-1
ARRB1,SMO,1
ARRB2,ADRB2,-1
ARRB2,GNAI1,-1
ARRB2,GNAI2,-1
ARRB2,INPP5D,1
ASB3,TNFRSF1B,-1
ATE1,parent_of_EIF2AK3-1_____ERN1-1,-1
ATF1,SH3RF1,1
ATM,ATF1,-1
ATM,BRCA1,1
ATM,CHEK1,1
ATM,CHEK2,1
ATM,HERC2,1
ATM,IKBKG,1
ATM,KHSRP,1
ATM,L3MBTL2,1
ATM,MDC1,1
ATM,SMAD1,1
ATM,STK11,1
ATM,TRAF6,1
ATM,parent_of_RAF11,1
ATM,parent_of_STK31_____STK41,1
AURKB,RB1,1
AXIN2,GSK3B,1
BAG2,RAF1,1
BAG2,STUB1,1
BCORL1,HDAC7,1
BCR,YWHAQ,1
BDKRB1,GNAQ,1
BDKRB1,parent_of_DVL11,1
BMP4,ACVR1,1
BMP4,ACVR2A,1
BMP4,BMPR1A,1
BMP4,BMPR1B,1
BMP4,BMPR2,1
BMP5,BMPR1A,1
BMP6,ACVR1,1
BMP6,ACVR2A,1
BMP6,ACVR2B,1
BMP6,AMHR2,1
BMP6,BMPR1A,1
BMP6,BMPR1B,1
BMP6,BMPR2,1
BMP8A,ACVR2A,1
BMP8A,ACVR2B,1
BMP8A,BMPR1A,1
BMP8A,BMPR1B,1
BMP8A,BMPR2,1
BMP8B,ACVR1,1
BMP8B,BMPR1A,1
BMPR1A,BMPR1B,1
BMPR1A,SMAD1,1
BMPR1A,parent_of_SMAD41,1
BMPR1B,SMAD1,1
BMPR1B,parent_of_SMAD41,1
BMPR2,ACVR1,1
BMPR2,BMPR1A,1
BMPR2,BMPR1B,1
BRAF,MAP2K1,1
BRAF,MAP4K1,1
BRSK1,CAST,1
BTF3,EPHB2,1
BTF3,parent_of_GALR21,-1
CAMK1,ATF1,1
CAMK1,PPME1,-1
CAMK2G,ATF1,1
CAMK2G,MAP3K7,1
CAPN2,F2RL1,-1
CAPN2,GSK3B,1
CAPN3,GSK3B,1
CAPNS1,CAPN2,1
CAPRIN2,LRP6,1
CAPRIN2,OXT,1
CARD11,MALT1,1
CASP1,CASP7,1
CASP1,FGF2,1
CASP1,NLRC4,-1
CASP1,PSEN1,1
CASP7,ITGB4,-1
CASP7,PSEN1,1
CASP8,MAP3K14,-1
CASP8,PSEN1,1
CASP8,RIPK1,-1
CASP8,TP73,1
CASP8,parent_of_TRAF21,-1
