source,score,level,source_original
AAK1,-0.5436617838704326,4,AAK1
AATK,0.5528488246987048,3,AATK
ABL1,-0.5720785154391816,2,ABL1
ABL2,-0.2631929075446947,3,ABL2
ACTB,0.4566106541909275,3,ACTB
ACTN1,-0.8067284490470262,3,ACTN1
ACTR2,-0.8579280790519063,4,ACTR2
ACVR2A,-0.8579280790519063,4,ACVR2A
ACVR2B,-0.6622391386491115,3,ACVR2B
ADAM12,-1.3547069957069138,4,ADAM12
ADAM15,-0.8990196539028928,4,ADAM15
ADAM9,-0.9131090481681657,4,ADAM9
ADAMTS13,0.8221284340758583,5,ADAMTS13
ADCY5,-0.6981520928981142,4,ADCY5
ADRB2,-0.3928186893090814,3,ADRB2
ADRM1,-0.8579280790519063,4,ADRM1
AFAP1L2,-0.7552011366081723,4,AFAP1L2
AHSA1,-0.27529581625956845,3,AHSA1
AKAP5,-0.9372000857983752,3,AKAP5
AKAP8,-0.9372000857983752,3,AKAP8
AKT3,-0.6571864767451593,2,AKT3
ALDH2,0.6932066937924676,4,ALDH2
ANK2,-0.6764201391349698,5,ANK2
ANK3,0.6186327359793464,3,ANK3
ANKRD26,2.5469597701769775,4,ANKRD26
ANXA1,-0.3072193087053045,5,ANXA1
APAF1,0.9156708859038745,4,APAF1
APBB1,1.5051854310703177,6,APBB1
APC2,-0.5845950163900605,2,APC2
APEX1,-0.39858146804188654,3,APEX1
APH1A,0.6186327359793464,3,APH1A
APH1B,0.6186327359793464,3,APH1B
APIP,-1.095989892876957,5,APIP
APOE,-0.45951989613122896,3,APOE
APPL1,0.5246401100337846,3,APPL1
AR,-0.41257862381945754,2,AR
ARAF,-0.5885829479822139,2,ARAF
AREL1,-0.6992112646483385,4,AREL1
ARHGAP32,-0.26493696238440284,3,ARHGAP32
ARHGEF2,-0.7083383992116159,3,ARHGEF2
ARHGEF6,-0.8016997087612951,3,ARHGEF6
ARRB1,-0.2561325061887202,3,ARRB1
ARRB2,1.134564255397467,4,ARRB2
ASB2,1.9737511316325993,4,ASB2
ASB3,1.8728491077022351,5,ASB3
ASB9,-0.8468726937592346,5,ASB9
ASH2L,1.2349328102750312,4,ASH2L
ASXL1,0.8986061203828093,4,ASXL1
ASXL2,-1.610114501109633,4,ASXL2
ASXL3,0.4051695967055031,2,ASXL3
ATF1,-0.4918702108442044,3,ATF1
ATG3,0.43437801889866295,4,ATG3
ATG4A,-0.9947322549305221,6,ATG4A
ATG7,0.5993944744718938,5,ATG7
ATM,2.8884069520077316,2,ATM
ATP6AP1,-0.7106940411020889,4,ATP6AP1
ATR,2.41340782448104,2,ATR
AURKB,1.9342968357717332,3,AURKB
AUTS2,-0.6467198770911362,4,AUTS2
AXIN1,-0.252301564931252,1,AXIN1
BAD,-0.46157079190182293,4,BAD
BAG1,-1.5073960055395532,4,BAG1
BAG2,0.6186327359793464,3,BAG2
BAG5,1.702860372322587,4,BAG5
BAK1,0.6992112646483385,4,BAK1
BAMBI,-0.2814190631865947,3,BAMBI
BAP1,0.6166175788787172,3,BAP1
BAX,0.6992112646483385,4,BAX
BCAR1,-0.40194919430949205,3,BCAR1
BCAR3,-0.8016997087612951,3,BCAR3
BCL2,0.32780756240711384,4,BCL2
BCL2L1,-0.41566046611942076,4,BCL2L1
BCL2L2,-1.2358118798771722,5,BCL2L2
BCL3,0.6932066937924676,4,BCL3
BCL6,0.433601115311036,5,BCL6
BCOR,0.6932066937924676,4,BCOR
BCORL1,1.5585420736405782,5,BCORL1
BCR,0.5081388868244323,3,BCR
BDKRB1,-0.3928186893090814,3,BDKRB1
BDNF,-0.7600389495913741,4,BDNF
BECN1,-0.27529581625956845,3,BECN1
BID,2.03076126344739,5,BID
BIRC2,-0.43184614180940933,3,BIRC2
BIRC3,-0.2573681686167673,3,BIRC3
BIRC5,-0.6143700488628271,3,BIRC5
BIRC6,-1.3443490692239057,4,BIRC6
BIRC7,-1.4091202358014483,5,BIRC7
BLVRA,-0.9230847748785024,3,BLVRA
BMP1,-1.3595150074151823,5,BMP1
BMP6,-0.8579280790519063,4,BMP6
BMP8A,-0.8579280790519063,4,BMP8A
BRAF,-0.49483454261087223,3,BRAF
BRAP,-0.8690823351930695,4,BRAP
BRCA1,0.9559916364790306,3,BRCA1
BRD2,3.2885745906777997,5,BRD2
BRIP1,1.359542072920076,4,BRIP1
BRSK1,-1.8772006203629643,4,BRSK1
BTG2,-3.622682449016034,4,BTG2
C1QBP,0.8964521451634705,4,C1QBP
CABIN1,-1.2098781129422405,3,CABIN1
CABP1,-1.2098781129422405,3,CABP1
CAMK1,-0.9436716891054524,2,CAMK1
CAMK2A,0.9436716891054524,2,CAMK2A
CAMK2D,-0.9436716891054524,2,CAMK2D
CAMK4,-0.9436716891054524,2,CAMK4
CAMKK1,-0.2567297579549325,2,CAMKK1
CAMKK2,-0.2567297579549325,2,CAMKK2
CAMP,-0.5456738739955102,3,CAMP
CAPN1,0.5779862774052766,2,CAPN1
CAPN2,0.5779862774052766,2,CAPN2
CAPN3,0.5779862774052766,2,CAPN3
CAPNS1,0.8067284490470262,3,CAPNS1
CARD11,-1.0609503146614394,5,CARD11
CARD8,-0.9156708859038745,4,CARD8
CARD9,-0.9030621208623545,2,CARD9
CARM1,-0.40700241044043517,2,CARM1
CASP1,0.6356577772062608,3,CASP1
CASP10,0.6143700488628271,3,CASP10
CASP12,0.5646059109131564,4,CASP12
CASP2,0.6166175788787172,3,CASP2
CASP3,0.40312541423561826,2,CASP3
CASP4,0.9197991607123343,4,CASP4
CASP5,-1.1270000142499483,4,CASP5
CASP7,0.6817090478363047,3,CASP7
CASP8,0.4051695967055031,2,CASP8
CASP8AP2,0.6166175788787172,3,CASP8AP2
CASP9,0.6326474810555129,3,CASP9
CAST,-1.4037247068515275,3,CAST
CAV1,0.41257862381945754,2,CAV1
CBL,0.7040177941327166,3,CBL
CBLB,0.645811701893332,3,CBLB
CBLC,0.6799776916613098,4,CBLC
CCL7,-0.893688830701633,4,CCL7
CCNF,0.613163920458096,4,CCNF
CCP110,0.5851314131256676,4,CCP110
CD247,-0.5528488246987048,3,CD247
CD28,-1.4756918541020099,4,CD28
CD3E,-0.804927563098446,4,CD3E
CD40,-0.430698268331481,3,CD40
CDC7,0.560784035346722,5,CDC7
CDK1,-0.38781089486409115,2,CDK1
CDK10,-1.018912198170157,4,CDK10
CDK3,-0.8652903741365834,3,CDK3
CDK4,-0.41257862381945754,2,CDK4
CDK5,0.8688587573104992,3,CDK5
CDK5R1,1.558186267960271,4,CDK5R1
CDKN1A,0.37931742485163494,3,CDKN1A
CDKN2A,0.488185863697116,2,CDKN2A
CDKN2C,0.6356577772062608,3,CDKN2C
CDON,-0.6596542612206265,2,CDON
CEBPA,-0.2814190631865947,3,CEBPA
CEBPB,-0.9436716891054524,2,CEBPB
CFLAR,-0.6166175788787172,3,CFLAR
CHEK2,3.05183222884927,1,CHEK2
CHFR,0.4096559077118856,1,CHFR
CHN1,0.5081388868244323,3,CHN1
CLK2,1.6708587130280277,3,CLK2
CNOT9,-0.5286268769568182,5,CNOT9
CNR1,-0.7147939470162695,4,CNR1
COL18A1,-0.8990196539028928,4,COL18A1
COL1A1,-0.8990196539028928,4,COL1A1
COL1A2,-0.9453470876866517,4,COL1A2
COL2A1,-0.9453470876866517,4,COL2A1
COL3A1,-1.1112148924102465,4,COL3A1
