source,target,sign
ABL1,BTK,-1
ABL1,CASP9,1
ABL1,CAV1,1
ABL1,CBL,1
ABL1,DOK1,1
ABL1,EPHB2,1
ABL1,ESR1,1
ABL1,GRAP,1
ABL1,JAK2,1
ABL1,PDGFRB,1
ABL1,PRKCD,1
ABL1,RACK1,1
ABL1,RB1,-1
ABL1,STAT6,1
ABL1,VAV2,1
ABL1,parent_of_ACTB1,1
ABL1,parent_of_CBL1,1
ABL1,parent_of_RAC1-1_____RHOA-1,1
ABL1,parent_of_XBP1-1,-1
ACAA2,BNIP3,-1
ACE2,APLN,1
ACTB,ABL1,-1
ACTB,parent_of_ACTB1,1
ADA,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1_____GNB21,1
ADAM12,PIK3CA,1
ADAM12,parent_of_CSK1,1
ADAM23,ITGA5,1
ADAM23,ITGB3,1
ADAM9,FGFR2,-1
ADAM9,parent_of_CSK1,1
ADAM9,parent_of_CSK1_____PTK21_____SRC1,1
ADRA1A,GNA11,1
ADRA1A,GNA13,1
ADRA1A,GNAS,1
ADRB2,GNAS,1
AFAP1L2,PIK3CA,1
AGT,AGTR1,1
AGT,LRP2,1
AGTR1,GNA13,1
AGTR1,GNAI1,1
ANGPT1,TEK,1
ANGPT1,TIE1,1
ANXA1,parent_of_GNAI11_____GNAI31,1
APAF1,CASP9,1
APIP,APAF1,-1
APLN,parent_of_GNAI11_____GNAI31,1
ARHGAP1,RHOA,-1
ARHGAP32,ARHGAP1,-1
ARHGAP32,RHOA,1
ARHGAP32,SRC,1
ARHGEF2,ARHGAP1,1
ARHGEF2,RHOA,1
ARRB2,ADRB2,-1
ARRB2,GNAI1,-1
ARRB2,GNAI2,-1
ARRB2,INPP5D,1
ARRB2,parent_of_GNAL1_____GNAS1,-1
ASB9,parent_of_ACTB1,-1
AXL,GRAP,1
AXL,PIK3CG,1
AXL,SOCS1,1
BCL2,BID,-1
BCL2,parent_of_BCL2L1-1,-1
BCL2L1,APAF1,-1
BCL2L1,CASP9,-1
BCL2L2,parent_of_BCL2L1-1,-1
BDKRB1,GNA11,1
BDKRB1,GNAI1,1
BDKRB1,GNAS,1
BDNF,NTRK2,1
BID,BCL2L1,-1
BID,BCL2L2,-1
BID,COX5B,1
BID,parent_of_APAF11_____CASP91,1
BIRC6,CASP7,-1
BIRC6,CASP9,-1
BMF,BCL2,-1
BMF,BCL2L1,-1
BMF,BCL2L2,-1
BNIP3,BCL2,-1
BNIP3,BCL2L1,-1
BRCA1,ABL1,-1
BRIP1,BRCA1,1
BTF3,EPHB2,1
BTF3,parent_of_GALR21,-1
BTK,PIK3AP1,1
BTK,parent_of_PTK21,1
C3,parent_of_CSK1,1
CAMK1,PPME1,-1
CAMK1,SYN1,-1
CARD8,APAF1,-1
CARD8,CASP9,-1
CASP12,CASP7,1
CASP12,CASP9,1
CASP7,ITGB4,-1
CASP7,LYN,-1
CASP9,CASP7,1
CASP9,LYN,-1
CAV1,PDGFRA,1
CAV1,PDGFRB,1
CAV1,PPP2CA,-1
CBFB,RUNX1,1
CBL,ITGA5,-1
CBL,KIT,-1
CBL,LYN,-1
CBL,PDGFRA,1
CBL,PIK3CA,-1
CBLB,FYN,-1
CBLB,KIT,-1
CBLB,LCK,-1
CBLB,PIK3CA,-1
CBLB,SRC,-1
CBLB,SYK,-1
CBLB,VAV2,-1
CCL7,parent_of_GNAI11_____GNAI21_____GNAI31_____JAK31,-1
CD22,SH2B1,1
CD28,CBLB,-1
CD28,PIK3CG,1
CD4,LCK,1
CD4,parent_of_GNAI11_____GNAI21_____GNAI31_____JAK31,1
CDK3,RB1,-1
CDON,ABL1,1
CFH,C3,-1
CFH,CFI,1
CFHR1,C3,1
CFHR1,CFH,-1
CFI,C3,-1
CHRM4,GNAI1,1
CHRM5,GNAI1,1
CLK1,ABL1,-1
CLK1,PTPN1,1
CLK2,PTPN1,1
CLK4,ABL1,-1
CLN8,PPP2CA,1
CLN8,SET,-1
CNOT9,GIGYF2,1
CNR1,GNA12,1
CNR1,GNA13,1
CNR1,GNAI1,1
CNR1,HCRTR1,1
COL4A1,parent_of_CSK1,1
COL4A1,parent_of_CSK1_____PTK21_____SRC1,1
COL4A2,ITGB3,1
COL4A2,parent_of_CSK1_____PTK21_____SRC1,1
CORT,SSTR1,1
CORT,SSTR2,1
CORT,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
COX5B,APAF1,1
CSF1,CSF3R,1
CSF1,parent_of_JAK21,1
CSF3R,JAK2,1
CSK,FYN,1
CSK,HCK,-1
CSK,KIT,1
CSK,LCK,-1
CSK,LYN,-1
CSK,PTK2,1
CSK,PTPRC,1
CSK,SRC,-1
CSK,YES1,-1
CTTNBP2,parent_of_ACTB1,1
CTTNBP2NL,parent_of_ACTB1,1
CTTNBP2NL,parent_of_PPP2CA1_____PPP2CB1,1
CUL3,RHOA,-1
CUL3,parent_of_RHOA-1,1
CXCL17,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAO11_____GNAZ1,1
DAAM1,RHOA,1
DAP3,parent_of_APAF11_____CASP91,1
DCC,MYO10,1
DCC,PTK2,1
DDIT3,BCL2,-1
DDIT3,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,1
DDIT3,parent_of_CSK1,1
DDX3X,SP1,1
DLC1,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,-1
DOK1,ITGB3,-1
DOK1,ITGB4,-1
DOK1,parent_of_CSK1,-1
DOK1,parent_of_CSK1_____PTK21_____SRC1,-1
DPF2,RUNX1,-1
DRD1,GNAI1,1
DRD1,GNAS,1
DRD2,GNAI1,1
DRD4,GNAI1,1
DTNBP1,parent_of_CBL1,1
DUSP18,ITGB4,1
DUSP18,parent_of_CSK1,1
DUSP18,parent_of_CSK1_____PTK21_____SRC1,1
DYNLL1,RHOA,-1
DYNLL1,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,-1
DYNLL2,BMF,-1
E2F6,BRCA1,-1
E2F7,SP1,-1
EDN1,EDNRA,1
EDN1,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
EDN2,EDNRA,1
EDNRA,GNA11,1
EDNRA,GNA13,1
EDNRA,GNAI1,1
EDNRA,GNAS,1
EFNA2,EPHA2,1
EFNA2,EPHA4,1
EFNA3,EPHA2,1
EFNA3,EPHA4,1
EFNA3,parent_of_CRK1_____FYN1_____SRC1,1
EFNA5,EPHA2,1
EFNA5,EPHA4,1
EFNA5,EPHB2,1
EFNA5,parent_of_CRK1_____FYN1_____SRC1,1
EFNB1,EPHB2,1
EFNB2,DOK1,1
EFNB2,EPHA4,1
EFNB2,EPHB2,1
EFNB2,parent_of_CRK1_____FYN1_____SRC1,1
EFNB3,EPHA4,1
EHMT2,DNMT3B,1
ELANE,AGT,1
ELANE,F2RL1,-1
EP300,RB1,1
EP300,STAT6,1
EPHA2,GRAP,1
EPHA4,FYN,1
EPHA4,parent_of_CDC421_____RHOA1,1
EPHA4,parent_of_RHOA1,1
EPHB2,SRC,1
EPHB2,parent_of_CDC421_____RHOA1,-1
EPHB2,parent_of_MYO1E1,1
ERBB3,PIK3CA,1
ERBB3,PIK3CG,1
ESR1,parent_of_CXCR41,1
ETS1,GFI1,-1
ETS1,parent_of_CSK1,1
F10,F2,1
F2,F2RL1,1
F2,F2RL2,1
F2,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
F2,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAO11_____GNAQ1_____GNAZ1,1
F2RL1,GNAI1,1
F2RL1,GNAS,1
F2RL2,GNA12,1
F2RL2,GNAI1,1
F2RL2,GNAS,1
FAM83G,parent_of_ACTB1,1
FBXL12,CAMK1,-1
FCGR3A,LCK,1
FFAR2,GNA12,1
FFAR2,GNA13,1
FFAR2,GNAS,1
FGFR1,FRS2,-1
FGFR1,parent_of_ACTB1,-1
FGFR1,parent_of_SRC1,1
FGFR2,FRS2,-1
FGFR2,GRAP,1
FGG,FN1,-1
FGG,VTN,-1
FN1,ITGA5,1
FN1,ITGB3,1
FN1,parent_of_CSK1,1
FN1,parent_of_CSK1_____PTK21_____SRC1,1
FRS2,CBL,1
FRS2,GRAP,1
FST,INHBA,-1
FUS,BCL2,-1
FUS,BCL2L1,-1
FUS,DDX3X,-1
FUS,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,1
FYN,ABL1,1
FYN,ARHGAP32,1
FYN,CAV1,1
FYN,CBL,1
FYN,DCC,1
FYN,DOK1,1
FYN,EPHB2,1
FYN,GRB10,-1
FYN,KIT,1
FYN,LCK,1
FYN,PRKCD,1
FYN,PTK2,1
FYN,SYK,1
FYN,VAV2,1
FYN,parent_of_RAC1-1_____RHOA-1,1
GAB1,ARHGAP32,1
GAB1,PIK3CA,1
GAB2,ARHGAP32,1
GAB2,PIK3CA,1
GALR2,GNA12,1
GALR2,GNA13,1
GALR2,GNAI1,1
GAN,CUL3,1
GATA1,RUNX1,1
GATA1,SPI1,-1
GFI1,ETS1,-1
GFI1,SPI1,-1
GHITM,parent_of_APAF11_____CASP91,-1
GHR,JAK2,1
GHRL,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
GIGYF2,GRB10,1
GNA11,PIK3CA,-1
GNA12,RHOA,1
GNA12,parent_of_ARHGAP11_____RHOA1,1
GNA12,parent_of_RHOA1,1
GNA13,RHOA,1
GNA13,parent_of_ARHGAP11_____RHOA1,1
GNA13,parent_of_RHOA1,1
GNAI1,HCK,1
GNAI1,SRC,1
GNAI2,HCK,1
GNAI2,LYN,1
GNAI2,SRC,1
GNAS,HCK,1
GNAS,SRC,1
GNB1,GNG2,1
GNB1,PIK3CA,1
GNG2,GNB1,1
GNG2,PIK3CA,1
GOLGA3,GOPC,1
GOPC,parent_of_GNAL1_____GNAS1,-1
GPR132,GNAS,1
GPR17,GNAI1,1
GPR174,GNA13,1
GPR174,GNAS,1
GPR34,GNAI1,1
GPSM3,GNAI1,-1
GPSM3,GNB1,-1
GRAP,PIK3CG,1
GRAP,PTPN1,1
GRB10,ABL1,1
GRB10,NEDD4,1
GRB10,PIK3CA,1
GRK3,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAO11_____GNAQ1,-1
GRK3,parent_of_GNAI11_____GNAI21_____GNAI31_____JAK31,-1
GRK4,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAO11_____GNAQ1,-1
GRK6,LTB4R,-1
GRK6,MC1R,-1
GRK6,SMO,1
GRK6,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAO11_____GNAQ1,-1
GRK6,parent_of_GNAI11_____GNAI21_____GNAI31_____JAK31,-1
GRM1,GNA11,1
GRM1,GNAS,1
GRM7,GNAS,1
GSN,CASP9,-1
GZMA,SET,-1
HCK,ABL1,1
HCK,CBL,1
HCK,CSF3R,1
HCK,GAB2,1
HCK,PTK2,1
HCRTR1,GNA12,1
HCRTR1,GNAI1,1
HDC,parent_of_GNAI11_____GNAI31,1
HDC,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
HNRNPU,TNF,1
HRG,ERBB3,1
HSPG2,parent_of_CSK1,1
HTR2A,GNAI1,1
HTR2B,GNAI1,1
HTR6,GNA13,1
HTR6,GNAI1,1
HTT,PAK2,-1
IBSP,ITGB3,1
IBSP,parent_of_CSK1,1
ICAM3,parent_of_CSK1,1
ICAM4,ITGB3,1
ICAM4,parent_of_CSK1,1
IER3,PPP2R5C,-1
IFNG,parent_of_JAK11_____JAK21,1
IFNG,parent_of_JAK21,1
IGF1,IGF1R,1
IGF1R,CSK,1
IGF1R,GRB10,1
IGF1R,IRS2,1
IGF1R,IRS4,1
IGF1R,PDPK1,1
IGF1R,PIK3R3,1
IGF1R,PTK2,1
IGF1R,VAV2,1
IGF1R,parent_of_ACTB1,1
IGF2,IGF1R,1
IHH,PTCH2,1
IHH,parent_of_SMO-1,-1
IL12A,parent_of_IL12RB11_____IL23R1,1
IL12A,parent_of_JAK21,1
IL13RA1,IL4R,1
IL13RA1,JAK2,1
IL16,CD4,1
IL4R,IRS2,1
IL4R,JAK2,1
IL6,IL6R,1
IL6,IL6ST,1
IL6R,IL6ST,1
IL6R,JAK2,1
IL6ST,GAB2,1
IL6ST,JAK2,1
IL7R,parent_of_JAK21,1
INPP5D,SYK,-1
IRF3,parent_of_CCR51,1
IRS2,PIK3CA,1
IRS2,PIK3CG,1
IRS4,GRAP,1
IRS4,PIK3CG,1
ITGA5,CSK,1
ITGA5,PTPN2,1
ITGB1BP1,ITGB3,-1
ITGB1BP1,ITGB4,-1
ITGB1BP1,parent_of_CSK1,-1
ITGB1BP1,parent_of_CSK1_____PTK21_____SRC1,-1
ITGB3,CSK,1
ITGB3,PTK2,1
ITGB4,CSK,1
ITGB4,PIK3CA,1
ITGB4,PIK3CG,1
ITGB4,PTK2,1
ITGB4,SRC,1
JAK2,GAB2,1
JAK2,PPP2CA,-1
JAK2,STAT6,1
JAK2,TEC,1
JAK2,parent_of_ARHGAP11_____RHOA1,1
JAK2,parent_of_CSK1,1
JUNB,BCL2L1,-1
KDM1A,ACTB,-1
KDM6A,RB1,1
KHSRP,SRC,1
KIT,JAK2,1
KIT,SLA,-1
KL,IGF1R,-1
KLF2,parent_of_GNAI11_____GNAI21_____GNAI31_____JAK31,-1
KNG1,BDKRB1,1
KNG1,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAO11_____GNAQ1,1
LAMA1,parent_of_CSK1,1
LAMA1,parent_of_CSK1_____PTK21_____SRC1,1
LAMA2,ITGB4,1
LAMA2,parent_of_CSK1,1
LAMB1,ITGB4,1
LAMB1,parent_of_CSK1,1
LAMB1,parent_of_CSK1_____PTK21_____SRC1,1
LAMC1,ITGB4,1
LAMC1,parent_of_CSK1,1
LCK,ABL1,1
LCK,CBL,1
LCK,CD28,1
LCK,DOK1,1
LCK,ESR1,1
LCK,GAB2,1
LCK,KIT,1
LCK,PRKCD,1
LCK,PTEN,1
LCK,SOCS3,1
LCK,VAV2,1
LCK,parent_of_CRK1_____FYN1_____SRC1,-1
LCK,parent_of_JAK2-1,1
LEAP2,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,-1
LEPR,JAK2,1
LEPR,SH2B1,1
LIFR,IL6ST,1
LIFR,JAK2,1
LIPH,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
LIPH,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
LPAR3,GNA12,1
LPAR3,GNA13,1
LPAR3,GNAI1,1
LRP2,parent_of_SMO-1,1
LTB4R,GNA12,1
LTB4R,GNAI1,1
LTK,CBL,1
LTK,PIK3CG,1
LYN,ABL1,1
LYN,BTK,1
LYN,CD22,1
LYN,DOK1,1
LYN,FYN,-1
LYN,GAB2,1
LYN,KIT,1
LYN,MAPK3,1
LYN,PDGFRB,1
LYN,PRKCD,1
LYN,PTK2,1
LYN,SYK,1
LYN,parent_of_CSK1,1
MAPK1,ARHGEF2,1
MAPK1,BCL2,1
MAPK1,BMF,1
MAPK1,CASP9,-1
MAPK1,EP300,1
MAPK1,ESR1,1
MAPK1,ETS1,1
MAPK1,FGFR1,-1
MAPK1,FRS2,-1
MAPK1,GAB1,1
MAPK1,GAB2,-1
MAPK1,GABPA,1
MAPK1,GATA1,1
MAPK1,GRB10,1
MAPK1,IER3,1
MAPK1,IL16,1
MAPK1,LCK,1
MAPK1,LIFR,-1
MAPK1,MKNK1,1
MAPK1,NR4A2,1
MAPK1,PPP2R5C,-1
MAPK1,RELA,1
MAPK1,RUNX1,1
MAPK1,SP1,1
MAPK1,SP3,1
MAPK1,SYN1,-1
MAPK1,TAGLN2,1
MAPK1,ZFP36,1
MAPK1,parent_of_ACTB1,1
MAPK1,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,-1
MAPK1,parent_of_CBL1,1
MAPK3,ARHGEF2,1
MAPK3,BCL2,1
MAPK3,CASP9,-1
MAPK3,EP300,1
MAPK3,ESR1,1
MAPK3,ETS1,1
MAPK3,FGFR1,-1
MAPK3,FGFR2,-1
MAPK3,GAB1,1
MAPK3,GAB2,-1
MAPK3,GABPA,1
MAPK3,GATA1,1
MAPK3,GRB10,1
MAPK3,IL16,1
MAPK3,LCK,1
MAPK3,LIFR,-1
MAPK3,MKNK1,1
MAPK3,PPP2R5C,-1
MAPK3,RARG,1
MAPK3,SP1,1
MAPK3,SP3,1
MAPK3,ZFP36,1
MAPK3,parent_of_ACTB1,1
MAPK3,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,-1
MAPK3,parent_of_CBL1,1
MARK2,ARHGEF2,-1
MATK,KIT,1
MATK,LYN,-1
MC1R,GNAS,1
MCHR1,GNAI1,1
MCHR1,GNAS,1
MEN1,RELA,-1
MKNK1,SPRY2,-1
MLNR,GNA12,1
MLNR,GNAI1,1
MST1R,GRAP,1
MYO10,DCC,1
NCAM1,FGFR1,1
NCL,RPA1,1
NDFIP1,NEDD4,1
NECTIN3,TIGIT,1
NEDD4,IGF1R,1
NEDD4,PTEN,1
NEDD4,SPRY2,-1
NFYA,SP1,1
NGF,NTRK1,1
NLGN2,parent_of_PTEN1,1
NLRP1,parent_of_APAF11_____CASP91,1
NOG,parent_of_ACTR21_____ACVR11_____ACVR2A1_____ACVR2B1_____BMPR1A1_____BMPR1B1_____BMPR21,-1
NOSIP,PPP2CA,-1
NPFF,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1,1
NR0B2,RXRB,1
NR2F2,NR2F6,1
NR2F2,THRA,1
NR2F6,NR2F2,1
NR4A2,RXRB,1
NSD1,RELA,1
NTF3,NTRK1,1
NTF3,NTRK2,1
NTF4,NTRK1,1
NTF4,NTRK2,1
NTN1,ACTB,1
NTN1,DCC,1
NTN1,UNC5C,1
NTN3,CDON,1
NTRK1,ABL1,1
NTRK1,ARHGAP32,1
NTRK1,FRS2,1
NTRK1,GRAP,1
NTRK1,MATK,1
NTRK1,PIK3CA,1
NTRK1,SH2B1,1
NTRK1,SH2B2,1
NTRK2,FYN,1
NTRK2,IRS2,1
OSM,IL6ST,1
OSM,LIFR,1
OSM,OSMR,1
OSMR,IL6ST,1
OSMR,JAK2,1
OXT,parent_of_GNAL1_____GNAQ1_____GNAS1,1
P2RY1,GNA12,1
P2RY1,GNA13,1
P2RY1,GNAI1,1
P2RY1,GNAS,1
P2RY2,GNA12,1
P2RY2,GNA13,1
P2RY2,GNAS,1
P2RY4,GNA13,1
P2RY4,GNAI1,1
P2RY6,GNA12,1
P2RY6,GNA13,1
P2RY6,GNAS,1
PAK2,ABL1,1
PAK2,CASP7,-1
PAK2,MKNK1,-1
PCSK7,KHSRP,-1
PCSK7,PPP2CA,1
PDGFC,PDGFRA,1
PDGFC,PDGFRB,1
PDGFRA,PTK2,1
PDGFRA,SRC,1
PDGFRB,FYN,1
PDGFRB,GAB1,1
PDGFRB,GRAP,1
PDGFRB,PDGFRA,1
PDGFRB,PTK2,1
PDGFRB,SH2B2,1
PDGFRB,SRC,1
PDPK1,ITGB3,-1
PDPK1,PRKCD,1
PHF21A,KDM1A,-1
PIAS4,BRCA1,1
PIAS4,RPA2,1
PICK1,GRM7,-1
PIK3AP1,PIK3CA,1
PIK3AP1,PIK3CG,1
PIK3CA,BTK,1
PIK3CA,PDPK1,1
PIK3CG,PDPK1,1
PIK3R3,PIK3CA,1
PIN1,IRF3,-1
PIN1,PTPN12,1
PMAIP1,BCL2,-1
PMAIP1,BCL2L1,-1
PMCH,MCHR1,1
POMC,MC1R,1
PPME1,PPP2CA,-1
PPME1,PPP2CB,-1
PPP1R9A,ARHGEF2,1
PPP2CA,BCL2,1
PPP2CA,IRF3,-1
PPP2CA,MAPK1,-1
PPP2CA,MAPK3,-1
PPP2CA,MKNK1,-1
PPP2CA,PRKCD,-1
PPP2CA,RB1,1
PPP2CA,RBL2,1
PPP2CA,RELA,-1
PPP2CA,SP1,1
PPP2CB,BCL2,1
PPP2CB,MAPK1,-1
PPP2CB,PRKCD,-1
PPP2R1B,PPP2CA,1
PPP2R2A,PPP2CA,-1
PPP2R2B,PDPK1,-1
PPP2R2C,SRC,-1
PPP2R5C,BCL2,-1
PPP2R5C,CAMK1,-1
PPP2R5C,PPP2CA,1
PREX2,PTEN,-1
PREX2,RHOA,1
PRKCD,ADRB2,-1
PRKCD,DAP3,1
PRKCD,EP300,-1
PRKCD,IL6ST,1
PRKCD,NR2F6,-1
PRKCD,PTPN22,-1
PRKCD,PTPRA,1
PRKCD,parent_of_ACTB1,1
PRKCD,parent_of_CSK1,1
PRKCD,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAO11_____GNAQ1,-1
PRKCD,parent_of_GNAI11_____GNAI21_____GNAI31_____JAK31,-1
PRKCD,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1_____GNB21,1
PRKCD,parent_of_GNAS1,1
PROS1,AXL,1
PRPF19,RPA1,1
PRPF19,RPA2,1
PTBP2,KHSRP,1
PTBP2,SRC,-1
PTBP2,parent_of_SRC1,1
PTCH2,SMO,1
PTCRA,LCK,1
PTDSS1,parent_of_SRC1,1
PTEN,PDPK1,1
PTEN,PTK2,-1
PTEN,SP1,-1
PTGER1,GNA12,1
PTGER1,GNAS,1
PTGER3,GNA12,1
PTGER3,GNAI1,1
PTGER3,parent_of_PIK3CA1_____PLCG11,1
PTGER4,GNAI1,1
PTGER4,GNAS,1
PTH1R,GNAS,1
PTK2,EPHA2,1
PTK2,ITGB4,1
PTK2,PIK3CA,1
PTK2,PTPRH,-1
PTK2,TLN1,1
PTK2,parent_of_CSK1,1
PTK2,parent_of_RAC11_____RHOA1,1
PTPN1,ABL1,-1
PTPN1,CAV1,-1
PTPN1,DOK1,-1
PTPN1,GHR,-1
PTPN1,IGF1R,1
PTPN1,JAK2,1
PTPN1,NTRK2,-1
PTPN1,PDGFRB,-1
PTPN1,PPP2R2A,1
PTPN1,PRKCD,-1
PTPN1,PTK2,-1
PTPN1,SRC,1
PTPN1,parent_of_ACTB1,1
PTPN1,parent_of_CRK1_____FYN1_____SRC1,-1
PTPN12,ABL1,-1
PTPN12,JAK2,-1
PTPN12,PIN1,1
