source,score,level,source_original
AAK1,0.9608176224620675,3,AAK1
AANAT,-0.45266747563071796,3,AANAT
AATK,-1.724602468976735,4,AATK
ABL1,-1.350713075813031,2,ABL1
ACAA2,0.9801655877414183,6,ACAA2
ACE2,-0.8680604609273659,6,ACE2
ACP1,-1.1969071006164937,3,ACP1
ACTB,1.3806213272335184,3,ACTB
ACTR2,3.351011645164525,4,ACTR2
ACVR1,0.43333436955558435,5,ACVR1
ACVR2A,3.351011645164525,4,ACVR2A
ACVR2B,4.544051526973565,3,ACVR2B
ADA,-0.5012466605259858,5,ADA
ADAM10,-0.643068629329077,3,ADAM10
ADAM12,-0.9759843667715862,4,ADAM12
ADAM17,-0.4803694641391396,3,ADAM17
ADAM23,0.6321843486923067,4,ADAM23
ADCY5,-0.45266747563071796,3,ADCY5
ADRA1A,-0.9468432145018608,4,ADRA1A
ADRB2,-0.7795988398848814,4,ADRB2
ADRM1,3.351011645164525,4,ADRM1
AFAP1L2,-0.7309715454918725,4,AFAP1L2
AGT,-1.1089546449829515,5,AGT
AGTR1,-0.9002786799765127,4,AGTR1
AIMP1,1.0809397779703525,5,AIMP1
AKAP5,-0.45266747563071796,3,AKAP5
AKAP8,-0.5855564660781492,2,AKAP8
AKT1,1.403285537148321,2,AKT1
AKT1S1,1.1549907871451273,5,AKT1S1
AKT3,-0.8600351689614378,3,AKT3
ALDH2,-0.5855564660781492,2,ALDH2
ALK,0.9608176224620675,3,ALK
AMER1,0.6446103509549065,3,AMER1
AMH,0.7325076094067583,6,AMH
AMHR2,0.7325076094067583,6,AMHR2
AMOT,-3.351011645164525,4,AMOT
ANK2,0.813904612984797,5,ANK2
ANKRD26,-0.6339747049817854,4,ANKRD26
APBB1,0.5074782815494675,5,APBB1
APC2,0.9105227626798135,4,APC2
APEX1,-0.26531379049498816,3,APEX1
APLF,-0.6175617443044703,4,APLF
APOE,-1.1140526866864977,4,APOE
APPL1,0.9608176224620675,3,APPL1
AR,0.45266747563071796,3,AR
ARAF,-0.8469690571792533,2,ARAF
AREL1,-0.48792791542692276,4,AREL1
ARF1,0.6644839827371989,4,ARF1
ARHGAP1,0.6026738642005128,3,ARHGAP1
ARHGAP32,-0.267282177657189,3,ARHGAP32
ARHGEF2,-0.5633710860057837,3,ARHGEF2
ARHGEF7,-0.6026738642005128,3,ARHGEF7
ARRB2,0.512498017501444,4,ARRB2
ASAP2,-0.6685793342078615,5,ASAP2
ASB2,0.5105780905619803,4,ASB2
ASB3,0.6995578814692247,5,ASB3
ASB9,-0.9214549022503304,5,ASB9
ASXL3,0.9455494339456281,4,ASXL3
ATAD2,-0.55541113042089,1,ATAD2
ATAD5,1.5920368660874549,4,ATAD5
ATF1,-0.39727792742941864,3,ATF1
ATG3,0.4198309901510524,5,ATG3
ATG9A,-0.8585161754451682,6,ATG9A
ATM,-0.55541113042089,1,ATM
ATP6AP1,-0.5400583978920119,4,ATP6AP1
ATR,-0.55541113042089,1,ATR
AURKA,-0.9824922365015791,2,AURKA
AXIN1,2.4031805292767636,3,AXIN1
AXIN2,1.367018591155109,3,AXIN2
AXL,-0.664084435655075,4,AXL
AZI2,1.3844880969211661,4,AZI2
BAD,-0.45266747563071796,3,BAD
BAG2,-0.6853308024692105,4,BAG2
BAG5,1.0754277405696488,4,BAG5
BAK1,0.6468828242816841,4,BAK1
BAMBI,0.3118663039104749,4,BAMBI
BANP,2.9335076430136477,5,BANP
BAX,0.6468828242816841,4,BAX
BCAP31,0.7441532006273546,4,BCAP31
BCAR1,-3.4317322432794266,3,BCAR1
BCAR3,-0.5633710860057837,3,BCAR3
BCL2,0.4275537148453548,4,BCL2
BCL2L1,0.5225452787821457,4,BCL2L1
BCL2L2,-0.9241738134747742,5,BCL2L2
BCL3,-0.5855564660781492,2,BCL3
BCL6,0.5855564660781492,2,BCL6
BCOR,-0.5855564660781492,2,BCOR
BCR,-0.5855564660781492,2,BCR
BDKRB1,-0.9189139450227036,4,BDKRB1
BECN1,-0.45266747563071796,3,BECN1
BIRC2,0.8746680240950471,3,BIRC2
BIRC3,0.8746680240950471,3,BIRC3
BIRC5,0.8746680240950471,3,BIRC5
BIRC7,0.9423767612246761,5,BIRC7
BLVRA,1.546399233197014,3,BLVRA
BMF,-0.8418223619742131,5,BMF
BMP4,3.086647971339323,5,BMP4
BMP6,3.351011645164525,4,BMP6
BMP8A,3.351011645164525,4,BMP8A
BMPR1A,0.43333436955558435,5,BMPR1A
BMPR1B,0.43333436955558435,5,BMPR1B
BMPR2,0.8987125027451807,6,BMPR2
BNIP3,-1.1117908096783586,5,BNIP3
BRAF,-1.1564506644078585,3,BRAF
BRCA1,1.3806213272335184,3,BRCA1
BRD2,-0.5695511058314877,4,BRD2
BRD4,2.2369121870165336,3,BRD4
BRDT,-2.9335076430136477,5,BRDT
BRIP1,0.36745256166837525,4,BRIP1
BRMS1,-1.7526208440063782,3,BRMS1
BRSK1,-1.0218015611620426,5,BRSK1
BRSK2,-0.8746680240950471,3,BRSK2
BTK,-0.48676566950777445,4,BTK
BTRC,-1.3831476896159223,3,BTRC
CAMK1,1.4618269876129715,4,CAMK1
CAMK2A,-0.5855564660781492,2,CAMK2A
CAMK2B,-0.8746680240950471,3,CAMK2B
CAMK2D,1.1548503711206262,4,CAMK2D
CAMK2G,0.5855564660781492,2,CAMK2G
CAMK4,3.052279186653792,4,CAMK4
CAMKK1,0.7601256168058256,3,CAMKK1
CAMKK2,0.7601256168058256,3,CAMKK2
CAMP,-0.5855564660781492,2,CAMP
CAND1,-0.7031407552389868,5,CAND1
CAPN1,0.44770179964875023,3,CAPN1
CAPN2,1.367018591155109,3,CAPN2
CAPN3,1.367018591155109,3,CAPN3
CAPNS1,0.9371538394064877,4,CAPNS1
CAPRIN2,1.4155585417756376,5,CAPRIN2
CARD9,-0.539648476581038,2,CARD9
CARM1,1.8584120871584993,3,CARM1
CASP1,-0.47986146520334516,4,CASP1
CASP10,-0.8746680240950471,3,CASP10
CASP2,-1.4131028575850832,4,CASP2
CASP3,-0.9346420369364167,2,CASP3
CASP7,0.45266747563071796,3,CASP7
CASP8,-0.8746680240950471,3,CASP8
CASP9,-0.2968069549513168,3,CASP9
CAST,-1.227959830013636,4,CAST
CAV1,-1.3851841338159427,3,CAV1
CBFB,-0.8746680240950471,3,CBFB
CBL,-0.5855564660781492,2,CBL
CBLB,0.5855564660781492,2,CBLB
CCAR2,0.5855564660781492,2,CCAR2
CCL2,-0.4275537148453548,4,CCL2
CCL7,0.5695631474467981,5,CCL7
CCND2,-0.9346420369364167,2,CCND2
CCNF,1.218404727326608,4,CCNF
