source,target,sign
AANAT,MTNR1A,1
AATK,CDK5R1,1
AATK,STK39,-1
ABL1,ABL2,1
ABL1,AHSA1,1
ABL1,APBB1,1
ABL1,ATR,1
ABL1,BCAR1,1
ABL1,BCR,1
ABL1,BTK,-1
ABL1,CASP9,1
ABL1,CAV1,1
ABL1,CBL,1
ABL1,CDK5,1
ABL1,CRKL,1
ABL1,CTNND1,1
ABL1,DDX5,1
ABL1,DOK1,1
ABL1,EGFR,1
ABL1,ERCC6,1
ABL1,ESR1,1
ABL1,GRAP,1
ABL1,GRB2,-1
ABL1,HDAC2,1
ABL1,HSPA1A,1
ABL1,IRS1,1
ABL1,JAK2,1
ABL1,JUN,1
ABL1,MAP2K6,1
ABL1,MAP3K1,1
ABL1,MAP4K1,1
ABL1,MDM2,-1
ABL1,MET,1
ABL1,MTOR,1
ABL1,NCK1,1
ABL1,PDGFRB,1
ABL1,PPARG,1
ABL1,PRKCD,1
ABL1,PRKD1,1
ABL1,PRKDC,-1
ABL1,PSTPIP1,1
ABL1,PTPN6,1
ABL1,PXN,1
ABL1,RACK1,1
ABL1,RAPGEF1,1
ABL1,RB1,-1
ABL1,RIN1,1
ABL1,SHC1,1
ABL1,SOS1,1
ABL1,STAT1,1
ABL1,STAT3,1
ABL1,STAT6,1
ABL1,STK3,1
ABL1,STK4,1
ABL1,TP53BP1,1
ABL1,UBE3A,-1
ABL1,VAV1,1
ABL1,VAV2,1
ABL1,YAP1,1
ABL1,parent_of_CBL1,1
ABL1,parent_of_FPR21,1
ABL1,parent_of_MAPK11_____MAPK31,1
ABL1,parent_of_RAC1-1_____RHOA-1,1
ABL1,parent_of_VAV11,1
ABL2,PDGFRB,-1
ABL2,RIN1,1
ABL2,parent_of_BCL2L1-1,1
ABL2,parent_of_NFKB1-1,1
ACAA2,BNIP3,-1
ACE2,AGT,1
ACP1,AKT1,-1
ACP1,AKT2,-1
ACP1,AKT3,-1
ACP1,CTNNB1,1
ACP1,EPHA2,1
ACP1,PDGFRB,-1
ACP1,PTK2,-1
ACP1,ZAP70,1
ACTB,ABL1,-1
ACTB,PLD1,-1
ADA,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1_____GNB21,1
ADAM10,CDH1,1
ADAM10,ERBB2,1
ADAM10,NOTCH1,1
ADAM10,NOTCH2,1
ADAM10,parent_of_EGFR1_____ERBB41,1
ADAM10,parent_of_FPR21,1
ADAM10,parent_of_RBPJ1,1
ADAM12,ITGB1,1
ADAM12,PIK3CA,1
ADAM12,SDC4,1
ADAM15,ITGA5,1
ADAM15,ITGB1,1
ADAM15,ITGB3,1
ADAM9,ITGB1,1
ADAM9,parent_of_FPR21,1
ADAMTS13,VWF,-1
ADCY5,CAMP,1
ADNP,MAP1LC3B,1
AFAP1L2,PIK3CA,1
AGT,AGTR1,1
AGT,LRP2,1
AGT,parent_of_AGT1,1
AGTR1,GNAI1,1
AGTR1,GNAQ,1
AGTR1,GNG12,1
AGTR1,parent_of_ADCY5-1,1
AHSA1,HSP90AA1,1
AHSA1,HSP90AB1,1
AKAP5,PPP3CC,1
AKAP5,PRKACA,1
AKAP8,HDAC3,1
AKAP8,PRKACA,1
AKT1,AKT1S1,-1
AKT1,AR,-1
AKT1,BAD,-1
AKT1,BAX,-1
AKT1,BRAF,-1
AKT1,BRCA1,1
AKT1,CASP9,-1
AKT1,CDK2,1
AKT1,CFLAR,-1
AKT1,CHEK1,-1
AKT1,CHUK,1
AKT1,CREB1,1
AKT1,CTNNB1,1
AKT1,DAB2IP,-1
AKT1,DLX5,1
AKT1,EIF4EBP1,1
AKT1,EP300,1
AKT1,ESR1,1
AKT1,EZH2,-1
AKT1,FOXO1,-1
AKT1,FOXO3,1
AKT1,GAB2,-1
AKT1,HTRA2,-1
AKT1,IKBKB,1
AKT1,IRAK1,-1
AKT1,IRS1,1
AKT1,ITGB1,1
AKT1,ITGB3,-1
AKT1,MAP2K4,-1
AKT1,MAP3K8,1
AKT1,MDM2,1
AKT1,MST1,1
AKT1,MST1R,1
AKT1,NCOR1,-1
