source,score,level,source_original
AAK1,-0.9334211878486212,3,AAK1
AATK,-0.8286015170750529,4,AATK
ABL1,2.1790414958020135,2,ABL1
ABL2,0.640641418347947,2,ABL2
ACAT1,-1.187934923397858,5,ACAT1
ACE2,-1.9033757582529423,5,ACE2
ACP1,-0.6227665222676836,2,ACP1
ACTB,-2.0535413237160185,3,ACTB
ACTN1,-1.056599843528957,3,ACTN1
ACTR2,-0.7847332698769853,4,ACTR2
ACVR1,-1.3204602486469517,4,ACVR1
ACVR2A,-0.7847332698769853,4,ACVR2A
ACVR2B,-0.9080208742968549,3,ACVR2B
ACVRL1,-1.3204602486469517,4,ACVRL1
ADA,0.7070974439368429,5,ADA
ADAM12,0.6397966413055627,4,ADAM12
ADAM15,-0.7664172340241553,4,ADAM15
ADAM17,0.5388392144793321,3,ADAM17
ADAM23,-0.8064077240038119,4,ADAM23
ADAM9,0.6324710265113521,4,ADAM9
ADCY5,0.4576286750963843,3,ADCY5
ADNP,-1.653637846991386,3,ADNP
ADRA1A,-1.5351074620780085,3,ADRA1A
ADRB2,-1.5351074620780085,3,ADRB2
ADRM1,-1.9416550866295712,4,ADRM1
AFAP1L2,1.3022049634997759,4,AFAP1L2
AGT,-1.871430116046895,4,AGT
AGTR1,-1.5351074620780085,3,AGTR1
AHSA1,0.536541907964497,3,AHSA1
AIMP1,-1.4218996354739735,4,AIMP1
AKAP5,-1.4140951588960269,3,AKAP5
AKAP8,-1.0788555366232881,2,AKAP8
AKT1,0.6701195167606552,1,AKT1
AKT2,-1.236350642239864,2,AKT2
AKT3,-1.236350642239864,2,AKT3
ALDH2,-1.0788555366232881,2,ALDH2
ALK,-0.9334211878486212,3,ALK
AMER1,1.236350642239864,2,AMER1
AMH,-1.9383628412500842,5,AMH
AMHR2,-1.9383628412500842,5,AMHR2
AMOT,1.653637846991386,3,AMOT
ANAPC1,1.653637846991386,3,ANAPC1
ANK2,0.4851107645891342,5,ANK2
ANKRD26,-1.4627639112291504,3,ANKRD26
ANKRD6,-0.7598535501316857,3,ANKRD6
ANXA1,1.0950606428866707,5,ANXA1
APAF1,-0.7675226463493373,4,APAF1
