source,score,level,source_original
AANAT,0.6969839976090054,3,AANAT
ABL1,1.1618548384567469,1,ABL1
ABL2,-1.136041267910899,3,ABL2
ACAA2,-0.8578095796661055,5,ACAA2
ACAT1,-0.8601853559161889,5,ACAT1
ACE2,-1.2971451692855083,5,ACE2
ACP1,2.5771307923290787,3,ACP1
ACTB,-1.028805780697224,2,ACTB
ACTN1,-0.7333109312287361,3,ACTN1
ACVR1,-0.9052995272091461,4,ACVR1
ACVRL1,-0.9052995272091461,4,ACVRL1
ADAM10,-1.6044317719571213,4,ADAM10
ADAM12,-0.7191985952931501,4,ADAM12
ADAM15,-0.9949000686801218,4,ADAM15
ADAM17,-1.1475436851309742,4,ADAM17
ADAM23,-2.645735465093536,5,ADAM23
ADAMTS13,1.0131836097196414,5,ADAMTS13
ADCY5,-0.9949000686801218,4,ADCY5
ADRA1A,-0.9578686136713277,3,ADRA1A
ADRB2,-0.9578686136713277,3,ADRB2
AFAP1L2,0.6559956545089531,4,AFAP1L2
AGT,-1.2823385064028485,4,AGT
AGTR1,-0.9578686136713277,3,AGTR1
AHSA1,-0.9736323930586835,3,AHSA1
AIMP1,-0.9275080038282559,2,AIMP1
AKAP5,-1.052667167280108,3,AKAP5
AKAP8,-1.052667167280108,3,AKAP8
AKT1,-0.7214236408588105,2,AKT1
AKT1S1,-0.7647767835366152,5,AKT1S1
AKT2,-1.2684055410853348,2,AKT2
AKT3,-1.2684055410853348,2,AKT3
ALK,-0.6589057906131319,4,ALK
AMER1,0.8155457896308279,2,AMER1
AMH,-1.3093698871781023,5,AMH
AMHR2,-1.3093698871781023,5,AMHR2
ANGPT1,-1.3798473664803006,5,ANGPT1
ANKRD26,-0.9813932225086995,4,ANKRD26
ANKRD6,-0.9578686136713277,3,ANKRD6
ANXA1,0.69647029877281,5,ANXA1
APAF1,0.9553206387768987,3,APAF1
APBB1,0.9877089180456997,5,APBB1
APC2,0.7030863229180689,3,APC2
APEX1,0.7490226245466137,3,APEX1
APH1A,-1.5057804803251469,5,APH1A
APH1B,-1.5057804803251469,5,APH1B
APIP,-0.8999787559583206,4,APIP
APLF,-0.9277514998150069,2,APLF
APLN,0.69647029877281,5,APLN
APOE,-0.9578686136713277,3,APOE
APPL1,0.7333109312287361,3,APPL1
AR,0.8306601234742967,2,AR
ARAF,1.1442570991071044,2,ARAF
AREL1,1.0168052275814674,4,AREL1
ARF1,-1.3469535923949338,4,ARF1
ARF6,-0.6787838664730248,5,ARF6
ARHGAP1,0.9578686136713277,3,ARHGAP1
ARHGAP32,0.2816374840091708,3,ARHGAP32
ARHGEF2,0.9291881099147125,4,ARHGEF2
ARHGEF7,-0.9578686136713277,3,ARHGEF7
ARRB1,-0.9578686136713277,3,ARRB1
ARRB2,-1.3598993941689475,4,ARRB2
ASAP2,1.3610320774353126,5,ASAP2
ASB2,-0.53344555820457,5,ASB2
ASB3,-0.8999787559583206,4,ASB3
ASB9,1.1159838976998,4,ASB9
ASH2L,1.0708215813114135,4,ASH2L
ASXL2,0.7490226245466137,3,ASXL2
ASXL3,-1.8553834395831559,4,ASXL3
ATAD2,0.7490226245466137,3,ATAD2
ATAD5,-0.9201961901915279,4,ATAD5
ATE1,0.6473599928028284,5,ATE1
ATF2,-1.136041267910899,3,ATF2
ATG101,0.8627217838343331,6,ATG101
ATG13,0.9673563367461423,5,ATG13
ATG3,0.5925798622342672,5,ATG3
ATG4A,0.8549351997440561,5,ATG4A
ATG4B,0.5925798622342672,5,ATG4B
ATG7,1.4841656956029603,5,ATG7
ATM,0.5251691310658746,2,ATM
ATP6AP1,-0.9028918082249409,4,ATP6AP1
ATXN2L,-1.231393938554702,5,ATXN2L
AURKA,-0.2581663197808112,3,AURKA
AURKB,0.4319856358265763,3,AURKB
AUTS2,0.6730376469670729,5,AUTS2
AXIN1,0.7864619110262082,2,AXIN1
AXIN2,0.8155457896308279,2,AXIN2
AXL,-1.1159838976998,4,AXL
AZI2,-0.8126407059213876,4,AZI2
BACH2,-2.2741278618336174,0,BACH2
BAD,1.6278149005337659,4,BAD
BAG1,-0.8579503896856013,4,BAG1
BAG2,2.093064147042452,4,BAG2
BAG5,0.9736323930586835,3,BAG5
BAP1,-1.5503765815605022,5,BAP1
BAX,0.9991978274619441,4,BAX
BCAP31,-0.9553206387768987,3,BCAP31
BCAR1,-1.4339611291935215,3,BCAR1
BCL2,-1.3105898735940107,5,BCL2
BCL2L1,-0.9553206387768987,3,BCL2L1
BCL2L2,-0.9811994717258298,5,BCL2L2
