source,target,sign
AATK,CDK5R1,1
AATK,STK39,-1
ABL1,ABL2,1
ABL1,AHSA1,1
ABL1,APBB1,1
ABL1,BCAR1,1
ABL1,BTK,-1
ABL1,CAV1,1
ABL1,CD19,1
ABL1,CDK5,1
ABL1,CDKN1B,-1
ABL1,CEBPB,1
ABL1,CRKL,1
ABL1,DDB2,-1
ABL1,DDX5,1
ABL1,DOK1,1
ABL1,EGFR,1
ABL1,EPHB2,1
ABL1,ERCC6,1
ABL1,ESR1,1
ABL1,GRAP,1
ABL1,GRB2,-1
ABL1,HDAC2,1
ABL1,HIPK2,1
ABL1,IRS1,1
ABL1,MAP2K6,1
ABL1,MAP3K1,1
ABL1,MDM2,-1
ABL1,MET,1
ABL1,MTOR,1
ABL1,NEDD9,1
ABL1,PDGFRB,1
ABL1,PLCG1,-1
ABL1,PPARG,1
ABL1,PRKCD,1
ABL1,PRKD1,1
ABL1,PRKDC,-1
ABL1,PTPN6,1
ABL1,PXN,1
ABL1,RAPGEF1,1
ABL1,RB1,-1
ABL1,RIN1,1
ABL1,SHC1,1
ABL1,STAT1,1
ABL1,STAT3,1
ABL1,STAT6,1
ABL1,STK3,1
ABL1,STK4,1
ABL1,TP53BP1,1
ABL1,TP73,1
ABL1,UBE3A,-1
ABL1,VAV2,1
ABL1,YAP1,1
ABL1,parent_of_ACTB1,1
ABL1,parent_of_FPR21,1
ABL1,parent_of_MAPK11_____MAPK31,1
ABL1,parent_of_RAC1-1_____RHOA-1,1
ABL1,parent_of_TP53-1,-1
ABL2,CEBPB,1
ABL2,PDGFRB,-1
ABL2,RIN1,1
ABL2,parent_of_ACTB1,1
ABL2,parent_of_BCL2L1-1,1
ACAT1,parent_of_SMAD1-1,-1
ACE2,AGT,1
ACE2,APLN,1
ACP1,AKT1,-1
ACP1,AKT2,-1
ACP1,AKT3,-1
ACP1,CTNNB1,1
ACP1,EPHA2,1
ACP1,PDGFRB,-1
ACP1,PTK2,-1
ACP1,SRC,1
ACP1,ZAP70,1
ACTB,ABL1,-1
ACTB,parent_of_ACTB1,1
ACTN1,CAPN1,-1
ACTR2,parent_of_SMAD21_____SMAD31,1
ACVR1,SMAD1,1
ACVR1,VPS39,1
ACVR1,parent_of_SMAD41,1
ACVR2A,ACVR1,1
ACVR2A,parent_of_SMAD21_____SMAD31,1
ACVR2B,ACVR1,1
ACVR2B,ACVRL1,1
ACVR2B,BMPR1A,1
ACVR2B,BMPR1B,1
ACVR2B,SMAD2,1
ACVR2B,SMAD3,1
ACVR2B,parent_of_SMAD21_____SMAD31,1
ACVRL1,SMAD1,1
ADAM12,ITGB1,1
ADAM12,SDC4,1
ADAM15,ITGA5,1
ADAM15,ITGB1,1
ADAM15,ITGB3,1
ADAM9,FGFR2,-1
ADAM9,ITGB1,1
ADAM9,parent_of_CSK1_____PTK21_____SRC1,1
ADAM9,parent_of_FPR21,1
ADAMTS13,VWF,-1
ADCK5,SOX9,1
ADCY5,CAMP,1
ADNP,CTNNB1,1
ADRB2,GNAL,1
ADRB2,GNAQ,1
ADRB2,GNB2,1
ADRM1,UCHL5,1
