source,score,level,source_original
AAK1,0.7468218183670996,4,AAK1
AATK,-1.3918271348119444,3,AATK
ABL1,0.5581193245257979,2,ABL1
ABL2,0.7637172772810867,3,ABL2
ACAA2,-1.8315143369771942,5,ACAA2
ACAT1,0.5440822840370123,5,ACAT1
ACP1,1.2231226152084185,2,ACP1
ACTB,-0.6426656307502326,3,ACTB
ACVR1,0.29875705981126166,4,ACVR1
ACVRL1,0.6646207382842206,4,ACVRL1
ADA,-1.052349917997434,5,ADA
ADAM12,0.5952432466864601,3,ADAM12
ADAM15,0.5952432466864601,3,ADAM15
ADAM23,-0.6617328195909696,4,ADAM23
ADAM9,0.5952432466864601,3,ADAM9
ADAMTS13,-0.5866658293144418,4,ADAMTS13
ADCY5,0.5952432466864601,3,ADCY5
ADRA1A,0.6772428673150097,3,ADRA1A
ADRB2,0.6772428673150097,3,ADRB2
AFAP1L2,-0.5434700446056159,4,AFAP1L2
AHSA1,-1.5637747757935023,3,AHSA1
AKAP5,0.5198009759749548,2,AKAP5
AKAP8,0.5198009759749548,2,AKAP8
AKT1,-0.9376384582254976,1,AKT1
AKT1S1,-1.6641381195373728,4,AKT1S1
AKT2,0.9933726166995476,2,AKT2
AKT3,0.5860528292930894,2,AKT3
ALDH2,-1.1704941903464223,3,ALDH2
ALK,1.075283358402095,3,ALK
AMER1,-0.5860528292930894,2,AMER1
AMH,0.8174959354311875,5,AMH
AMHR2,0.8174959354311875,5,AMHR2
ANGPT1,-1.8127324075700126,4,ANGPT1
ANKRD6,0.7047469864548579,3,ANKRD6
ANXA1,-1.0391662759135243,5,ANXA1
APAF1,0.6441786379792349,4,APAF1
APBB1,-1.3741609471283438,4,APBB1
APEX1,0.34535255729803954,2,APEX1
APH1A,0.879139581826213,5,APH1A
APH1B,0.879139581826213,5,APH1B
APIP,-0.708337346359374,5,APIP
APLF,1.7341712936244493,3,APLF
APLN,-1.0391662759135243,5,APLN
APOE,0.6772428673150097,3,APOE
APPL1,-1.4281895671022289,3,APPL1
AR,0.46643495829361603,2,AR
ARAF,-0.2597224711755277,2,ARAF
ARF1,0.8942290904841189,4,ARF1
ARF6,-0.6759920879121526,5,ARF6
ARHGEF2,-1.7115854950412608,3,ARHGEF2
ARHGEF6,-1.318588045270088,3,ARHGEF6
ARHGEF7,-0.650254504444153,3,ARHGEF7
ARRB1,0.3901802978370203,2,ARRB1
ARRB2,0.9778056561633879,4,ARRB2
ASAP2,-0.9479880797581515,5,ASAP2
ASB3,-1.2785301084887117,5,ASB3
ASB9,0.661416813082468,5,ASB9
ASXL3,1.2231226152084185,2,ASXL3
ATAD5,0.8745666617656722,3,ATAD5
ATE1,-0.7737503396384073,4,ATE1
ATF1,-0.7637172772810867,3,ATF1
ATF2,0.34535255729803954,2,ATF2
ATG14,-1.5637747757935023,3,ATG14
ATG3,1.7798622048173982,5,ATG3
ATG4A,0.9357560054767105,6,ATG4A
ATG4B,1.7798622048173982,5,ATG4B
ATG7,2.744565118564377,6,ATG7
ATM,0.29833711304526755,1,ATM
ATP6AP1,-2.6195572517267958,4,ATP6AP1
ATR,1.0567916102389592,2,ATR
AURKA,-0.5792181983677217,2,AURKA
AURKB,0.9538003616157941,1,AURKB
AUTS2,-1.9101298543703145,4,AUTS2
AXIN2,-0.5860528292930894,2,AXIN2
AXL,-1.2884359748743563,4,AXL
BAD,-1.5790921339912989,4,BAD
BAG1,-0.5484619545077397,4,BAG1
BAG2,-0.6753282618572596,4,BAG2
BAG5,-0.9719282859041858,4,BAG5
BAK1,0.33487888800564253,4,BAK1
BANP,1.2766069112294094,4,BANP
BAP1,1.4681811450468278,3,BAP1
BAX,0.33487888800564253,4,BAX
BCAP31,0.628552970658178,4,BCAP31
BCAR3,-1.318588045270088,3,BCAR3
BCL2,1.8127324075700126,4,BCL2
BCL2L1,0.8245206208564104,4,BCL2L1
BCL2L2,-0.5835898874019095,5,BCL2L2
BCL3,-0.7316893044456895,3,BCL3
BCOR,-1.6604362457021242,3,BCOR
BCORL1,0.7407626375901613,1,BCORL1
BCR,1.6509538336042815,3,BCR
BDKRB1,0.6772428673150097,3,BDKRB1
BDNF,1.3652379082880708,4,BDNF
BECN1,-1.5637747757935023,3,BECN1
BID,0.75198062367944285,5,BID
BIRC3,-0.9188247609741955,3,BIRC3
BIRC7,-1.028571095272596,5,BIRC7
BMF,-2.6385407282591364,5,BMF
BMP1,1.017982108309133,4,BMP1
BMP5,0.7771592376776235,5,BMP5
BMP8B,0.8174959354311875,5,BMP8B
BMPR1A,0.7160149949077721,4,BMPR1A
BMPR1B,0.7160149949077721,4,BMPR1B
BMPR2,1.118278072298607,5,BMPR2
BNIP3,1.8127324075700126,4,BNIP3
BRAF,-0.3632623376558686,3,BRAF
BRCA1,-0.6426656307502326,3,BRCA1
BRD2,0.9071826342866235,2,BRD2
BRD4,0.7453575872978631,2,BRD4
BRIP1,-0.7871591407428413,4,BRIP1
BRMS1,-0.7453575872978631,2,BRMS1
BRSK1,1.0501069768238191,4,BRSK1
BRSK2,-0.9675667573992289,2,BRSK2
BTF3,-0.9655994370336332,4,BTF3
BTG3,0.9881242974327467,6,BTG3
BTK,-1.5018235078053335,4,BTK
C1RL,0.6464617834732714,6,C1RL
C3,1.1208100451240586,5,C3
CABIN1,-1.1502624249413849,3,CABIN1
CALU,0.58907216162875,6,CALU
CAMK1,0.7270647716040566,3,CAMK1
CAMK2A,0.4365943181564108,1,CAMK2A
CAMK2B,-0.9675667573992289,2,CAMK2B
CAMK2D,0.7407626375901613,1,CAMK2D
CAMK4,-0.7407626375901613,1,CAMK4
CAMKK1,-1.8998493771239657,2,CAMKK1
CAMKK2,-1.8998493771239657,2,CAMKK2
CAMP,0.5198009759749548,2,CAMP
CAPN2,-0.5860528292930894,2,CAPN2
CAPN3,-0.5860528292930894,2,CAPN3
CAPNS1,-0.7721825249492342,3,CAPNS1
CARD11,0.8230793166210363,5,CARD11
CARD8,-0.6441786379792349,4,CARD8
CARD9,0.4074083861009873,2,CARD9
CARM1,0.7453575872978631,2,CARM1
CASP1,-0.529215159701893,3,CASP1
CASP4,-0.6611610393633334,4,CASP4
CASP5,-0.9216550759501562,4,CASP5
CASP6,-1.8388805625019577,4,CASP6
CASP7,-0.9059185497901182,3,CASP7
CASP8,-0.4998478714830629,3,CASP8
CASP8AP2,1.075283358402095,3,CASP8AP2
CASP9,0.6470439643174939,3,CASP9
CAST,1.0123956247182107,3,CAST
CAV1,-0.9071826342866235,2,CAV1
CBL,0.5854171937181076,3,CBL
CCAR2,2.3445864496770543,3,CCAR2
CCL2,-0.7722815396592329,5,CCL2
CCL7,0.6221518727515857,5,CCL7
CCNF,1.1820265199852826,4,CCNF
CCNH,0.6025096996888326,3,CCNH
CD19,-0.5453820756754488,3,CD19
CD22,-0.7188452285037513,4,CD22
CD247,1.3918271348119444,3,CD247
CD28,-1.6811601663498716,4,CD28
CD4,1.011211225725939,3,CD4
CD40,0.8414098166338145,4,CD40
CDC25A,0.7938716036359003,2,CDC25A
CDC42,0.6268438968564498,2,CDC42
CDC7,1.5637747757935023,3,CDC7
CDCA5,-1.4681811450468278,3,CDCA5
CDH1,0.434898209256466,3,CDH1
CDH4,-1.6509538336042815,3,CDH4
CDK1,0.29833711304526755,1,CDK1
CDK10,-0.6980745753340857,5,CDK10
CDK11A,-0.5512490251805063,5,CDK11A
CDK2,0.7875144094813825,2,CDK2
CDK2AP1,-0.9268262508992166,3,CDK2AP1
CDK5,0.29833711304526755,1,CDK5
CDK5RAP2,1.3163592690800865,4,CDK5RAP2
CDK6,0.47427996918127124,3,CDK6
CDK7,0.5256729943064419,2,CDK7
CDKN1A,-0.34535255729803954,2,CDKN1A
CDKN2A,0.6373946127248876,3,CDKN2A
CDON,1.1618228270072999,2,CDON
CEBPA,2.2173349526526573,0,CEBPA
CEBPB,-0.4346308788796226,3,CEBPB
CFH,-1.0017581229048482,6,CFH
CFHR1,1.0017581229048482,6,CFHR1
CFI,-1.0017581229048482,6,CFI
CFLAR,0.32212307485892516,4,CFLAR
CHEK1,1.182900564894811,2,CHEK1
CHEK2,1.497617449176304,3,CHEK2
CHFR,0.5792181983677217,2,CHFR
CHM,1.5821890724360215,6,CHM
CHN1,1.6509538336042815,3,CHN1
CHRM4,-1.1949925086943116,4,CHRM4
CHRM5,0.6772428673150097,3,CHRM5
CHUK,0.9071826342866235,2,CHUK
CISD2,1.8315143369771942,5,CISD2
CLASP2,0.6477434818152662,4,CLASP2
CLK1,-0.6426656307502326,3,CLK1
CLK2,1.2611457858629715,3,CLK2
CLK4,-0.6426656307502326,3,CLK4
CLN8,0.9071826342866235,2,CLN8
CLU,-1.075283358402095,3,CLU
CNKSR1,-0.6753282618572596,4,CNKSR1
CNOT9,-0.6684458430123444,5,CNOT9
CNR1,-1.3245746646063306,4,CNR1
COL18A1,0.5952432466864601,3,COL18A1
COL1A1,0.5952432466864601,3,COL1A1
COL1A2,0.5952432466864601,3,COL1A2
COL2A1,0.5952432466864601,3,COL2A1
COL3A1,0.5952432466864601,3,COL3A1
COL4A1,0.5952432466864601,3,COL4A1
COL4A2,-0.9655994370336332,4,COL4A2
COL4A4,0.5952432466864601,3,COL4A4
COL4A6,0.5952432466864601,3,COL4A6
COL5A1,0.5952432466864601,3,COL5A1
COL5A2,0.5952432466864601,3,COL5A2
COL6A1,0.5952432466864601,3,COL6A1
COMP,0.5952432466864601,3,COMP
COPS3,-1.9101298543703145,4,COPS3
CORT,0.6777115185046593,4,CORT
COX5B,0.708337346359374,5,COX5B
CR2,-0.6791132347855213,4,CR2
CRADD,-0.6948490107286568,4,CRADD
CREBBP,0.9132971358090564,2,CREBBP
CRK,-0.5792181983677217,2,CRK
CRKL,0.3712216248416847,3,CRKL
CRTC3,-0.8860638419340989,4,CRTC3
CSK,1.0342047555967395,3,CSK
CSNK1A1,-2.4798938696624164,1,CSNK1A1
CSNK1E,0.3901802978370203,2,CSNK1E
CSNK1G1,0.8765412553240899,3,CSNK1G1
CSNK1G3,-0.604722739529853,4,CSNK1G3
CSNK2A1,0.4365943181564108,1,CSNK2A1
CSNK2B,0.49045022044532455,3,CSNK2B
CTBP1,-1.4213532077004245,5,CTBP1
CTDNEP1,0.7771592376776235,5,CTDNEP1
CTNND1,-1.6509538336042815,3,CTNND1
CTTNBP2NL,1.075283358402095,3,CTTNBP2NL
CUL3,0.7637172772810867,3,CUL3
CXCL17,-1.0966797060920377,5,CXCL17
CYSLTR2,0.6772428673150097,3,CYSLTR2
CYTH2,0.9479880797581515,5,CYTH2
DAAM1,-0.7637172772810867,3,DAAM1
DAB2IP,-0.5860528292930894,2,DAB2IP
DAP3,0.708337346359374,5,DAP3
DAPK1,1.7841913227691155,3,DAPK1
DAPK3,-0.803384788107089,3,DAPK3
DAXX,-0.6938883608115088,3,DAXX
DCAF7,3.1527754015095666,2,DCAF7
DCC,-2.1178438488305456,4,DCC
DDB1,1.075283358402095,3,DDB1
DDB2,0.6030479312569509,3,DDB2
DDIT3,1.1208100451240586,5,DDIT3
DDX17,0.3901802978370203,2,DDX17
DDX3X,0.9071826342866235,2,DDX3X
DDX5,-0.45282899352808315,3,DDX5
DEF6,0.7277471040192002,3,DEF6
DHX58,-0.7886034152644855,3,DHX58
DIABLO,0.9782414693279994,4,DIABLO
DKK1,-0.6772428673150097,3,DKK1
DKK2,-0.6772428673150097,3,DKK2
DKK4,-0.6772428673150097,3,DKK4
DLC1,1.596278877497873,6,DLC1
DLG4,0.76339549242273,5,DLG4
DLGAP1,0.6114202342279884,5,DLGAP1
DLX5,-0.32629530917485794,1,DLX5
DNAJC5,-1.4344725395577838,4,DNAJC5
DOCK7,-0.650254504444153,3,DOCK7
DOK1,-1.5255920033042685,3,DOK1
DRD1,0.6772428673150097,3,DRD1
DRD2,-1.9457460494928054,4,DRD2
DRD4,-1.4132599817658058,4,DRD4
DTL,1.4213532077004245,5,DTL
DTNBP1,0.6428045690193006,5,DTNBP1
DTX1,0.7453575872978631,2,DTX1
DUSP10,-1.2254072143317711,2,DUSP10
DUSP16,-1.1618228270072999,2,DUSP16
DUSP18,-1.3673477864169457,4,DUSP18
DUSP2,1.1362008742576906,2,DUSP2
DUSP26,-1.1618228270072999,2,DUSP26
DUSP3,0.8991006347869247,2,DUSP3
DUSP5,-0.4619864958932244,2,DUSP5
DUSP6,-0.2597224711755277,2,DUSP6
DUSP7,-1.1362008742576906,2,DUSP7
DVL1,0.49145583015210625,2,DVL1
DVL2,-1.515854505242744,3,DVL2
DVL3,-1.466912853847236,3,DVL3
