source,score,level,source_original
AAK1,-1.165788418803038,4,AAK1
AANAT,-1.145930833942616,3,AANAT
AATK,-1.8203379559386939,4,AATK
ABL1,0.4549454530252239,2,ABL1
ACAA2,1.0989670012568886,5,ACAA2
ACAT1,1.3731506477658595,6,ACAT1
ACE2,1.2603712686650084,6,ACE2
ACP1,-1.2043723720776325,2,ACP1
ACTB,-0.3203352594616967,3,ACTB
ACTN1,1.7460213420534876,4,ACTN1
ACVR1,0.5931242914425111,5,ACVR1
ACVRL1,1.569592100207023,5,ACVRL1
ADA,1.3739510867830604,5,ADA
ADAM10,-0.40583588841709795,4,ADAM10
ADAM12,0.38526225203102676,3,ADAM12
ADAM17,1.160224002564743,3,ADAM17
ADAM23,-0.9507901920303703,5,ADAM23
ADAM9,1.0901185839048184,4,ADAM9
ADM,1.8757976780990664,5,ADM
ADNP,0.6823438808182044,4,ADNP
ADRA1A,1.2895648567827949,4,ADRA1A
ADRB2,1.7757260506540131,4,ADRB2
AFAP1L2,0.38526225203102676,3,AFAP1L2
AGT,1.1102621713739003,5,AGT
AGTR1,1.634333525738041,4,AGTR1
AKAP5,-0.6376725435517208,3,AKAP5
AKAP8,-0.6376725435517208,3,AKAP8
AKT1,1.572978125736966,1,AKT1
AKT1S1,1.131146469288975,4,AKT1S1
AKT2,0.5794156412580856,3,AKT2
AKT3,0.6755664548428599,3,AKT3
ALDH2,-1.4405692075723489,5,ALDH2
AMH,1.2708240229189478,6,AMH
AMHR2,1.2708240229189478,6,AMHR2
AMOT,1.2878043271286237,5,AMOT
ANK2,0.4303782843588072,5,ANK2
ANK3,-1.123138010321859,4,ANK3
ANKRD6,-0.5523323258793176,3,ANKRD6
ANXA1,1.2926645207502188,5,ANXA1
APAF1,0.75797148295091,4,APAF1
APBA3,-1.7266738981854413,6,APBA3
APC2,-0.7572407622798983,4,APC2
APEX1,-0.38613309493972375,3,APEX1
APH1A,-1.4366517641353116,5,APH1A
APH1B,-1.4366517641353116,5,APH1B
APLN,1.2926645207502188,5,APLN
ARAF,-1.807453607453774,2,ARAF
ARF1,1.756566687875879,4,ARF1
ARF6,0.877990782327483,5,ARF6
ARHGAP1,1.082470180783669,4,ARHGAP1
ARHGAP32,0.4460328913084196,3,ARHGAP32
ARHGEF2,0.9897335866785552,3,ARHGEF2
ARHGEF6,0.9897335866785552,3,ARHGEF6
ARHGEF7,0.9897335866785552,3,ARHGEF7
ARRB1,0.577113692118726,4,ARRB1
ARRB2,-1.6884003078339085,4,ARRB2
ASAP2,-1.3861458629487817,5,ASAP2
ASB2,-1.210923122521407,5,ASB2
ASB3,1.93038170234634,5,ASB3
ASH2L,-1.2476890243619656,5,ASH2L
ASXL1,0.597707473588397,3,ASXL1
ASXL3,-1.8544281341894613,4,ASXL3
ATAD5,-1.8015743047042219,4,ATAD5
ATF2,-0.5904121643334213,4,ATF2
ATG3,-1.4188479157045601,5,ATG3
ATG4B,-1.4188479157045601,5,ATG4B
ATG7,-0.5019208801898938,6,ATG7
ATG9A,1.052079991323426,6,ATG9A
ATM,1.2746763147591307,2,ATM
ATP6AP1,1.2166146302689174,4,ATP6AP1
ATR,0.5257788322917651,2,ATR
AURKA,1.0797335240915635,3,AURKA
AURKB,-1.1885045590458152,2,AURKB
AUTS2,0.8164731718137023,4,AUTS2
AVPR1B,2.2735657872810533,4,AVPR1B
AXIN1,-1.7074207134763766,3,AXIN1
AXIN2,-0.7670546600065354,3,AXIN2
AXL,1.2609139331141261,4,AXL
AZI2,0.9897335866785552,3,AZI2
BAD,-1.145930833942616,3,BAD
BAG1,1.2322767432791712,4,BAG1
BAG2,-2.706117226030991,4,BAG2
BAG5,0.7670546600065354,3,BAG5
BAK1,1.9255071579860603,4,BAK1
BAMBI,1.38878157757186,4,BAMBI
BANP,1.5398979524819023,6,BANP
BAP1,-1.0693667715958317,4,BAP1
BAX,0.960517876102926,4,BAX
BCAR1,0.9897335866785552,3,BCAR1
BCAR3,0.9760967082095089,3,BCAR3
BCL2,-0.8164731718137023,4,BCL2
