source,score,level,source_original
AAK1,0.38121379368510305,4,AAK1
AATK,0.5683993730555289,5,AATK
ABL1,2.0194754442598724,3,ABL1
ABL2,-1.194800938605067,5,ABL2
ACAA2,-1.6280258135150865,6,ACAA2
ACP1,3.3676413769474554,4,ACP1
ACTB,-2.7536932512091745,4,ACTB
ACTN1,0.7515710396910432,5,ACTN1
ADAM10,-0.9205615537855552,4,ADAM10
ADAM12,0.9263779417035821,4,ADAM12
ADAM15,0.9263779417035821,4,ADAM15
ADAM17,0.9263779417035821,4,ADAM17
ADAM2,0.9263779417035821,4,ADAM2
ADAM9,0.9263779417035821,4,ADAM9
ADAMTS13,-0.7180707131545883,5,ADAMTS13
ADCY5,0.9263779417035821,4,ADCY5
ADIPOQ,-1.2302597671494329,6,ADIPOQ
ADNP,-1.3529577648009543,6,ADNP
AFAP1L2,1.7130878226038366,5,AFAP1L2
AGT,-1.276409285434733,5,AGT
AGTR1,-1.4717031982506834,4,AGTR1
AHSA1,-1.7711310005750542,5,AHSA1
AKAP5,0.8162140451863724,3,AKAP5
AKAP8,0.8162140451863724,3,AKAP8
AKT1,-0.7748933334786432,3,AKT1
AKT1S1,-1.2591449364172864,6,AKT1S1
AKT2,-1.2423412115496506,3,AKT2
AKT3,-1.2423412115496506,3,AKT3
ALDH2,-0.817038220390748,5,ALDH2
AMOT,50.23166688554367,1,AMOT
ANAPC1,-0.9205615537855552,4,ANAPC1
ANK3,0.2648670867243307,5,ANK3
ANKRD6,0.6831299122560337,2,ANKRD6
APAF1,1.2454723811336028,5,APAF1
APBB1,-0.817038220390748,5,APBB1
APEX1,0.4447082676620001,3,APEX1
APIP,-1.07617528602512,6,APIP
APPL1,-1.3141169334905585,4,APPL1
AR,-0.9205615537855552,4,AR
ARAF,0.5480510329720029,4,ARAF
ARF1,0.5520827628579855,6,ARF1
ARHGAP1,-0.32161350963693613,5,ARHGAP1
ARHGAP32,1.450168625096846,5,ARHGAP32
ARHGEF2,0.32868017219224754,5,ARHGEF2
ARHGEF6,0.4269276705349688,4,ARHGEF6
ARHGEF7,-0.5851161443309393,5,ARHGEF7
ARRB1,0.9263779417035821,4,ARRB1
ARRB2,-0.547234798330533,6,ARRB2
ASB2,-0.5211437483616267,6,ASB2
ASB9,2.4025324724440416,6,ASB9
ASH2L,0.6625108119191552,6,ASH2L
ASXL3,0.9205615537855552,4,ASXL3
ATAD5,0.39795008263113313,5,ATAD5
ATE1,0.9676250643479158,6,ATE1
ATF1,1.5159874393717365,6,ATF1
ATF2,-0.9205615537855552,4,ATF2
ATM,-0.5164620153768266,3,ATM
ATP6AP1,-2.29529634235351,6,ATP6AP1
ATR,-0.5164620153768266,3,ATR
ATXN2L,-1.829944277084665,5,ATXN2L
AURKA,0.6831299122560337,2,AURKA
AURKB,-0.4447082676620001,3,AURKB
AXIN1,1.4283748869023396,5,AXIN1
AXL,2.5159336871468567,5,AXL
AZI2,-1.2249003721608336,5,AZI2
BAD,0.4447082676620001,3,BAD
BAG1,0.817038220390748,5,BAG1
BAG2,-2.1162054002424417,4,BAG2
BAK1,-0.38121379368510305,4,BAK1
BAMBI,-0.7067036932816695,6,BAMBI
BAP1,0.7132317059687031,5,BAP1
BAX,-0.38121379368510305,4,BAX
BCAR1,-0.35510302785421605,5,BCAR1
BCL2,0.273138360577084,5,BCL2
BCL2L1,-0.38695115366944033,5,BCL2L1
BCL2L2,0.5217696373035073,5,BCL2L2
BCL3,-0.9205615537855552,4,BCL3
BCL6,-0.4447082676620001,3,BCL6
BCOR,-0.9205615537855552,4,BCOR
BCORL1,0.7132317059687031,5,BCORL1
BDNF,0.6148379737386066,6,BDNF
BECN1,0.38121379368510305,4,BECN1
BHLHE40,2.1315909968061026,0,BHLHE40
BID,-0.5217696373035073,5,BID
BIRC2,-1.5593849257108747,4,BIRC2
BIRC3,-1.5593849257108747,4,BIRC3
BIRC5,-1.5593849257108747,4,BIRC5
BIRC6,-0.6196182763767522,5,BIRC6
BIRC7,-2.5104813695946384,6,BIRC7
BLVRA,-0.7448575388848839,5,BLVRA
BMP1,1.2475973858294531,5,BMP1
BMPR1A,0.27998722400534415,6,BMPR1A
BNIP3,1.8157313757312397,5,BNIP3
BRAF,0.5019273818229991,5,BRAF
BRAP,-0.9205615537855552,4,BRAP
BRCA1,-2.596813461091894,4,BRCA1
BRD4,0.5413731259741326,4,BRD4
BRIP1,0.38121379368510305,4,BRIP1
BRMS1,-0.917847088003998,4,BRMS1
BRSK1,0.6006614038411635,6,BRSK1
BTF3,2.146625689027686,6,BTF3
BTG2,0.9051765314030591,5,BTG2
BTK,-1.419990455089547,5,BTK
BTRC,0.9205615537855552,4,BTRC
CAMK1,-0.38121379368510305,4,CAMK1
CAMK2A,0.38109979787353343,4,CAMK2A
CAMK2D,0.6701386957071732,5,CAMK2D
CAMK4,0.38121379368510305,4,CAMK4
CAMKK1,-0.7244488867150738,4,CAMKK1
CAMKK2,-0.7244488867150738,4,CAMKK2
CAMP,0.8162140451863724,3,CAMP
CAND1,1.4283242780334835,6,CAND1
CAPN1,-0.8418961966486413,4,CAPN1
CAPN2,-0.26842845782935837,4,CAPN2
CAPN3,-0.26842845782935837,4,CAPN3
CARD18,1.050915732251264,6,CARD18
CARD8,-1.2454723811336028,5,CARD8
CARM1,0.5413731259741326,4,CARM1
CASP1,0.44764961821506744,5,CASP1
CASP10,1.5593849257108747,4,CASP10
