source,score,level,source_original
ACAA2,-0.8021099996060596,4,ACAA2
ACE2,-0.6546552595984455,5,ACE2
ACTN1,0.8457217128577481,3,ACTN1
ADAM15,0.5224553868768136,3,ADAM15
ADIPOQ,-1.8077754902027459,5,ADIPOQ
AGT,-0.5935724474318483,4,AGT
AGTR1,-0.2773929325483364,3,AGTR1
AIMP1,-0.7364079397694633,4,AIMP1
AKT1,0.40031941727999354,2,AKT1
AKT1S1,0.5444998350478305,4,AKT1S1
ANK2,0.5680322534009846,5,ANK2
APPL1,-0.8795845346336925,3,APPL1
ARAF,0.5773179676734359,2,ARAF
ARF1,-1.417911080689431,4,ARF1
ARF6,-0.8413141099373433,5,ARF6
ARHGEF6,0.4052706179354288,2,ARHGEF6
ARHGEF7,0.6608541266763952,3,ARHGEF7
ASAP2,1.49250974100232,5,ASAP2
ASH2L,-2.9389344592353526,5,ASH2L
ATAD5,0.501340281782012,3,ATAD5
ATG3,-1.07619047718775,4,ATG3
ATG4B,-1.07619047718775,4,ATG4B
ATG7,-1.319356225634145,4,ATG7
ATG9A,-1.3974585700510145,6,ATG9A
AURKB,0.2752613345899256,2,AURKB
AXL,0.567432715082149,3,AXL
BAG1,-0.7310171170103349,4,BAG1
BAG2,2.1258121628070406,4,BAG2
BAG5,-1.0817427944847648,4,BAG5
BAK1,0.45873252664828457,3,BAK1
BAMBI,0.5976228187834147,4,BAMBI
BAX,0.45873252664828457,3,BAX
BCL2L2,-0.9099842169212911,4,BCL2L2
BCL6,2.002995798098854,0,BCL6
BCORL1,-1.0809629513970707,4,BCORL1
BECN1,-0.45873252664828457,3,BECN1
BID,1.01651376912535,4,BID
BIRC7,-0.7783999606569221,4,BIRC7
BMF,0.2672741486914187,4,BMF
BMP1,0.6133127262989224,4,BMP1
BNIP3,0.5492000470652989,3,BNIP3
BRAF,1.6694729835061672,3,BRAF
BRSK1,1.3777978368259884,4,BRSK1
BRSK2,-0.7284979821080436,3,BRSK2
BTG2,2.158901704379812,0,BTG2
BTK,-4.268572060755803,3,BTK
C3,-0.6272795624934939,4,C3
CABIN1,0.9897695647136623,4,CABIN1
CALU,-0.8452484382949533,6,CALU
CAMK2D,0.5294702066956787,3,CAMK2D
CAPN1,-0.33289974409482015,2,CAPN1
CAPRIN2,-0.5988431925172252,4,CAPRIN2
CARD11,0.7318447135855829,5,CARD11
CARD18,1.3371883196547525,4,CARD18
CASP1,-0.5204145132314958,3,CASP1
CASP4,-1.079635385281389,4,CASP4
CAST,0.8758811246862712,3,CAST
CAV1,1.1634041714977605,3,CAV1
CCND2,-0.5492000470652989,3,CCND2
CD19,0.5507976234677376,3,CD19
CD22,0.5010017238709819,3,CD22
CD28,0.7499008504994142,3,CD28
CD3E,0.7986084996429241,3,CD3E
CD4,0.5332509420816535,3,CD4
CDC25A,-0.2719431545794623,2,CDC25A
CDC42,0.3133788891982256,2,CDC42
CDK1,1.1710021752907278,2,CDK1
CDK10,1.0448995762719953,4,CDK10
CDK11A,-0.5990409671102962,5,CDK11A
CDK19,0.5990409671102962,5,CDK19
CDK5R1,-1.0631445947168578,4,CDK5R1
CDK5RAP3,2.101464562857233,3,CDK5RAP3
CDK6,0.3255075469396284,3,CDK6
CDKN1A,-0.7202816785374683,3,CDKN1A
CDKN1B,1.1303627233583584,4,CDKN1B
CDKN2B,0.5492000470652989,3,CDKN2B
CEBPA,0.7897963183849486,3,CEBPA
CEBPB,1.6082128573013181,3,CEBPB
CFH,0.6530771543395264,5,CFH
CFHR1,-0.6530771543395264,5,CFHR1
CFI,0.6530771543395264,5,CFI
CIITA,2.2301137311406665,0,CIITA
CLASP2,-1.3272322502817415,4,CLASP2
CLN8,-1.6732969013856187,3,CLN8
CLOCK,-0.7731103379396711,6,CLOCK
CNKSR1,0.9796183098828635,4,CNKSR1
CNTN1,0.555913329619867,4,CNTN1
COL18A1,0.5224553868768136,3,COL18A1
COL1A1,0.5224553868768136,3,COL1A1
COL5A3,0.5990409671102962,5,COL5A3
CR2,0.804922312158384,4,CR2
CREB1,0.28453464173635157,2,CREB1
CREM,-0.5294702066956787,3,CREM
CRKL,0.7986084996429241,3,CRKL
