source,target,sign
ABL1,BCAR1,1
ABL1,CASP9,1
ABL1,CAV1,1
ABL1,CBL,1
ABL1,CDKN1B,-1
ABL1,CEBPB,1
ABL1,CRKL,1
ABL1,EGFR,1
ABL1,EPHB2,1
ABL1,ESR1,1
ABL1,GRB2,-1
ABL1,HIPK2,1
ABL1,IRS1,1
ABL1,JAK2,1
ABL1,MAP4K1,1
ABL1,MDM2,-1
ABL1,MET,1
ABL1,NCK1,1
ABL1,PLK1,1
ABL1,PPARG,1
ABL1,PRKD1,1
ABL1,PSTPIP1,1
ABL1,PTPN6,1
ABL1,RB1,-1
ABL1,RIN1,1
ABL1,SHC1,1
ABL1,STAT3,1
ABL1,STAT5A,1
ABL1,STAT5B,1
ABL1,STAT6,1
ABL1,STK3,1
ABL1,STK4,1
ABL1,TP73,1
ABL1,YAP1,1
ABL1,parent_of_ACTB1,1
ABL1,parent_of_CBL1,1
ACTB,ABL1,-1
ACTB,parent_of_ACTB1,1
ACTN1,CAPN1,-1
ACTR2,parent_of_SMAD21_____SMAD31,1
ACVR2A,parent_of_SMAD21_____SMAD31,1
ACVR2B,BMPR1A,1
ACVR2B,SMAD3,1
ACVR2B,parent_of_SMAD21_____SMAD31,1
ADA,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1_____GNB21,1
ADAM10,CDH1,1
ADAM10,EGF,1
ADAM10,ERBB2,1
ADAM10,NOTCH2,1
ADAM10,parent_of_EGFR1_____ERBB41,1
ADAM15,ITGA5,1
ADAM15,ITGB1,1
ADAM15,ITGB3,1
ADAM15,parent_of_CSK1,1
ADRM1,UCHL5,1
AIMP1,SMURF2,1
AKT1,BRCA1,1
AKT1,CASP9,-1
AKT1,CDKN1B,-1
AKT1,CFLAR,-1
AKT1,EIF4EBP1,1
AKT1,ESR1,1
AKT1,FOXO3,1
AKT1,GSK3B,-1
AKT1,IKBKB,1
AKT1,NR4A1,-1
AKT1,NUAK1,1
AKT1,PAK1,1
AKT1,SH2B2,1
AKT1,SMAD3,1
AKT1,SMARCB1,1
AKT1,STK3,-1
AKT1,THRA,1
AKT1,WNK1,1
AKT1,YAP1,-1
AKT1,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,-1
AKT1,parent_of_CASP3-1_____CASP7-1_____CASP9-1,1
AKT1,parent_of_CXCR41,1
AKT1,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1,1
AKT1,parent_of_ITCH1,-1
AKT3,CASP9,-1
AKT3,FOXO3,-1
AKT3,GSK3B,-1
AKT3,STK3,-1
AMOT,WWTR1,-1
AMOT,YAP1,-1
ANXA1,parent_of_GNAI11_____GNAI31,1
APAF1,CASP9,1
APC2,AXIN1,1
APC2,CTNNB1,1
APIP,APAF1,-1
APLN,parent_of_GNAI11_____GNAI31,1
APOA1,parent_of_LRP51,1
ARHGEF6,CBL,-1
ARHGEF6,PAK1,1
ARRB1,DVL1,1
ARRB1,F2RL1,-1
ARRB1,FZD1,1
ARRB1,GNAI1,-1
ARRB1,GNAI2,-1
ARRB1,SMO,1
ARRB1,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1_____GNB21,-1
ARRB2,GNAI1,-1
ARRB2,GNAI2,-1
ARRB2,parent_of_GNAL1_____GNAS1,-1
ASB3,TNFRSF1B,-1
ASB9,parent_of_ACTB1,-1
ASH2L,GATA3,1
ATG4A,parent_of_SQSTM11,1
ATG7,MAP1LC3A,1
ATG7,MAP1LC3B,1
ATG7,parent_of_SQSTM11,1
ATG9A,YWHAE,1
ATM,ABL1,1
ATM,BID,1
ATM,BRCA1,1
ATM,DYRK2,1
ATM,EIF4EBP1,1
ATM,PLK1,-1
ATM,RPA1,-1
ATM,RPA2,1
ATM,SIAH1,-1
ATM,TRAF6,1
ATM,parent_of_BRCA11,1
ATM,parent_of_CCND1-1,1
ATM,parent_of_ESR11,1
ATM,parent_of_PLK11,1
ATM,parent_of_SQSTM11,1
ATRX,ZBED1,1
ATXN2L,parent_of_JAK21_____TYK21,-1
AURKA,BRCA1,1
AURKA,FADD,1
AURKA,LATS2,1
AURKA,PLK1,1
AURKB,BIRC5,-1
AURKB,RB1,1
AURKB,parent_of_ACTB1,1
AVPR1B,GNAS,1
AXIN1,MYC,1
AXIN1,RNF111,1
AXIN1,SMAD3,1
AXIN1,SMAD7,-1
BAD,BCL2L1,-1
BAD,BCL2L2,-1
BAD,parent_of_APAF11_____CASP91,1
BAK1,parent_of_APAF11_____CASP91,1
BAX,APAF1,1
BAX,CASP12,1
BAX,COX5B,1
BAX,parent_of_APAF11_____CASP91,1
BCAP31,BCL2L1,1
BCAP31,CASP8,-1
BCAR1,CRKL,1
BCAR1,SMAD3,-1
BCAR3,PAK1,1
BCL2,BID,-1
BCL2,parent_of_BCL2L1-1,-1
BCL2,parent_of_CYCS1,-1
BCL2L1,APAF1,-1
BCL2L1,BAK1,-1
BCL2L1,BAX,-1
BCL2L1,CASP9,-1
BCL2L2,BAK1,-1
BCL2L2,BAX,-1
BCL2L2,parent_of_BCL2L1-1,-1
BID,BAK1,1
BID,BAX,1
BID,BCL2L1,-1
BID,BCL2L2,-1
BID,COX5B,1
BID,parent_of_APAF11_____CASP91,1
BIRC5,CASP3,-1
BIRC5,CASP9,-1
BIRC5,parent_of_CASP3-1_____CASP7-1_____CASP9-1,1
BIRC6,CASP9,-1
BMF,BCL2,-1
BMF,BCL2L1,-1
BMF,BCL2L2,-1
BMP1,COL1A1,1
BMP10,ACVR2A,1
BMP10,ACVR2B,1
BMP10,BMPR2,1
BMP15,ACTR2,1
BMP15,BMPR2,1
BMP4,ACVR2A,1
BMP4,BMPR1A,1
BMP4,BMPR2,1
BMP6,ACVR2A,1
BMP6,ACVR2B,1
BMP6,BMPR2,1
BMP8A,ACVR2A,1
BMP8A,ACVR2B,1
BMP8A,BMPR2,1
BMPR1A,FAM83G,1
BMPR2,BMPR1A,1
BRCA1,ABL1,-1
BRCA1,NFE2L2,1
BRIP1,BRCA1,1
BRSK1,CAST,1
BTF3,parent_of_GALR11_____GALR21_____GALR31,-1
BTG2,NFE2L2,1
BTG2,parent_of_CDK41_____CDK61,-1
BTRC,CDC25A,1
BTRC,CTNNB1,1
BTRC,SMAD3,-1
BTRC,YAP1,-1
BTRC,parent_of_FZR1-1,-1
C3,parent_of_CSK1,1
CALU,GGCX,-1
CAMK1,CDKN1B,1
CAMK1,CREB1,1
CAMK1,NUMB,-1
CAMK1,PPME1,-1
