source,score,level,source_original
AAK1,-0.929438083495581,4,AAK1
AATK,-0.642125738097568,3,AATK
ABL1,1.4902939537742441,2,ABL1
ABL2,-0.5187559882605706,3,ABL2
ACAA2,1.0917676400020717,5,ACAA2
ACAT1,0.701497687834038,5,ACAT1
ACE2,-0.7802480237397328,5,ACE2
ACP1,-1.369044535629016,2,ACP1
ACTB,-1.419710137445227,3,ACTB
ACTN1,-0.6833047250790124,3,ACTN1
ACVR1,0.520166898598923,4,ACVR1
ACVR2A,-0.3556286624965433,3,ACVR2A
ACVRL1,0.8029855198249246,4,ACVRL1
ADA,-0.7518743223417726,4,ADA
ADAM10,-0.95908079655295575,3,ADAM10
ADAM17,0.4200797389188813,3,ADAM17
ADAM23,0.8996237955360075,4,ADAM23
ADAM9,-0.7253640566680114,3,ADAM9
ADIPOQ,1.1509415976641886,5,ADIPOQ
ADM,-0.9891160015146793,4,ADM
ADNP,1.0016921477015106,4,ADNP
ADRA1A,-0.7118463339563645,3,ADRA1A
ADRB2,-0.7118463339563645,3,ADRB2
AGT,-0.50366175023276,4,AGT
AGTR1,-0.6280446381778193,3,AGTR1
AHSA1,0.34551083896922563,3,AHSA1
AKT1,1.1516494603235914,1,AKT1
AKT1S1,1.159694730453484,4,AKT1S1
ALDH2,-2.1230213436352177,4,ALDH2
AMH,1.0130435422899249,5,AMH
AMHR2,1.0130435422899249,5,AMHR2
ANAPC1,-1.0016921477015106,4,ANAPC1
ANK3,0.9457540795046239,3,ANK3
ANXA1,-0.7518743223417726,4,ANXA1
APAF1,0.5553000177007783,4,APAF1
APBA3,0.8291021583902253,5,APBA3
APBB1,-1.9485957725272187,5,APBB1
APC2,-0.29331309154767127,3,APC2
APEX1,0.9228383545599741,2,APEX1
APH1A,1.256972002489173,4,APH1A
APH1B,1.256972002489173,4,APH1B
APLF,0.646328079778573,4,APLF
APLN,-0.7518743223417726,4,APLN
APPL1,1.324710241709797,3,APPL1
AR,0.8572663054017691,2,AR
ARHGAP32,-0.6352114602235612,2,ARHGAP32
ARHGEF2,1.2576986039775404,3,ARHGEF2
ARHGEF6,-2.3530450484340175,2,ARHGEF6
ARHGEF7,-0.8158723374531217,3,ARHGEF7
ARRB1,0.6327942240956013,3,ARRB1
ARRB2,1.1513180230238376,3,ARRB2
ASB2,-1.9678471614359527,4,ASB2
ASB3,-2.4389354084293706,5,ASB3
ASB9,1.1729815801745231,5,ASB9
ASXL1,2.7956700247212565,0,ASXL1
ASXL2,-0.8029066719888737,4,ASXL2
ATE1,1.479008038605152,4,ATE1
ATF2,0.9228383545599741,2,ATF2
ATG3,-0.30878870359003835,5,ATG3
ATG4A,0.6598242930600108,5,ATG4A
ATG7,1.1459140165729402,5,ATG7
ATM,-0.6844473425018149,1,ATM
ATP6AP1,1.0631730145355442,4,ATP6AP1
ATR,-0.5787171880508699,2,ATR
AURKB,-0.8018754233221332,2,AURKB
AVPR1B,-1.0529076491520295,3,AVPR1B
AZI2,1.225723607817523,3,AZI2
BAD,0.2606487173182386,4,BAD
BAG1,1.0048277936845218,4,BAG1
BAG2,-1.1039984253037949,4,BAG2
BAG5,-1.2726654148371834,4,BAG5
BAK1,0.29932398669791876,4,BAK1
BAMBI,-0.3556286624965433,3,BAMBI
BAP1,-0.7459707546164326,3,BAP1
BAX,0.29932398669791876,4,BAX
BCAR3,-2.3530450484340175,2,BCAR3
BCL2,-1.256972002489173,4,BCL2
BCL2L1,-1.2826420012918296,4,BCL2L1
BCL2L2,-0.34580680251910717,5,BCL2L2
BCL3,-1.492608729576288,4,BCL3
BCL6,0.7530244514645155,3,BCL6
BCOR,-2.9764283830811875,4,BCOR
BCORL1,-1.9729445438794488,1,BCORL1
BDKRB1,-1.0529076491520295,3,BDKRB1
BDNF,-1.1770220483241782,4,BDNF
BECN1,1.225723607817523,3,BECN1
BHLHE40,-2.654674852536114,0,BHLHE40
BID,-0.27723312485792556,5,BID
BIRC2,1.5196872799269272,3,BIRC2
BIRC3,1.5196872799269272,3,BIRC3
BIRC5,1.5196872799269272,3,BIRC5
BIRC6,-0.5044351773674525,4,BIRC6
BIRC7,2.702527107350136,5,BIRC7
BLVRA,0.9228383545599741,2,BLVRA
BMF,1.9116292141047009,5,BMF
BMP4,-0.3017724509258381,4,BMP4
BMP5,0.9972006800962001,5,BMP5
BMP8B,1.0130435422899249,5,BMP8B
BMPR1A,1.1761062207481858,4,BMPR1A
BMPR1B,1.1761062207481858,4,BMPR1B
BMPR2,1.4059824345854983,5,BMPR2
BNIP3,-1.256972002489173,4,BNIP3
BRAP,-0.6684032974305969,4,BRAP
BRCA1,-1.419710137445227,3,BRCA1
BRD2,-0.9246851162482566,4,BRD2
BRIP1,-1.3513224264381332,4,BRIP1
BRMS1,0.35273255807765025,3,BRMS1
BRSK2,1.095458772780453,2,BRSK2
BTF3,-0.8123757450607577,3,BTF3
BTG2,0.9876020993714244,3,BTG2
C1QBP,-0.8900578621099386,6,C1QBP
C3,0.6395558991371884,4,C3
CABIN1,-0.6961460715617904,4,CABIN1
CAMK1,1.143978080753056,1,CAMK1
CAMK2B,0.8006091491370363,2,CAMK2B
CAMK2G,2.3530450484340175,2,CAMK2G
CAMKK1,2.218164365179063,2,CAMKK1
CAMKK2,1.573555395096337,2,CAMKK2
CAND1,1.0503147521229466,4,CAND1
CAPN1,0.7907773730401397,2,CAPN1
CARD11,2.1369794299230267,5,CARD11
CARD18,2.2979228751758902,4,CARD18
CARD8,-0.5553000177007783,4,CARD8
CARD9,1.6946797937561375,2,CARD9
CASP1,-0.7531302646828951,3,CASP1
CASP10,-1.5196872799269272,3,CASP10
CASP12,0.8117930280421742,4,CASP12
CASP2,2.692306145481699,4,CASP2
CASP3,-1.306448614256426,2,CASP3
CASP4,-0.6934656803743466,4,CASP4
CASP5,1.5764454536449992,4,CASP5
CASP6,2.309267899195669,2,CASP6
CASP8,0.26554568421455926,3,CASP8
CASP8AP2,1.4814708577801203,4,CASP8AP2
CASP9,0.5144537343218449,3,CASP9
CAV1,-1.0362631632709063,3,CAV1
CBLB,0.711367804591383,2,CBLB
CBLC,2.5208323116454054,4,CBLC
CCK,-0.9891160015146793,4,CCK
CD19,0.41982149537795,3,CD19
CD247,0.642125738097568,3,CD247
CD28,-2.2832877349021703,3,CD28
CD3E,-2.6352588835517254,3,CD3E
CD40,2.9048591997981363,4,CD40
CD40LG,-1.256972002489173,4,CD40LG
