source,target,sign
AAK1,NUMB,1
AATK,CDK5R1,1
AATK,STK39,-1
ABL1,ABL2,1
ABL1,AHSA1,1
ABL1,APBB1,1
ABL1,ATR,1
ABL1,CASP9,1
ABL1,CAV1,1
ABL1,CD19,1
ABL1,CDK5,1
ABL1,CEBPB,1
ABL1,CRK,-1
ABL1,DDX5,1
ABL1,DOK1,1
ABL1,EGFR,1
ABL1,EPHB2,1
ABL1,ERCC6,1
ABL1,GRB2,-1
ABL1,HDAC2,1
ABL1,HIPK2,1
ABL1,HSPA1A,1
ABL1,IRS1,1
ABL1,JAK2,1
ABL1,JUN,1
ABL1,MAP2K6,1
ABL1,MAP3K1,1
ABL1,MDM2,-1
ABL1,MET,1
ABL1,MTOR,1
ABL1,MUC1,1
ABL1,NCK1,1
ABL1,NEDD9,1
ABL1,PDGFRB,1
ABL1,PPARG,1
ABL1,PRKCD,1
ABL1,PRKDC,-1
ABL1,PSTPIP1,1
ABL1,PTPN6,1
ABL1,PXN,1
ABL1,SHC1,1
ABL1,STAT3,1
ABL1,STAT6,1
ABL1,STK3,1
ABL1,STK4,1
ABL1,TP53BP1,1
ABL1,TP73,1
ABL1,UBE3A,-1
ABL1,VAV1,1
ABL1,YAP1,1
ABL1,parent_of_ACTB1,1
ABL1,parent_of_VAV11,1
ABL2,CEBPB,1
ABL2,CRK,-1
ABL2,PDGFRB,-1
ABL2,parent_of_ACTB1,1
ABL2,parent_of_BCL2L1-1,1
ABL2,parent_of_NFKB1-1,1
ACAA2,BNIP3,-1
ACAT1,parent_of_SMAD1-1,-1
ACE2,AGT,1
ACE2,APLN,1
ACP1,AKT1,-1
ACP1,CTNNB1,1
ACP1,EPHA2,1
ACP1,PDGFRB,-1
ACP1,PTK2,-1
ACP1,SRC,1
ACP1,ZAP70,1
ACTB,ABL1,-1
ACTB,PLD1,-1
ACTB,parent_of_ACTB1,1
ACTN1,CAPN1,-1
ACTN1,PLD1,-1
ACVR1,SMAD1,1
ACVR1,VPS39,1
ACVR1,parent_of_SMAD41,1
ACVR2A,ACVR1,1
ACVRL1,SMAD1,1
ADA,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1_____GNB21,1
ADAM10,EGF,1
ADAM10,ERBB2,1
ADAM10,NOTCH1,1
ADAM10,NOTCH2,1
ADAM10,parent_of_RBPJ1,1
ADAM17,ERBB4,1
ADAM17,ITGA5,1
ADAM17,MUC1,-1
ADAM17,NOTCH1,1
ADAM17,PTPRF,-1
ADAM17,parent_of_EGFR1_____ERBB21,1
ADAM23,ITGA5,1
ADAM23,ITGB3,1
ADAM9,FGFR2,-1
ADAM9,parent_of_CSK1,1
ADAM9,parent_of_CSK1_____PTK21_____SRC1,1
ADIPOQ,parent_of_APPL11,1
ADM,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
ADNP,CTNNB1,1
ADNP,MAP1LC3B,1
ADRA1A,GNA13,1
ADRA1A,GNAS,1
ADRB2,GNAS,1
ADRB2,GNB2,1
AGT,AGTR1,1
AGT,LRP2,1
AGT,parent_of_AGT1,1
AGTR1,GNA13,1
AGTR1,GNAI1,1
AHSA1,HSP90AB1,1
AKT1,ADRB2,-1
AKT1,AKT1S1,-1
AKT1,AR,-1
AKT1,BAD,-1
AKT1,BAX,-1
AKT1,BRCA1,1
AKT1,CASP9,-1
AKT1,CDKN1A,1
AKT1,CFLAR,-1
AKT1,CHEK1,-1
AKT1,CHUK,1
AKT1,CLK2,1
AKT1,CTNNB1,1
AKT1,DLX5,1
AKT1,EIF4EBP1,1
AKT1,FOXO1,-1
AKT1,FOXO3,1
AKT1,GAB2,-1
AKT1,GATA2,-1
AKT1,HSPB1,-1
AKT1,HTRA2,-1
AKT1,IKBKB,1
AKT1,IRAK1,-1
AKT1,IRS1,1
AKT1,ITGB3,-1
AKT1,KHSRP,-1
AKT1,MAP2K4,-1
AKT1,MAP3K11,-1
AKT1,MAP3K5,-1
AKT1,MDM2,1
AKT1,MST1,1
AKT1,MST1R,1
AKT1,NCOR1,-1
AKT1,NR3C1,-1
AKT1,NUAK1,1
AKT1,PAK1,1
AKT1,PPARGC1A,-1
AKT1,PRKAA1,-1
AKT1,PTEN,-1
AKT1,RAF1,-1
AKT1,RPS6KB1,1
AKT1,SH2B2,1
AKT1,SH3RF1,-1
AKT1,STK3,-1
AKT1,STK4,-1
AKT1,TOPBP1,1
AKT1,TP53BP1,-1
AKT1,TSC1,-1
AKT1,TSC2,-1
AKT1,TWIST1,1
AKT1,USP4,1
AKT1,WNK1,1
AKT1,YAP1,-1
AKT1,YWHAZ,1
AKT1,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,-1
AKT1,parent_of_CASP3-1_____CASP7-1_____CASP9-1,1
AKT1,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1,1
AKT1,parent_of_ITCH1,-1
AKT1,parent_of_MAP2K41_____MAP2K71,1
AKT1S1,parent_of_MTOR-1,-1
ALDH2,HDAC3,1
