source,score,level,source_original
AAK1,-0.6831672715651285,3,AAK1
AATK,-1.345875765826781,3,AATK
ACAT1,0.5647243823073549,5,ACAT1
ACE2,2.189816863041347,5,ACE2
ACP1,-0.30099272291856843,2,ACP1
ACTN1,3.497193313765102,3,ACTN1
ADAM10,0.695681408884518,2,ADAM10
ADAM17,0.695681408884518,2,ADAM17
ADIPOQ,-2.7379496509568466,5,ADIPOQ
ADM,2.208694632365292,4,ADM
ADRA1A,3.285585515342035,3,ADRA1A
ADRB2,3.285585515342035,3,ADRB2
AGT,2.485135728187683,4,AGT
AGTR1,2.059489015948102,3,AGTR1
AKAP5,0.2954384519286202,2,AKAP5
AKT1,1.5553231263504026,2,AKT1
AKT2,2.218401493755951,2,AKT2
AKT3,4.000102913953836,2,AKT3
ANKRD6,1.9353462521811913,3,ANKRD6
ANXA1,0.7805745626163934,5,ANXA1
APEX1,-0.5792463846842041,3,APEX1
APLN,0.7805745626163934,5,APLN
APOA1,2.208694632365292,4,APOA1
APPL1,-3.497193313765102,3,APPL1
AR,-0.30099272291856843,2,AR
ARF1,2.1473497169416067,4,ARF1
ARHGAP1,-3.285585515342035,3,ARHGAP1
ARHGAP32,2.123660409227044,3,ARHGAP32
ARHGEF2,-2.2911611241355243,4,ARHGEF2
ARHGEF6,-0.5103551191021999,3,ARHGEF6
ARHGEF7,3.285585515342035,3,ARHGEF7
ARRB1,0.96540236039734,3,ARRB1
ARRB2,-1.7906713933649734,4,ARRB2
ASAP2,-1.8744230245344173,5,ASAP2
ASB2,-1.536796086795786,4,ASB2
ASXL3,0.5906250486549204,3,ASXL3
ATE1,-0.5728415493287566,5,ATE1
ATF1,0.7495942764255459,4,ATF1
ATF2,-0.2911331805611136,3,ATF2
ATF3,1.931621379523874,5,ATF3
ATG7,-0.9433860499454118,5,ATG7
ATG9A,-0.9083429328855182,5,ATG9A
ATM,0.9231896407456327,2,ATM
ATR,0.2954384519286202,2,ATR
ATXN2L,1.0708632941635279,5,ATXN2L
AURKA,-0.44058676005235164,3,AURKA
AURKB,2.3177427015794487,2,AURKB
AUTS2,-0.8767604228780664,5,AUTS2
AVPR1B,3.285585515342035,3,AVPR1B
AXIN1,-0.29951600153195396,2,AXIN1
AXIN2,-4.000102913953836,2,AXIN2
BAD,-0.9764027317892504,4,BAD
BAG1,0.6077537334955887,4,BAG1
BAG2,-1.9475071135339546,4,BAG2
BANP,0.5331529727374942,3,BANP
BCAR3,-0.5103551191021999,3,BCAR3
BCL6,0.9148826071139741,4,BCL6
BCOR,-1.4077406200085432,2,BCOR
BCORL1,-2.735618873062783,2,BCORL1
BCR,1.5158444970506482,2,BCR
BDKRB1,3.285585515342035,3,BDKRB1
BECN1,0.6621891939597506,4,BECN1
BIRC7,-0.5667466621518447,5,BIRC7
BRAF,-1.906653600943538,3,BRAF
BRD2,-1.6741025935698732,3,BRD2
BRD4,0.6992602716286069,2,BRD4
BRMS1,-1.4117901840744635,2,BRMS1
BRSK1,4.464700764882932,4,BRSK1
BRSK2,0.5662308870483357,3,BRSK2
BTG2,1.4675634725237607,3,BTG2
BTG3,4.209583685242063,2,BTG3
C1RL,1.9360759995546923,6,C1RL
CABIN1,-1.167503560182028,3,CABIN1
CALU,-2.0508641211699237,6,CALU
CAMK2A,0.47145091470953787,1,CAMK2A
CAMK2D,-1.8748073408289008,2,CAMK2D
CAMK2G,1.8748073408289008,2,CAMK2G
CAMK4,2.219465203949718,2,CAMK4
CAMKK1,-0.44259388771659675,2,CAMKK1
CAMKK2,-0.44259388771659675,2,CAMKK2
CAPN1,-4.000102913953836,2,CAPN1
CAPN2,-4.000102913953836,2,CAPN2
CAPN3,-4.000102913953836,2,CAPN3
CAPNS1,-3.497193313765102,3,CAPNS1
CARD18,1.1057455379658194,4,CARD18
CARD9,1.7280018201567369,2,CARD9
CASP1,0.48234886286095435,3,CASP1
CASP3,0.3533116768317944,2,CASP3
CASP5,-1.4957271327064305,5,CASP5
CASP7,0.5525023820107348,3,CASP7
CASP8,0.4149399848876409,3,CASP8
CAST,6.270913416101843,3,CAST
CAV1,0.6964380984722652,3,CAV1
CBL,-0.2924712612943414,3,CBL
CBLC,0.6461306474009544,4,CBLC
CCK,2.208694632365292,4,CCK
CCND2,-1.121918382720596,2,CCND2
CCNH,-1.073192325567217,3,CCNH
CD247,1.345875765826781,3,CD247
CD28,-0.2523314994320998,4,CD28
CD3E,-0.6015422402839679,4,CD3E
CD4,0.6943665716296404,3,CD4
CDC25A,-1.2378746715492874,2,CDC25A
CDC42,4.000102913953836,2,CDC42
CDC7,0.7557813484774892,5,CDC7
CDH1,0.30099272291856843,2,CDH1
CDK4,-1.984673391962424,1,CDK4
CDK7,-1.1609806918612346,2,CDK7
CDK8,0.5724980189222072,2,CDK8
CDK9,-0.44708058783375426,1,CDK9
CDKN1A,1.2378746715492874,2,CDKN1A
CDKN1B,1.4675634725237607,3,CDKN1B
CDKN2A,1.024949526476622,2,CDKN2A
CDKN2B,1.629969800970788,2,CDKN2B
CDKN2C,1.629969800970788,2,CDKN2C
CDON,1.1305162489067024,2,CDON
CEBPA,0.7695156421255464,4,CEBPA
CHN1,0.8253553570459181,4,CHN1
CHRM1,3.285585515342035,3,CHRM1
CHRM5,3.285585515342035,3,CHRM5
CHUK,0.5164354577488621,2,CHUK
CIITA,-0.48965277976311644,1,CIITA
CLASP2,-2.6632414189779845,4,CLASP2
CLN8,-0.6964380984722652,3,CLN8
CLU,1.066795637478229,4,CLU
CMA1,3.365075621253271,5,CMA1
CNKSR1,-0.7669551296024673,4,CNKSR1
CNR1,1.3646257063614147,4,CNR1
CNTN1,0.695681408884518,2,CNTN1
COPS5,-1.2723082043599603,3,COPS5
CRADD,-0.7686329667027982,4,CRADD
CREBBP,0.7566047767672934,1,CREBBP
CRHR1,3.285585515342035,3,CRHR1
CRK,1.2166027225062257,3,CRK
CRKL,-0.2507909105813407,3,CRKL
CRLF1,-0.7063427268716727,5,CRLF1
CSF1,-1.1938274875787904,5,CSF1
CSF1R,0.5207538996970797,4,CSF1R
CSF3R,-1.2168180574516947,4,CSF3R
CSK,0.695681408884518,2,CSK
CSNK1A1,-2.4142721721540905,2,CSNK1A1
CSNK1E,2.2841062143348987,2,CSNK1E
CSNK1G1,1.5158444970506482,2,CSNK1G1
CSNK1G2,1.1428615977016083,2,CSNK1G2
CSNK1G3,1.5158444970506482,2,CSNK1G3
CSNK2A1,0.6703842277485653,1,CSNK2A1
CSNK2B,-0.30099272291856843,2,CSNK2B
CTNNB1,-0.300270266599078,1,CTNNB1
CTNND1,-0.32163894079877964,3,CTNND1
CUL3,0.5396189879852399,1,CUL3
CXCL17,1.088764474205566,5,CXCL17
CYSLTR2,3.285585515342035,3,CYSLTR2
CYTH2,1.8744230245344173,5,CYTH2
DAAM1,-0.6785731700309744,4,DAAM1
DAB2,-0.7450464027395348,3,DAB2
DAB2IP,-2.4301417047243086,2,DAB2IP
DAPK1,0.7752549427203823,3,DAPK1
DAXX,0.41225902704899214,3,DAXX
DCAF7,0.5948390772184803,3,DCAF7
DDB2,-0.9342162113994285,3,DDB2
DEF6,3.285585515342035,3,DEF6
DIABLO,0.7372728764385013,4,DIABLO
DIXDC1,1.2945134575811315,3,DIXDC1
DKK1,-3.285585515342035,3,DKK1
DKK2,-3.285585515342035,3,DKK2
DKK4,-3.285585515342035,3,DKK4
DLK1,-0.695681408884518,2,DLK1
DNAJC5,-1.3200741138776464,4,DNAJC5
DOCK7,3.285585515342035,3,DOCK7
DPF2,0.5850162521589343,1,DPF2
DRD1,3.285585515342035,3,DRD1
DRD2,0.29998159813364556,4,DRD2
DRD4,1.301583598778357,4,DRD4
DTNBP1,-0.5210174881924513,5,DTNBP1
DTX1,1.5077713933106998,2,DTX1
DUSP10,-1.7280018201567369,2,DUSP10
DUSP14,-1.7280018201567369,2,DUSP14
DUSP16,-1.7280018201567369,2,DUSP16
DUSP2,0.998679134020698,2,DUSP2
DUSP26,-1.7280018201567369,2,DUSP26
DUSP3,0.998679134020698,2,DUSP3
DUSP5,-0.998679134020698,2,DUSP5
DUSP7,-0.998679134020698,2,DUSP7
DUSP8,1.7280018201567369,2,DUSP8
DUSP9,-1.420506686576452,2,DUSP9
DVL1,1.8891465153561682,2,DVL1
DVL3,3.1593718633599317,3,DVL3
DYRK1A,-0.695681408884518,2,DYRK1A
DYRK1B,1.9430816005518439,2,DYRK1B
DYRK2,0.2911331805611136,3,DYRK2
E2F1,-0.33818005616075386,3,E2F1
E2F2,-1.2592107959380066,2,E2F2
E2F3,-1.2592107959380066,2,E2F3
ECE1,2.8010784077423883,5,ECE1
EDN1,3.1360578127538665,4,EDN1
EDN2,2.208694632365292,4,EDN2
EDN3,2.208694632365292,4,EDN3
EDNRA,3.285585515342035,3,EDNRA
EFNB1,-0.6377628348159466,4,EFNB1
EGF,-0.37525498664442897,3,EGF
EGLN3,2.216423369235596,4,EGLN3
EGR1,-0.9667865065699084,3,EGR1
EHMT1,-1.4675634725237607,3,EHMT1
EID1,-1.3758162819416115,2,EID1
EIF2AK3,-0.5205298338972163,4,EIF2AK3
EIF3J,-0.5949030517874995,5,EIF3J
EIF4G2,-0.5205298338972163,4,EIF4G2
ENPEP,-1.931621379523874,5,ENPEP
EP300,1.893161510051897,1,EP300
EPHB1,-0.35296275251204756,3,EPHB1
EPHB2,-0.25913115910053125,3,EPHB2
EPX,0.6023862835658447,6,EPX
ERBB2,-0.30686280652035713,2,ERBB2
ERBB3,-0.30574280171696755,4,ERBB3
ERBB4,-0.4146820307516181,2,ERBB4
ERCC6,-0.7914296991125817,3,ERCC6
ERG,2.161785000381356,5,ERG
ERN1,-0.7029325487554003,3,ERN1
ESCO1,-1.1220499280058878,4,ESCO1
ESR1,-0.44708058783375426,1,ESR1
ESRRA,2.0890050154524946,0,ESRRA
ETS1,-0.5331529727374942,3,ETS1
EVI5,-0.6828619020986504,5,EVI5
EYA1,-0.5247739708996659,6,EYA1
EZH2,-0.931212428154444,3,EZH2
EZR,-1.0874882174239486,4,EZR
F10,3.484165644252151,5,F10
F12,0.47472415638516535,5,F12
F2,3.856355162186947,4,F2
F2RL1,3.285585515342035,3,F2RL1
F2RL2,0.7319450310113345,4,F2RL2
F7,3.487463183923282,6,F7
FADD,-0.41173000455119313,4,FADD
FAM107A,3.285585515342035,3,FAM107A
FAM20C,0.9219829570101646,5,FAM20C
FAS,1.345875765826781,3,FAS
FASLG,0.7695156421255464,4,FASLG
FBLIM1,1.536796086795786,4,FBLIM1
FBXL2,1.778887963958426,3,FBXL2
FBXO11,0.9764027317892504,4,FBXO11
FBXO2,0.5566977476393379,5,FBXO2
FBXO3,-1.4117901840744635,2,FBXO3
FBXW8,1.4675634725237607,3,FBXW8
FCGR3A,0.6943665716296404,3,FCGR3A
FES,-1.167503560182028,3,FES
FFAR2,3.285585515342035,3,FFAR2
FGF3,-0.6339422520108411,5,FGF3
FGF9,-0.6970107399495487,4,FGF9
FGFR2,-0.5627698908223039,4,FGFR2
FGFR3,-0.6395391084416496,3,FGFR3
FGFR4,-0.6395391084416496,3,FGFR4
FKBP1A,0.6829687583129183,3,FKBP1A
FKBP4,0.7353939679930646,3,FKBP4
FKBP6,0.7168451289289045,5,FKBP6
FLT3,-0.30099272291856843,2,FLT3
FMR1,-0.5103551191021999,3,FMR1
FOS,-0.2911331805611136,3,FOS
FOXG1,-0.4801946499039396,3,FOXG1
FOXL2,-0.4565229786563546,2,FOXL2
FOXM1,-0.4146820307516181,2,FOXM1
FOXO1,0.695681408884518,2,FOXO1
FOXO3,-0.4186906244564081,2,FOXO3
FRS2,-0.7418418760421822,4,FRS2
FURIN,-0.695681408884518,2,FURIN
FYCO1,-0.7219599914186787,5,FYCO1
FYN,0.9788346197783476,2,FYN
FZD1,1.0780159836300671,3,FZD1
FZD3,1.8591436142437072,3,FZD3
FZD7,1.481572722096386,3,FZD7
FZD8,3.285585515342035,3,FZD8
GAB1,0.3599083453517351,4,GAB1
GAB2,0.6381587052663789,4,GAB2
GAD1,-0.6423841131257998,5,GAD1
GADD45A,-1.1305162489067024,2,GADD45A
GADD45B,2.726636795397504,4,GADD45B
GALR2,3.285585515342035,3,GALR2
GAPDH,-0.6524507135964833,4,GAPDH
GAS6,-0.4852570833139337,4,GAS6
GCC1,2.208694632365292,4,GCC1
GDE1,2.443229844586678,3,GDE1
GDNF,0.7337810901191126,3,GDNF
GFI1,0.7810764708273673,4,GFI1
GGCX,2.049063440858517,5,GGCX
GH1,0.7695156421255464,4,GH1
GH2,0.7695156421255464,4,GH2
GHR,1.345875765826781,3,GHR
GIT1,-2.5950485843064155,3,GIT1
GLRX,-1.345875765826781,3,GLRX
GNA12,-0.47359325924016954,4,GNA12
GNA13,-0.5840130359212596,4,GNA13
GNAI1,1.6150610739093754,3,GNAI1
GNAQ,4.000102913953836,2,GNAQ
GNAS,-0.4702424277430841,3,GNAS
GNB2,-1.481572722096386,3,GNB2
GNB5,0.5506303607149752,4,GNB5
GNG12,-0.2954384519286202,2,GNG12
GNG4,0.6621891939597506,4,GNG4
GOLGA3,0.8487158386182188,6,GOLGA3
GOLGA7,-0.6868302609458352,4,GOLGA7
GOPC,0.805423267504245,5,GOPC
GPC4,1.0426504960907232,4,GPC4
GPHN,2.208694632365292,4,GPHN
GPR132,3.285585515342035,3,GPR132
GPR17,3.285585515342035,3,GPR17
GPR174,-0.5719031699788781,4,GPR174
GPR55,-0.6535776093301682,5,GPR55
GPSM3,-0.9685822888022145,4,GPSM3
GRB2,-0.8087184685784017,3,GRB2
GRB7,-0.8092928819832248,4,GRB7
GRHL3,2.208694632365292,4,GRHL3
GRIP1,0.9869619087093396,1,GRIP1
GRIPAP1,-0.8095420882220429,3,GRIPAP1
GRK4,-2.208694632365292,4,GRK4
GRK5,0.6698662647729241,4,GRK5
GRM1,3.285585515342035,3,GRM1
GRM7,-0.5903503438079739,4,GRM7
GRP,2.208694632365292,4,GRP
GSK3B,-4.612322556787452,1,GSK3B
GTF2I,0.2954384519286202,2,GTF2I
HCFC1,0.9148826071139741,4,HCFC1
HCRT,3.1360578127538665,4,HCRT
HCRTR2,3.285585515342035,3,HCRTR2
HDAC11,1.4627930139012424,4,HDAC11
HDAC2,0.44768721692483116,2,HDAC2
HDAC3,-0.44685041236796924,2,HDAC3
