source,target,sign
AAK1,NUMB,1
AATK,STK39,-1
ACAT1,parent_of_SMAD1-1,-1
ACE2,AGT,1
ACE2,APLN,1
ACP1,AKT1,-1
ACP1,AKT2,-1
ACP1,AKT3,-1
ACP1,ZAP70,1
ACTN1,CAPN1,-1
ADAM10,CDH1,1
ADAM10,EGF,1
ADAM10,ERBB2,1
ADAM10,NOTCH1,1
ADAM17,ERBB4,1
ADAM17,ITGA5,1
ADAM17,ITGB1,1
ADAM17,MUC1,-1
ADAM17,NOTCH1,1
ADAM17,PTPRF,-1
ADIPOQ,parent_of_APPL11,1
ADM,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
ADRA1A,GNA13,1
ADRA1A,GNAQ,1
ADRA1A,GNB2,1
ADRB2,GNAQ,1
ADRB2,GNAS,1
ADRB2,GNB2,1
AGT,AGTR1,1
AGT,parent_of_AGT1,1
AGT,parent_of_GNAQ1,1
AGTR1,GNA13,1
AGTR1,GNAI1,1
AGTR1,GNAQ,1
AGTR1,GNG12,1
AKAP5,parent_of_BAD1_____DNM11_____FLNA-1_____KSR21_____NFATC21,1
AKT1,ADRB2,-1
AKT1,AR,-1
AKT1,BAD,-1
AKT1,BRAF,-1
AKT1,CDKN1A,1
AKT1,CDKN1B,-1
AKT1,CHUK,1
AKT1,CTNNB1,1
AKT1,DAB2IP,-1
AKT1,EP300,1
AKT1,ESR1,1
AKT1,EZH2,-1
AKT1,FOXO1,-1
AKT1,FOXO3,1
AKT1,GAB2,-1
AKT1,GSK3B,-1
AKT1,HSPB1,-1
AKT1,IKBKB,1
AKT1,IRAK1,-1
AKT1,IRS1,1
AKT1,ITGB1,1
AKT1,ITGB3,-1
AKT1,KHSRP,-1
AKT1,MAP2K4,-1
AKT1,MAP3K11,-1
AKT1,MAP3K5,-1
AKT1,MAP3K8,1
AKT1,MDM2,1
AKT1,MST1,1
AKT1,MST1R,1
AKT1,NR4A1,-1
AKT1,PAK1,1
AKT1,PPARGC1A,-1
AKT1,PRKAA1,-1
AKT1,PRKACA,1
AKT1,PTEN,-1
AKT1,RAF1,-1
AKT1,RARA,-1
AKT1,RPS6KB1,1
AKT1,SH2B2,1
AKT1,SH3RF1,-1
AKT1,SKI,-1
AKT1,SKP2,1
AKT1,SMARCB1,1
AKT1,STK4,-1
AKT1,THRA,1
AKT1,TP53BP1,-1
AKT1,WNK1,1
AKT1,YAP1,-1
AKT1,YWHAZ,1
AKT1,parent_of_APOA11,1
AKT1,parent_of_AURKA-1,1
AKT1,parent_of_CDKN2A-1,1
AKT1,parent_of_EZR1,1
AKT1,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1,1
AKT1,parent_of_ITCH1,-1
AKT1,parent_of_MAP2K41_____MAP2K71,1
AKT1,parent_of_MAPK11_____MAPK31,1
AKT1,parent_of_RAC11,1
AKT1,parent_of_TP53-1,1
AKT1,parent_of_TP531,1
AKT2,BAD,-1
AKT2,BRAF,-1
AKT2,CDKN1A,1
AKT2,CDKN1B,-1
AKT2,CHUK,1
AKT2,CTNNB1,1
AKT2,EP300,1
AKT2,ESR1,1
AKT2,EZR,1
AKT2,FOXO1,-1
AKT2,FOXO3,-1
AKT2,GSK3B,-1
AKT2,HSPB1,-1
AKT2,KHSRP,-1
AKT2,MAP3K5,-1
AKT2,MDM2,1
AKT2,PPARGC1A,-1
AKT2,RAF1,-1
AKT2,SH3RF1,-1
AKT2,STK4,-1
AKT2,parent_of_CDKN2A-1,1
AKT3,BAD,-1
AKT3,BRAF,-1
AKT3,CDKN1A,-1
