source,score,level,source_original
AAK1,1.7232187377339185,4,AAK1
AANAT,-2.3177422745176206,4,AANAT
AATK,0.8317462471365815,4,AATK
ABL1,-0.5217931077815706,2,ABL1
ABL2,-0.9203331599629231,3,ABL2
ACAA2,0.55216284999266,5,ACAA2
ACAT1,-0.8681957307678576,5,ACAT1
ACE2,-0.7870528157079532,5,ACE2
ACP1,-0.6180309427994719,2,ACP1
ACTB,0.8513683166807399,3,ACTB
ACTN1,-0.41690880404400565,3,ACTN1
ACVR1,-0.8471714640932311,4,ACVR1
ACVR2A,-0.7893033385345187,5,ACVR2A
ACVRL1,-0.8471714640932311,4,ACVRL1
ADAM10,-2.1969832201217043,3,ADAM10
ADAM12,-1.0384486202737344,3,ADAM12
ADAM15,-1.0384486202737344,3,ADAM15
ADAM17,-1.328341980460059,3,ADAM17
ADAM2,-1.0384486202737344,3,ADAM2
ADAM23,-1.070507639144643,5,ADAM23
ADAM9,-1.0384486202737344,3,ADAM9
ADAMTS13,0.8697706855340962,4,ADAMTS13
ADCY5,-1.0384486202737344,3,ADCY5
ADIPOQ,1.84078615172019,5,ADIPOQ
ADM,-0.8471714640932311,4,ADM
ADRA1A,-1.016073422643151,3,ADRA1A
ADRB2,-1.016073422643151,3,ADRB2
AGT,-0.7644171515805999,4,AGT
AGTR1,-0.4073868486333209,3,AGTR1
AHSA1,0.3550403235452855,3,AHSA1
AIMP1,-1.1738839479791665,5,AIMP1
AKAP5,-0.6974862483065563,2,AKAP5
AKAP8,-0.6974862483065563,2,AKAP8
AKT1,0.755204500006279,1,AKT1
AKT2,-0.6765012277024234,2,AKT2
AKT3,-0.6765012277024234,2,AKT3
ALDH2,-0.5011476278799043,5,ALDH2
ALK,-0.5136693134090575,4,ALK
AMH,-1.2348622764359287,5,AMH
AMHR2,-1.2348622764359287,5,AMHR2
AMOT,-1.7054595219665711,4,AMOT
ANK3,0.9010307315647451,3,ANK3
ANKRD6,-1.016073422643151,3,ANKRD6
ANXA1,-0.5625790912044408,5,ANXA1
APAF1,-1.0940920261515963,4,APAF1
APBA3,1.115124104398529,5,APBA3
APC2,0.6162486804168772,4,APC2
APEX1,1.2888769604401142,4,APEX1
APH1A,-1.3656778232782385,4,APH1A
APH1B,-1.3656778232782385,4,APH1B
APIP,1.1261409863080254,5,APIP
APLF,-0.7907034124227118,4,APLF
APLN,-0.5625790912044408,5,APLN
APOA1,-0.8471714640932311,4,APOA1
APP,0.9487358780639802,6,APP
APPL1,1.5953993542669964,3,APPL1
AR,-0.9439960257658524,3,AR
ARAF,-1.1233419478360571,3,ARAF
ARF1,-0.598252802665679,4,ARF1
ARF6,1.2279295803844912,6,ARF6
ARHGAP1,0.5338147461926467,3,ARHGAP1
ARHGEF2,0.7096147477451339,3,ARHGEF2
ARHGEF6,-1.1732213332941348,2,ARHGEF6
ARHGEF7,-1.1309496418664833,3,ARHGEF7
ARRB1,-1.4612749082389003,3,ARRB1
ARRB2,-0.4621542109727129,4,ARRB2
ASAP2,0.6162942562570314,5,ASAP2
ASB2,-1.4995905136801435,4,ASB2
ASB3,-0.6014684939901839,5,ASB3
ASB9,-1.0634559761806979,5,ASB9
ASH2L,-1.140451831238049,5,ASH2L
ASXL3,0.7544000276292627,5,ASXL3
ATE1,0.7504954488166133,4,ATE1
ATF1,0.9203331599629231,3,ATF1
ATF2,2.240317026680471,4,ATF2
ATF3,-0.8721289651808548,5,ATF3
ATG3,-0.9895216569586257,5,ATG3
ATG4B,-0.9895216569586257,5,ATG4B
ATG7,-0.9275764306704494,6,ATG7
ATM,1.409006517356212,1,ATM
ATR,1.1883965377967003,2,ATR
AURKB,1.1883965377967003,2,AURKB
AVPR1B,-1.016073422643151,3,AVPR1B
AXIN1,0.9203331599629231,3,AXIN1
AXIN2,0.6765012277024234,2,AXIN2
BAD,1.1067311489919889,4,BAD
BAG1,0.7842593804231748,4,BAG1
BAG5,-1.512122636238128,4,BAG5
BAK1,-1.348420772033491,5,BAK1
BANP,-1.115124104398529,5,BANP
BAX,-2.1611429662903223,5,BAX
BCAR1,0.904808946243392,3,BCAR1
BCAR3,-1.1732213332941348,2,BCAR3
BCL2,-0.535827262866026,4,BCL2
BCL2L1,0.39446332064640977,4,BCL2L1
BCL2L2,2.2346217788280676,6,BCL2L2
BCL3,-0.658793490125007,5,BCL3
BCL6,1.837935211611605,5,BCL6
BCOR,-1.5646248835209555,5,BCOR
BCORL1,-1.3675831548864468,1,BCORL1
BDKRB1,-1.016073422643151,3,BDKRB1
BECN1,0.3550403235452855,3,BECN1
BID,-1.4028071597518073,5,BID
BIRC2,-0.44191856811979036,3,BIRC2
BIRC3,-0.44191856811979036,3,BIRC3
BIRC5,0.9537742989494467,3,BIRC5
BIRC6,1.2923406525460945,4,BIRC6
BIRC7,0.8999122582217481,5,BIRC7
BLVRA,1.8422241614121815,4,BLVRA
BMF,0.405379316374231,5,BMF
BMP1,-1.510751539800903,4,BMP1
BMP10,-1.6758989777866156,5,BMP10
BMP15,-0.8721289651808548,5,BMP15
BMP4,-1.5142173925813258,5,BMP4
BMP5,-0.8721289651808548,5,BMP5
BMP6,-1.4341240849530792,5,BMP6
BMP8A,-1.149616764378036,5,BMP8A
BMP8B,-1.2348622764359287,5,BMP8B
BMPR1A,-0.8471714640932311,4,BMPR1A
BMPR1B,-0.8471714640932311,4,BMPR1B
BMPR2,-1.5142173925813258,5,BMPR2
BNIP3,-0.535827262866026,4,BNIP3
BRAF,0.41690880404400565,3,BRAF
BRCA1,0.8513683166807399,3,BRCA1
BRD2,1.14700451150746,4,BRD2
BRIP1,1.037006744864592,4,BRIP1
BRSK1,-0.5552952207283456,4,BRSK1
BRSK2,1.1509937661290528,2,BRSK2
BTF3,0.535827262866026,4,BTF3
BTG2,-0.9601562457302348,3,BTG2
BTK,1.14898314083545,4,BTK
BTRC,-0.9601562457302348,3,BTRC
C1RL,-0.8412373611235401,6,C1RL
CABIN1,0.8697706855340962,4,CABIN1
CABP1,-0.9439960257658524,3,CABP1
CAMK1,1.0384486202737344,3,CAMK1
CAMK2A,1.1732213332941348,2,CAMK2A
CAMK2B,1.1509937661290528,2,CAMK2B
CAMK2D,0.9329857422659021,4,CAMK2D
CAMK2G,1.1732213332941348,2,CAMK2G
CAMK4,1.0384486202737344,3,CAMK4
CAMKK1,1.298238452663846,2,CAMKK1
CAMKK2,1.298238452663846,2,CAMKK2
CAMP,-0.6974862483065563,2,CAMP
CAND1,-0.996419731860696,5,CAND1
CAPN1,0.6765012277024234,2,CAPN1
CAPN2,0.6765012277024234,2,CAPN2
CAPN3,0.6765012277024234,2,CAPN3
CAPRIN2,-0.8471714640932311,4,CAPRIN2
CARD11,0.7477389774711701,5,CARD11
CARD18,0.58468655068986,4,CARD18
CARD8,1.0940920261515963,4,CARD8
CARD9,1.1509937661290528,2,CARD9
CASP1,0.4391198212732503,3,CASP1
CASP10,0.44191856811979036,3,CASP10
CASP12,-1.4126706249779128,4,CASP12
CASP2,-1.5889196958771667,3,CASP2
CASP3,-0.6180309427994719,2,CASP3
CASP5,1.1067311489919889,4,CASP5
CASP7,-0.9010307315647451,3,CASP7
CASP9,-1.2604227839434146,3,CASP9
CAST,-0.7269248890597942,3,CAST
CAV1,0.8427929072612372,3,CAV1
CBFB,1.1766711906467682,5,CBFB
CBL,0.6334421985935669,3,CBL
CBLB,-1.3106416941993768,3,CBLB
CBLC,1.3855471616550565,4,CBLC
CBX4,1.1732213332941348,2,CBX4
CCK,-0.8471714640932311,4,CCK
CCL2,1.5994284910724021,5,CCL2
CCL7,-0.9945319290237707,5,CCL7
CCND2,-0.5481688872858353,5,CCND2
CCNY,-0.8721289651808548,5,CCNY
CD19,0.3550403235452855,3,CD19
CD22,-0.7310085878819782,4,CD22
CD247,0.7454396588916056,4,CD247
CD28,-1.5484295425819585,3,CD28
CD3E,-1.5484295425819585,3,CD3E
CD4,-0.5976995658465608,4,CD4
CD40,0.7952548074962071,4,CD40
CD40LG,-0.535827262866026,4,CD40LG
CDC14B,-0.6109425448528072,4,CDC14B
CDC25A,0.6218107118068578,3,CDC25A
CDC42,-1.2984040956421188,2,CDC42
CDC7,1.941367901799029,6,CDC7
CDCA3,-0.6329624231852956,4,CDCA3
CDH1,-0.9522607444923761,4,CDH1
CDK1,-1.2107505652441906,2,CDK1
CDK11A,1.3656778232782385,4,CDK11A
CDK14,-0.8471714640932311,4,CDK14
CDK19,-1.3656778232782385,4,CDK19
CDK2,1.1732213332941348,2,CDK2
