source,score,level,source_original
AANAT,-0.5783594953051894,3,AANAT
ABL1,-1.786395056126881,2,ABL1
ACAA2,-2.398618038861566,4,ACAA2
ACE2,2.3466975644916177,5,ACE2
ACTB,2.194224077426985,3,ACTB
ACTN1,2.1496118426984445,3,ACTN1
ADIPOQ,-2.169113498530405,5,ADIPOQ
ADM,1.7731328996437057,4,ADM
ADRA1A,0.9960309973115246,3,ADRA1A
ADRB2,0.9960309973115246,3,ADRB2
AGT,2.7834704133836783,4,AGT
AGTR1,1.0142150484435952,3,AGTR1
AKAP5,0.33815324890843934,2,AKAP5
AKT1S1,-1.5626211608489236,3,AKT1S1
AKT2,1.3424978439271509,2,AKT2
AKT3,1.4582752375200003,2,AKT3
ALK,-0.500915916251012,3,ALK
ANXA1,1.155519088572126,5,ANXA1
APAF1,-2.256628455043185,4,APAF1
APEX1,-0.34023103152672035,2,APEX1
APIP,1.9998095328926009,5,APIP
APLN,1.155519088572126,5,APLN
APOA1,1.8687022233217092,4,APOA1
APPL1,-1.5590301743033304,3,APPL1
AR,0.30563251408018793,2,AR
ARF1,2.217710489776964,4,ARF1
ARF6,0.8216640446683472,5,ARF6
ARHGAP1,-1.2056166111556958,3,ARHGAP1
ARHGEF2,0.33710231539427843,3,ARHGEF2
ARHGEF7,1.5369204223881916,3,ARHGEF7
ARRB2,-0.925164946202503,4,ARRB2
ASAP2,-1.8546468078269704,5,ASAP2
ASB3,1.088701408309889,4,ASB3
ASB9,-2.5502697013686704,5,ASB9
ATF3,2.2196496555107172,5,ATF3
ATG9A,-0.6768616734482342,5,ATG9A
ATR,-0.46993946508464335,2,ATR
AVPR1B,1.5086218635391127,3,AVPR1B
AXIN2,-1.748602440771454,2,AXIN2
AXL,0.5771538169414866,4,AXL
BAD,-0.34023103152672035,2,BAD
BAG2,-1.2606910159730162,4,BAG2
BAK1,0.500915916251012,3,BAK1
BAX,0.500915916251012,3,BAX
BCAP31,2.4549990634193994,4,BCAP31
BCL2L1,0.9742188716956173,4,BCL2L1
BCL2L2,-0.7701114196312717,4,BCL2L2
BCR,-0.6727214179086142,3,BCR
BDKRB1,0.9621481838582147,3,BDKRB1
BECN1,-0.4142114191242021,3,BECN1
BID,0.7701114196312717,4,BID
BIRC6,1.8879490661637686,4,BIRC6
BIRC7,-0.5513002441050747,5,BIRC7
BLVRA,1.2379818280569144,2,BLVRA
BNIP3,1.7742269026577329,3,BNIP3
BRAF,-1.3605245611293089,3,BRAF
BRAP,0.2910033032382466,3,BRAP
BRCA1,1.181720765410888,3,BRCA1
BRD2,-0.500915916251012,3,BRD2
BRIP1,-0.500915916251012,3,BRIP1
BRSK1,5.3798399869304125,4,BRSK1
BTG3,8.314411147309524,2,BTG3
BTK,-0.745261869922983,4,BTK
C1RL,1.1915943959887656,6,C1RL
CAMK1,0.5513336970385426,2,CAMK1
CAMK4,0.5064651801338451,2,CAMK4
CAPN1,-1.748602440771454,2,CAPN1
CAPN2,-1.748602440771454,2,CAPN2
CAPN3,-1.748602440771454,2,CAPN3
CAPNS1,-2.1496118426984445,3,CAPNS1
CARD11,-1.088701408309889,4,CARD11
CARD18,0.6536510400155617,4,CARD18
CARD8,2.256628455043185,4,CARD8
CARM1,0.5078076319852453,2,CARM1
CASP1,-0.5714236911014869,3,CASP1
CASP12,-0.9537077335065982,4,CASP12
CASP2,-0.6250441534047757,3,CASP2
CASP4,-1.0108177319596043,4,CASP4
CASP5,-0.5459639847670344,4,CASP5
CASP6,-2.320657993417816,2,CASP6
CASP8,-1.5615220386743947,3,CASP8
CASP8AP2,-1.2671197792849338,4,CASP8AP2
CASP9,-1.4261777443804677,3,CASP9
CAST,3.76684441644759,3,CAST
CAV1,0.3628308542562504,3,CAV1
CBX4,-0.421623390173192,1,CBX4
CCK,1.7731328996437057,4,CCK
CCL16,0.8465497108820206,5,CCL16
CD40,-0.6250441534047757,3,CD40
CD40LG,-0.5538816502370619,4,CD40LG
CDC25A,-0.5299917077222897,2,CDC25A
CDC42,1.5471512248092816,2,CDC42
CDK5,-0.42347089873831306,2,CDK5
CDKN1B,0.6250441534047757,3,CDKN1B
CDON,0.38818550435532384,2,CDON
CFLAR,1.7418769601625617,4,CFLAR
CHEK1,-0.34023103152672035,2,CHEK1
CHEK2,-0.34023103152672035,2,CHEK2
CHRM1,1.079472979231742,3,CHRM1
CHRM5,1.5086218635391127,3,CHRM5
CHUK,0.2591848670636744,2,CHUK
CLASP2,-2.4189129688552997,4,CLASP2
CLK1,1.9110191659025961,3,CLK1
CLK4,2.194224077426985,3,CLK4
CLOCK,-0.5276736894152698,6,CLOCK
CMA1,2.543145246420379,5,CMA1
CNKSR1,-0.6250957133080434,4,CNKSR1
COPS3,0.5005199782399014,4,COPS3
COX5B,-1.9998095328926009,5,COX5B
CRADD,-2.38668522121473,4,CRADD
CREB1,0.27562904193373555,1,CREB1
CRHR1,1.9371072641639846,3,CRHR1
CRKL,-0.446805726414275,2,CRKL
CRLF1,-0.5823018419128202,5,CRLF1
CSDE1,-1.714483794971694,6,CSDE1
CSNK1A1,-0.7907132587574716,2,CSNK1A1
CSNK1D,1.967683816232186,2,CSNK1D
CSNK1E,2.555816184843112,2,CSNK1E
CTBP1,0.421623390173192,1,CTBP1
CTNNB1,0.2616588028448319,1,CTNNB1
CTNND1,0.2566468250531383,3,CTNND1
CTSG,0.5597486088068757,4,CTSG
CTTNBP2,3.5925234714904715,5,CTTNBP2
CTTNBP2NL,-1.1467055555792238,4,CTTNBP2NL
CYSLTR2,1.9371072641639846,3,CYSLTR2
CYTH2,1.8546468078269704,5,CYTH2
DAB2IP,-1.4428473098219867,2,DAB2IP
DAPK1,-0.4715372062051636,2,DAPK1
DCC,-0.6250441534047757,3,DCC
DEF6,1.7003189670994796,3,DEF6
DIABLO,0.7063268866807405,4,DIABLO
DKK1,-0.7672196465297708,3,DKK1
DKK2,-1.4119596474070641,3,DKK2
DKK4,-1.228356998519011,3,DKK4
DLC1,-0.6060989026346193,5,DLC1
DLG4,0.4071300800488366,5,DLG4
DLGAP1,3.5365217834285514,5,DLGAP1
DLX5,2.110291092473943,0,DLX5
DOCK7,1.5369204223881916,3,DOCK7
DPYSL2,-0.7674232636823258,6,DPYSL2
DRD1,0.9960309973115246,3,DRD1
DTX1,-0.3549444322996052,1,DTX1
DVL2,0.2591848670636744,2,DVL2
DVL3,1.0767680282126322,3,DVL3
DYNLL2,0.7271370328282931,5,DYNLL2
DYRK2,-0.344799906587353,2,DYRK2
DYRK3,2.4566115759267775,4,DYRK3
E2F2,0.5826789167674411,4,E2F2
ECE1,2.1125500364025736,5,ECE1
EDN1,2.5146829511565327,4,EDN1
EDN2,1.7731328996437057,4,EDN2
EDN3,1.7731328996437057,4,EDN3
EDNRA,1.3464585069164792,3,EDNRA
EFNA2,-0.7117602385961554,4,EFNA2
EFNA3,-0.682027663751249,4,EFNA3
EFNA5,-0.9420011456639686,4,EFNA5
EFR3A,1.2804082687684453,4,EFR3A
EGFR,0.446805726414275,2,EGFR
EGLN2,0.7793034734559537,4,EGLN2
EGLN3,0.8189644587394701,4,EGLN3
EGR1,-0.34023103152672035,2,EGR1
EHMT1,-0.6250441534047757,3,EHMT1
EIF2AK3,-0.49868474030760285,4,EIF2AK3
EIF4EBP1,-0.2591848670636744,2,EIF4EBP1
ENPEP,-1.4698976888410866,5,ENPEP
EP300,0.2620593282463993,1,EP300
EPB41,-0.6250441534047757,3,EPB41
EPHA2,0.5804498104174535,4,EPHA2
EPHA4,-0.36538390826640255,3,EPHA4
ETS1,-0.30231573686926017,3,ETS1
EVI5,-0.797775673944346,5,EVI5
F10,2.2053461236104925,5,F10
F11,-0.9557778277576535,5,F11
F2,2.6213069267588667,4,F2
F2RL1,0.9621481838582147,3,F2RL1
F2RL2,0.2784470392216355,3,F2RL2
F7,1.7031879513968473,6,F7
FADD,-2.747900091748463,4,FADD
FAM107A,1.5960422913924008,3,FAM107A
FAM20C,1.088701408309889,4,FAM20C
FAM83G,2.5502697013686704,5,FAM83G
FANCM,-0.500915916251012,3,FANCM
FBXL12,-0.5367689993753552,3,FBXL12
FBXO3,1.404803051900301,2,FBXO3
FBXO8,-0.6258939204811267,6,FBXO8
FBXO9,1.7742269026577329,3,FBXO9
FFAR2,1.3464585069164792,3,FFAR2
FGFR1,-0.446805726414275,2,FGFR1
FGFR3,-0.30231573686926017,3,FGFR3
FGFR4,-0.30231573686926017,3,FGFR4
FGR,-0.5020440306206323,3,FGR
FKBP4,1.6933812708469296,3,FKBP4
FKBP6,-1.1178604866470072,4,FKBP6
FKBP8,1.4297707063202212,2,FKBP8
FLCN,2.0887935809210205,4,FLCN
FOS,2.2196496555107172,5,FOS
FOXG1,0.6507440407140218,4,FOXG1
FOXL2,0.2662404032433174,4,FOXL2
FOXO1,-0.32332156857158034,3,FOXO1
FOXO3,-0.411937046133063,3,FOXO3
FZD1,0.2591848670636744,2,FZD1
FZD3,0.2591848670636744,2,FZD3
FZD8,1.228356998519011,3,FZD8
G3BP1,-0.4702120664772497,3,G3BP1
GALR2,1.9371072641639846,3,GALR2
GAPDH,0.8962609015075105,3,GAPDH
GAS6,-0.9376307102694208,4,GAS6
GCC1,2.290305278777434,4,GCC1
GDE1,0.9399436597159267,3,GDE1
GFI1,0.6202764500726223,4,GFI1
GGCX,0.5895539661917847,5,GGCX
GHITM,1.9998095328926009,5,GHITM
GIGYF2,-2.0342665791039765,4,GIGYF2
GIT1,-1.399595336997637,3,GIT1
GLI1,2.1121960322768465,0,GLI1
GNAI1,1.0963129983829352,3,GNAI1
GNAI2,-0.28343398788629853,3,GNAI2
GNAQ,1.748602440771454,2,GNAQ
GNAS,0.2591848670636744,2,GNAS
GNG12,-0.33815324890843934,2,GNG12
GNRHR,0.30563251408018793,2,GNRHR
GOLGA3,-0.5923545459537508,5,GOLGA3
GOPC,-0.6257674752896306,4,GOPC
GPC4,1.266190685077191,4,GPC4
GPHN,2.290305278777434,4,GPHN
GPR132,1.3464585069164792,3,GPR132
GPR17,1.5086218635391127,3,GPR17
GPSM3,-0.9380246178003879,4,GPSM3
GRAP,0.511935574479943,3,GRAP
GRB10,-1.2741738902974606,3,GRB10
GRHL3,1.6446363128152495,4,GRHL3
GRK4,-2.009864686567813,4,GRK4
GRK6,0.5020444672341391,3,GRK6
GRM1,0.9960309973115246,3,GRM1
GRP,1.7731328996437057,4,GRP
GSK3B,-1.0695388226776479,1,GSK3B
GSN,2.256628455043185,4,GSN
GZMA,0.500915916251012,3,GZMA
HCK,-1.4448160024869976,3,HCK
HCRT,2.8521674027001622,4,HCRT
HCRTR2,1.5086218635391127,3,HCRTR2
HDAC11,0.9084429135740133,4,HDAC11
HDAC2,0.6250441534047757,3,HDAC2
HDC,1.326477898810993,4,HDC
HIC1,3.455499194442654,3,HIC1
HINFP,-0.5049035083499291,3,HINFP
HIPK2,-1.424565954585942,1,HIPK2
HNRNPU,-0.581245763858422,5,HNRNPU
HOMER1,3.021531901564526,5,HOMER1
HOXA10,-0.6507440407140218,4,HOXA10
HOXD12,0.5814900412440682,4,HOXD12
HSPA1A,-0.2591848670636744,2,HSPA1A
HSPA8,0.4492853054318575,5,HSPA8
HTR2A,1.079472979231742,3,HTR2A
HTR2B,1.9371072641639846,3,HTR2B
HTR6,1.5086218635391127,3,HTR6
IFNAR1,-0.695194655872838,4,IFNAR1
IGF1,-0.924882419152243,4,IGF1
IGF2,-1.4078946808152952,4,IGF2
IKBKB,0.4184205769341997,3,IKBKB
IL10,-0.7241634463513251,4,IL10
IL15RA,-1.2168236669931156,4,IL15RA
IL19,-0.9569435535457694,5,IL19
IL26,-0.9569435535457694,5,IL26
IL4,-0.6017903666320172,4,IL4
INPPL1,0.7764812563118643,3,INPPL1
INSR,-1.0465757719193405,3,INSR
