source,target,sign
AANAT,MTNR1A,1
ABL1,ATR,1
ABL1,BCR,1
ABL1,BTK,-1
ABL1,CASP9,1
ABL1,CAV1,1
ABL1,CDK5,1
ABL1,CDKN1B,-1
ABL1,CRKL,1
ABL1,CTNND1,1
ABL1,EGFR,1
ABL1,GRAP,1
ABL1,HDAC2,1
ABL1,HIPK2,1
ABL1,HSPA1A,1
ABL1,JUN,1
ABL1,MAP4K1,1
ABL1,MET,1
ABL1,MTOR,1
ABL1,NEDD9,1
ABL1,PDGFRB,1
ABL1,PRKCD,1
ABL1,PRKDC,-1
ABL1,PSTPIP1,1
ABL1,RAPGEF1,1
ABL1,RIN1,1
ABL1,SOS1,1
ABL1,STAT3,1
ABL1,TP53BP1,1
ABL1,TP73,1
ABL1,UBE3A,-1
ABL1,VAV1,1
ABL1,VAV2,1
ABL1,parent_of_ACTB1,1
ABL1,parent_of_VAV11,1
ACAA2,BNIP3,-1
ACE2,AGT,1
ACE2,APLN,1
ACTB,ABL1,-1
ACTB,PLD1,-1
ACTB,parent_of_ACTB1,1
ACTN1,CAPN1,-1
ACTN1,PLD1,-1
ADIPOQ,parent_of_APPL11,1
ADM,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
ADRA1A,GNAQ,1
ADRB2,GNAQ,1
ADRB2,GNAS,1
AGT,AGTR1,1
AGT,LRP2,1
AGT,parent_of_AGT1,1
AGT,parent_of_GNAQ1,1
AGTR1,GNAI1,1
AGTR1,GNAQ,1
AGTR1,GNG12,1
AKAP5,PPP3CC,1
AKT1S1,parent_of_MTOR-1,-1
AKT2,AKT1S1,-1
AKT2,BAD,-1
AKT2,BRAF,-1
AKT2,CASP9,-1
AKT2,CDKN1B,-1
AKT2,CHUK,1
AKT2,CREB1,1
AKT2,CTNNB1,1
AKT2,EP300,1
AKT2,FOXO1,-1
AKT2,FOXO3,-1
AKT2,GSK3B,-1
AKT2,KHSRP,-1
AKT2,PTPN1,-1
AKT2,RAF1,-1
AKT2,SH3RF1,-1
AKT2,TSC2,-1
AKT2,parent_of_ACTB1,1
AKT3,AKT1S1,-1
AKT3,BAD,-1
AKT3,BRAF,-1
AKT3,CASP9,-1
AKT3,CHUK,1
AKT3,CREB1,1
AKT3,FOXO3,-1
AKT3,GSK3B,-1
AKT3,MAP3K8,1
ALK,STAT3,1
ANXA1,parent_of_GNAI11_____GNAI31,1
APAF1,CASP9,1
APEX1,FOS,1
APEX1,STAT3,1
APEX1,parent_of_PTH1R1,-1
APIP,APAF1,-1
APLN,parent_of_GNAI11_____GNAI31,1
APOA1,parent_of_LRP51,1
APPL1,STK11,1
AR,CFLAR,1
AR,KRT18,1
AR,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAO11_____GNAQ1_____GNAZ1,1
ARF1,GIT1,-1
ARF1,PLD1,1
ARF6,PLD1,1
ARHGAP1,CDC42,-1
ARHGEF2,ARHGAP1,1
ARHGEF7,ARHGAP1,1
ARHGEF7,CDC42,1
ARHGEF7,GIT1,1
ARHGEF7,RAC1,1
ARRB2,ADRB2,-1
ARRB2,GNAI1,-1
ARRB2,GNAI2,-1
ASAP2,ARF1,-1
ASAP2,ARF6,1
ASB3,TNFRSF1B,-1
ASB9,parent_of_ACTB1,-1
ATF3,parent_of_TSHR1,1
ATG9A,YWHAE,1
ATR,BRCA1,1
ATR,RAD1,1
ATR,RPA2,1
ATR,parent_of_BRCA11,1
AVPR1B,GNAI1,1
AVPR1B,GNAQ,1
AVPR1B,GNAS,1
AXIN2,GSK3B,1
AXL,GRAP,1
AXL,PIK3CG,1
BAD,BCL2L1,-1
BAD,BCL2L2,-1
BAD,parent_of_APAF11_____CASP91,1
BAG2,RAF1,1
BAK1,BAD,-1
BAK1,BAX,1
BAK1,DIABLO,1
BAK1,parent_of_APAF11_____CASP91,1
BAX,APAF1,1
BAX,BAD,-1
BAX,CASP12,1
BAX,COX5B,1
BAX,DIABLO,1
BAX,parent_of_APAF11_____CASP91,1
BCAP31,BCL2L1,1
BCAP31,CASP8,-1
BCL2L1,APAF1,-1
BCL2L1,BAK1,-1
BCL2L1,BAX,-1
BCL2L1,BECN1,-1
BCL2L1,CASP9,-1
BCL2L2,BAK1,-1
BCL2L2,BAX,-1
BCL2L2,parent_of_BCL2L1-1,-1
BCR,RAC1,-1
BCR,YWHAQ,1
BDKRB1,GNAI1,1
BDKRB1,GNAQ,1
BDKRB1,GNAS,1
BECN1,parent_of_BECN11,1
BID,BAK1,1
BID,BAX,1
BID,BCL2L1,-1
BID,BCL2L2,-1
BID,COX5B,1
BID,DIABLO,1
BID,parent_of_APAF11_____CASP91,1
BIRC6,CASP9,-1
BIRC6,DIABLO,-1
BIRC7,DIABLO,-1
BLVRA,PRKCB,1
BNIP3,BCL2L1,-1
BNIP3,RHEB,-1
BRAF,MAP2K1,1
BRAF,MAP4K1,1
BRAP,parent_of_RAF11,-1
BRCA1,ABL1,-1
BRD2,TP53BP1,1
BRIP1,BRCA1,1
BRSK1,CAST,1
BTG3,parent_of_NR1D11,-1
BTK,parent_of_PTK21,1
C1RL,parent_of_APOA11,1
CAMK1,CDKN1B,1
CAMK1,CREB1,1
CAMK1,PPME1,-1
CAMK1,SYN1,-1
CAMK1,parent_of_HDAC21,-1
CAMK4,CREB1,1
CAMK4,SYN1,1
CAMK4,parent_of_HDAC21,-1
CAPN1,ACTN1,-1
CAPN1,BCL2L1,-1
CAPN1,BID,1
CAPN1,F2RL1,-1
CAPN1,GSK3B,1
