source,score,level,source_original
AAK1,0.9954041819010429,4,AAK1
AANAT,0.7690333648406582,5,AANAT
ABL1,1.4474695788583867,2,ABL1
ABL2,-1.6378269183210097,4,ABL2
ACAT1,0.500509708503439,6,ACAT1
ACE2,0.9759973674710112,6,ACE2
ACTB,-1.2521032804803565,3,ACTB
ACTR2,-1.3269542944076098,6,ACTR2
ACVR1,0.4664319833758894,5,ACVR1
ACVR2A,-0.6550820201678956,6,ACVR2A
ACVR2B,-1.321079157346883,5,ACVR2B
ACVRL1,0.4664319833758894,5,ACVRL1
ADA,1.0596470544085135,5,ADA
ADAM10,-1.842867713429185,4,ADAM10
ADAM12,0.9252782627812189,4,ADAM12
ADAM15,-1.0710911370886151,5,ADAM15
ADAM17,-1.8434347274098946,4,ADAM17
ADAM23,-1.000259506901596,5,ADAM23
ADAM9,0.9252782627812189,4,ADAM9
ADAMTS13,0.7863405784386412,6,ADAMTS13
ADCY5,-0.9883386735687625,4,ADCY5
ADIPOQ,-1.091484099515497,6,ADIPOQ
ADM,1.0596470544085135,5,ADM
ADNP,-1.1869613254798492,4,ADNP
ADRA1A,1.3122135036757068,4,ADRA1A
ADRB2,1.3122135036757068,4,ADRB2
ADRM1,-0.9883386735687625,4,ADRM1
AFAP1L2,0.9252782627812189,4,AFAP1L2
AGT,0.8463769775178306,5,AGT
AGTR1,1.091301943253292,4,AGTR1
AHSA1,1.915821323251221,4,AHSA1
AIMP1,-1.3510025594939032,5,AIMP1
AKAP8,-0.9027402352984584,2,AKAP8
AKT1,0.8144317904048459,2,AKT1
AKT2,0.8144317904048459,2,AKT2
AKT3,0.9796320410834773,4,AKT3
ALDH2,-0.9027402352984584,2,ALDH2
AMH,0.5658754361372917,6,AMH
AMHR2,0.5658754361372917,6,AMHR2
AMOT,1.1899166117424536,4,AMOT
ANAPC1,1.1869613254798492,4,ANAPC1
ANK2,1.2380755017839076,6,ANK2
ANK3,-0.9883386735687625,4,ANK3
ANXA1,0.686205587931937,5,ANXA1
APAF1,-1.3512093628007618,4,APAF1
APBB1,-1.0256189478794497,3,APBB1
APEX1,-0.7880723025789191,4,APEX1
APH1A,0.9387050308441879,5,APH1A
APH1B,0.9387050308441879,5,APH1B
APIP,1.509950554474529,5,APIP
APLF,-0.9182170250461497,4,APLF
APLN,0.686205587931937,5,APLN
APPL1,-0.9044308683984646,4,APPL1
AR,-1.0256189478794497,3,AR
ARAF,0.5219543257312834,4,ARAF
ARF1,1.0912332630294415,5,ARF1
ARF6,-0.7127602967857422,6,ARF6
ARHGAP32,0.9533013726712,3,ARHGAP32
ARHGEF2,1.628004507312442,4,ARHGEF2
ARHGEF6,2.028485263439051,4,ARHGEF6
ARHGEF7,0.9364557578841373,4,ARHGEF7
ARRB2,-1.5977907059258527,4,ARRB2
ASAP2,-1.0033918370382209,6,ASAP2
ASB2,1.7095949726800255,5,ASB2
ASB3,0.5568018694263644,6,ASB3
ASB9,1.3715897495040097,5,ASB9
ASH2L,1.2727755687778604,1,ASH2L
ASXL1,-0.7179764441930585,3,ASXL1
ASXL2,0.7179764441930585,3,ASXL2
ASXL3,-0.6973524979573533,4,ASXL3
ATAD5,-1.8393054656291794,5,ATAD5
ATE1,1.050118634721818,6,ATE1
ATF2,-1.190020774196879,4,ATF2
ATG3,1.1973184697022827,6,ATG3
ATG4A,1.6511841679349362,6,ATG4A
ATG4B,1.1973184697022827,6,ATG4B
ATG7,2.877551897616376,6,ATG7
ATM,1.0311201643289511,1,ATM
ATOH1,1.6511841679349362,6,ATOH1
AURKA,-1.1609028935180614,3,AURKA
AURKB,1.1442133130675263,2,AURKB
AUTS2,0.696986545166007,5,AUTS2
AVPR1B,1.3122135036757068,4,AVPR1B
AXIN1,1.0256189478794497,3,AXIN1
AXIN2,1.0766758229959965,4,AXIN2
AZI2,0.6145200766544621,4,AZI2
BAD,0.6145200766544621,4,BAD
BAG1,0.7912508568540679,5,BAG1
BAG2,-0.4977819909031174,5,BAG2
