source,score,level,source_original
AAK1,0.654581775504049,4,AAK1
AANAT,-0.6632855180526367,4,AANAT
AATK,-2.304638120309573,4,AATK
ABL1,-0.29957465148953494,2,ABL1
ACAT1,1.269271604630301,6,ACAT1
ACTB,0.3401538380732424,3,ACTB
ACTN1,0.6818772429966993,4,ACTN1
ACTR2,2.507048511365602,4,ACTR2
ACVR1,1.4287159863086913,5,ACVR1
ACVR2A,2.507048511365602,4,ACVR2A
ACVR2B,3.1392316489699925,3,ACVR2B
ACVRL1,1.4287159863086913,5,ACVRL1
ADAM10,-0.797763736084099,3,ADAM10
ADAM15,0.5125789623217246,4,ADAM15
ADAM2,0.5125789623217246,4,ADAM2
ADAM9,-0.2997567701139796,4,ADAM9
ADNP,0.5288806611612495,1,ADNP
ADRM1,2.507048511365602,4,ADRM1
AFAP1L2,-0.7948905502320167,4,AFAP1L2
AGTR1,-0.5991873292462628,4,AGTR1
AIMP1,1.1085300829931999,5,AIMP1
AKAP5,1.0494208701779633,3,AKAP5
AKT2,-1.3458660149688515,3,AKT2
AKT3,1.1339421881942096,3,AKT3
ALDH2,-0.6413204597462756,3,ALDH2
AMH,1.9375561892183948,6,AMH
AMHR2,1.9375561892183948,6,AMHR2
AMOT,-2.672599736601201,3,AMOT
ANK2,1.0210735058552463,5,ANK2
ANK3,-0.5809235924654035,4,ANK3
ANXA1,-0.7512975535102573,5,ANXA1
APBB1,-0.6199347518165894,5,APBB1
APC2,1.8330905469248486,4,APC2
APEX1,-1.6218766873633874,4,APEX1
APLN,-0.7512975535102573,5,APLN
APOA1,0.5442359385494646,5,APOA1
AR,-0.5178485222026755,2,AR
ARAF,-1.5987500270828707,3,ARAF
ARF1,1.0591505035935174,5,ARF1
ARF6,0.9544189231569437,6,ARF6
ARHGAP32,-0.7188406042203628,3,ARHGAP32
ARRB1,0.8004585877636858,4,ARRB1
ARRB2,0.5465550264360923,4,ARRB2
ASAP2,-1.0230319436668684,6,ASAP2
ASB2,-0.5383788729913541,4,ASB2
ASXL2,-1.0789459804043138,2,ASXL2
ASXL3,0.5507864700594312,1,ASXL3
ATAD2,-0.5283666021998713,2,ATAD2
ATAD5,-0.8045680419418103,5,ATAD5
ATE1,0.9472240294465557,5,ATE1
ATF2,-0.797763736084099,3,ATF2
ATF3,0.5482490856295469,6,ATF3
ATG7,0.5226679186695953,6,ATG7
ATM,-1.6168863943678857,2,ATM
ATR,-0.5283666021998713,2,ATR
ATXN2L,-0.905288335437433,3,ATXN2L
AURKA,-0.6413204597462756,3,AURKA
AURKB,-0.7204556702147333,3,AURKB
AVPR1B,-0.48342081127023484,4,AVPR1B
AXIN1,3.1392316489699925,3,AXIN1
AXIN2,-0.797763736084099,3,AXIN2
AXL,0.905288335437433,3,AXL
BAD,-0.9187037880321869,4,BAD
BAG2,-1.1759225019101294,4,BAG2
BAG5,-1.141658497637452,4,BAG5
BAK1,0.7653934428837573,5,BAK1
BAMBI,0.6680052098962787,4,BAMBI
BANP,2.5459071153305395,5,BANP
BAP1,0.6363266037097107,2,BAP1
BCAR1,-2.221312488514403,3,BCAR1
BCL2L1,0.35340670369611105,4,BCL2L1
BCL2L2,-0.43305804159879174,6,BCL2L2
BCL3,-0.6413204597462756,3,BCL3
BCL6,0.6413204597462756,3,BCL6
BCOR,-0.6413204597462756,3,BCOR
BCORL1,0.5896873027704073,4,BCORL1
BCR,-0.412109665939203,3,BCR
BLVRA,-1.0199241761309998,3,BLVRA
BMP1,0.8111174015037377,5,BMP1
BMP10,2.507048511365602,4,BMP10
BMP15,2.4604757637210484,5,BMP15
BMP4,2.4604757637210484,5,BMP4
BMP5,1.3648706484128728,6,BMP5
BMP6,2.507048511365602,4,BMP6
BMP8A,2.507048511365602,4,BMP8A
BMP8B,1.9375561892183948,6,BMP8B
BMPR1A,1.4287159863086913,5,BMPR1A
BMPR1B,1.4287159863086913,5,BMPR1B
BMPR2,2.382101975294235,6,BMPR2
BRAF,-1.3714844558746213,3,BRAF
BRCA1,-0.32167787308782564,3,BRCA1
BRD2,-1.2490480718036325,5,BRD2
BRD4,-0.7664298573859504,4,BRD4
BRDT,-1.7958469684101173,5,BRDT
BRIP1,-0.3208494439381916,4,BRIP1
BRMS1,-1.5390395749201724,4,BRMS1
BRSK1,1.1665754993854243,5,BRSK1
BTF3,-0.936692565322507,4,BTF3
BTG2,1.7700906842374977,4,BTG2
BTK,-0.8801902513568594,4,BTK
BTRC,0.5607459008892655,1,BTRC
CABP1,1.1316049837130826,4,CABP1
CALU,-0.5167927053620849,6,CALU
CAMK1,0.8521392497622278,4,CAMK1
CAMK2A,-1.3171736736337887,3,CAMK2A
CAMK2B,0.8610634671462719,4,CAMK2B
CAMK2D,1.2752630984357316,4,CAMK2D
CAMK2G,-0.5892589493848892,3,CAMK2G
CAMK4,2.0820666551490756,4,CAMK4
CAPN1,-0.7653359390230833,3,CAPN1
CAPN2,-0.797763736084099,3,CAPN2
CAPN3,-0.797763736084099,3,CAPN3
CAPNS1,-0.7082804896123335,4,CAPNS1
CAPRIN2,2.783671223626102,5,CAPRIN2
CARD9,2.916102330421619,3,CARD9
CARM1,-1.0789459804043138,2,CARM1
CASP1,0.6274554188893654,3,CASP1
CASP12,-0.562275357911259,4,CASP12
CASP5,0.7778611317540377,5,CASP5
CASP6,-0.5969930654197679,3,CASP6
CASP8,0.5572432567389162,3,CASP8
CASP8AP2,0.3939718423613572,4,CASP8AP2
CASP9,-0.412109665939203,3,CASP9
CAST,1.214649048520511,4,CAST
CBL,-0.6456899191137846,3,CBL
CBLB,0.8239616228175287,3,CBLB
CBLC,0.7082804896123335,4,CBLC
CBX4,-0.5288806611612495,1,CBX4
CCK,-0.52292664780833,5,CCK
CCND2,-1.0596034850113316,3,CCND2
CCNH,0.5369438481760719,3,CCNH
CCNY,2.0322376784413323,6,CCNY
CD22,0.905288335437433,3,CD22
CD247,1.1179366213946413,4,CD247
CD28,-0.871998616158813,4,CD28
CD4,0.5249408699606306,4,CD4
CDC25A,-0.5283666021998713,2,CDC25A
CDC7,2.8157768277655073,3,CDC7
CDC73,-0.8084297289173641,4,CDC73
CDCA5,-2.1340723395879446,2,CDCA5
CDH1,-0.6413204597462756,3,CDH1
CDK1,0.5607459008892655,1,CDK1
CDK10,-0.5496779541404561,4,CDK10
CDK14,2.146007644478452,5,CDK14
CDK2,-0.5607459008892655,1,CDK2
CDK2AP1,0.5283666021998713,2,CDK2AP1
CDK3,-1.0596034850113316,3,CDK3
CDK4,-2.9900409916547726,3,CDK4
CDK5,-1.2099971229329354,3,CDK5
CDK5RAP2,-0.9109304393219972,3,CDK5RAP2
CDK5RAP3,0.6469167035245059,2,CDK5RAP3
CDK7,0.36782073334063536,2,CDK7
CDK8,0.5283666021998713,2,CDK8
CDK9,-2.016861764160141,3,CDK9
CDKN1A,-0.6469167035245059,2,CDKN1A
CDKN1B,1.952920461365523,5,CDKN1B
CDKN2A,0.5283666021998713,2,CDKN2A
CDKN2B,2.5041439393792433,4,CDKN2B
CDKN2C,1.615616747783627,4,CDKN2C
CDON,3.3199034752982204,3,CDON
CEBPA,0.905288335437433,3,CEBPA
CEBPB,0.3591416185159458,3,CEBPB
CFLAR,-0.3307246643339573,4,CFLAR
CHEK1,0.44517641329905233,3,CHEK1
CHEK2,-0.5283666021998713,2,CHEK2
CHFR,0.4392935576681647,4,CHFR
CHUK,-1.4803081561533664,3,CHUK
CISH,1.2875175870346576,3,CISH
CLK1,0.8783619597004553,3,CLK1
CLU,1.0160775061071698,4,CLU
CMA1,-0.7558888769450455,6,CMA1
CNKSR1,-1.1759225019101294,4,CNKSR1
CNOT4,-1.5741713578065308,1,CNOT4
COL18A1,0.5125789623217246,4,COL18A1
COL1A1,0.5125789623217246,4,COL1A1
COL1A2,0.5125789623217246,4,COL1A2
COL2A1,0.5125789623217246,4,COL2A1
COL4A2,-0.936692565322507,4,COL4A2
COL4A4,0.5125789623217246,4,COL4A4
COL4A6,0.5125789623217246,4,COL4A6
COL5A1,0.5125789623217246,4,COL5A1
COL5A2,0.5125789623217246,4,COL5A2
COL6A1,0.5125789623217246,4,COL6A1
COMP,0.5125789623217246,4,COMP
COPS5,0.9149214592849406,4,COPS5
CRADD,-0.5516011226472803,4,CRADD
CREB1,2.152073050896785,3,CREB1
CREB5,-0.7082804896123335,4,CREB5
CREBBP,3.1392316489699925,3,CREBBP
CREM,1.730962823030838,5,CREM
CRK,1.1906888229774673,3,CRK
CRKL,-1.375044642883725,4,CRKL
CRLF1,0.6772172440974473,4,CRLF1
CRTC2,-1.475171433703917,3,CRTC2
CRTC3,-0.5809235924654035,4,CRTC3
CSF1,1.2875175870346576,3,CSF1
CSF1R,0.905288335437433,3,CSF1R
CSF3R,0.6469167035245059,2,CSF3R
CSMD1,3.1392316489699925,3,CSMD1
CSNK1A1L,-0.6413204597462756,3,CSNK1A1L
CSNK1D,-2.375112382394227,3,CSNK1D
CSNK1E,-1.5176914652073197,3,CSNK1E
CSNK1G1,-1.4983530747362859,3,CSNK1G1
CSNK1G2,-2.6561459635568734,3,CSNK1G2
CSNK1G3,-0.6413204597462756,3,CSNK1G3
CSNK2A1,0.5507864700594312,1,CSNK2A1
CSNK2A2,-0.5283666021998713,2,CSNK2A2
CSNK2B,0.6413204597462756,3,CSNK2B
CTBP1,1.0979931539775638,5,CTBP1
CTCF,-2.115132328770087,0,CTCF
CTDSP1,3.1392316489699925,3,CTDSP1
CTDSP2,3.1392316489699925,3,CTDSP2
CTDSPL,2.9900409916547726,3,CTDSPL
CTSE,-0.5355173221343766,5,CTSE
CXCL17,-0.7512975535102573,5,CXCL17
CYSLTR2,0.5896873027704073,4,CYSLTR2
CYTH2,1.0230319436668684,6,CYTH2
DAB2,-0.797763736084099,3,DAB2
DAB2IP,-0.6469167035245059,2,DAB2IP
DACH2,1.6524753626777118,2,DACH2
DACT2,-0.8950370632786054,4,DACT2
DAPK1,0.5670095798099584,3,DAPK1
DAPK3,-1.6926335488378885,3,DAPK3
DAXX,1.9560103162257643,4,DAXX
DCAF7,-1.4076831827892724,4,DCAF7
DDB1,-0.5283666021998713,2,DDB1
DDB2,0.797763736084099,3,DDB2
DDX17,-0.6274554188893654,3,DDX17
DDX3X,-2.271936079248069,4,DDX3X
DDX5,-0.6274554188893654,3,DDX5
DIP2A,0.5140768611932297,5,DIP2A
DIXDC1,-0.8991638943407905,4,DIXDC1
DKK1,-0.5896873027704073,4,DKK1
DKK2,-0.5896873027704073,4,DKK2
DKK4,-0.5896873027704073,4,DKK4
DLG4,-0.7466815931989322,5,DLG4
DLK1,0.8018303938757354,4,DLK1
DNAJC3,0.797763736084099,3,DNAJC3
DNMT3A,-1.355739032964822,4,DNMT3A
DRD4,-0.5787628713862953,4,DRD4
DTNBP1,-0.6234734995337647,5,DTNBP1
DTX1,1.3889477121495497,4,DTX1
DUSP10,-1.3734355310923871,3,DUSP10
DUSP14,-1.717351764451137,3,DUSP14
DUSP16,-2.5728553709437216,3,DUSP16
DUSP18,-1.3268285225115788,4,DUSP18
DUSP2,1.4858579306574584,3,DUSP2
DUSP22,1.2839951429615433,3,DUSP22
DUSP26,-2.8940019092171547,3,DUSP26
DUSP3,1.748560500670531,3,DUSP3
DUSP5,-0.8470853926940354,3,DUSP5
DUSP7,-1.7496308506861777,3,DUSP7
DUSP8,2.916102330421619,3,DUSP8
DUSP9,-2.7895872749208666,3,DUSP9
DVL1,1.8862074412666878,3,DVL1
DYRK1A,-1.4983530747362859,3,DYRK1A
DYRK1B,-0.797763736084099,3,DYRK1B
E2F1,-0.5607459008892655,1,E2F1
E2F2,-0.5607459008892655,1,E2F2
E2F3,1.0638144977181652,3,E2F3
E2F4,-0.6469167035245059,2,E2F4
E2F6,0.5283666021998713,2,E2F6
E2F7,0.7082804896123335,4,E2F7
ECE1,-0.6336258208650151,6,ECE1
EDN1,-0.7401648934664611,5,EDN1
EDN2,-0.5229266478083301,5,EDN2
