source,target,sign
AAK1,NUMB,1
AAK1,parent_of_EGFR-1,1
AANAT,MTNR1A,1
AANAT,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1,1
AATK,STK39,-1
ABL1,APBB1,1
ABL1,ATR,1
ABL1,BCAR1,1
ABL1,BTK,-1
ABL1,CBL,1
ABL1,CDK5,1
ABL1,CDKN1B,-1
ABL1,CRK,-1
ABL1,CRKL,1
ABL1,DDB2,-1
ABL1,DDX5,1
ABL1,EGFR,1
ABL1,EPHB2,1
ABL1,ERCC6,1
ABL1,ESR1,1
ABL1,GRAP,1
ABL1,HSPA1A,1
ABL1,IRS1,1
ABL1,JAK2,1
ABL1,JUN,1
ABL1,MAP2K6,1
ABL1,MAP4K1,1
ABL1,MDM2,-1
ABL1,MUC1,1
ABL1,NEDD9,1
ABL1,PDGFRB,1
ABL1,PLCG1,-1
ABL1,PPARG,1
ABL1,PRKCD,1
ABL1,PRKD1,1
ABL1,PSTPIP1,1
ABL1,PTPN6,1
ABL1,RAPGEF1,1
ABL1,RB1,-1
ABL1,RIN1,1
ABL1,SHC1,1
ABL1,STAT3,1
ABL1,STAT5A,1
ABL1,STK3,1
ABL1,STK4,1
ABL1,TP53BP1,1
ABL1,VAV1,1
ABL1,parent_of_CBL1,1
ABL1,parent_of_MAPK11_____MAPK31,1
ABL1,parent_of_TP53-1,-1
ABL1,parent_of_VAV11,1
ACAT1,parent_of_SMAD1-1,-1
ACTB,PLD1,-1
ACTN1,CAPN1,-1
ACTN1,PLD1,-1
ACTR2,parent_of_SMAD21_____SMAD31,1
ACVR1,SMAD1,1
ACVR2A,ACVR1,1
ACVR2A,parent_of_SMAD21_____SMAD31,1
ACVR2B,ACVR1,1
ACVR2B,ACVRL1,1
ACVR2B,BMPR1A,1
ACVR2B,BMPR1B,1
ACVR2B,SMAD2,1
ACVR2B,SMAD3,1
ACVR2B,parent_of_SMAD21_____SMAD31,1
ACVRL1,SMAD1,1
ADAM10,CDH1,1
ADAM10,EGF,1
ADAM10,ERBB2,1
ADAM10,parent_of_EGFR1_____ERBB41,1
ADAM10,parent_of_RBPJ1,1
ADAM15,ITGB1,1
ADAM2,ITGB1,1
ADAM9,ITGB1,1
ADAM9,parent_of_CSK1_____PTK21_____SRC1,1
ADNP,CTCF,-1
ADRM1,UCHL5,1
AFAP1L2,PIK3CA,1
AGTR1,GNAI1,1
AGTR1,GNAQ,1
AGTR1,GNG12,1
AIMP1,SMURF2,1
AKAP5,PRKACA,1
AKAP5,parent_of_BAD1_____DNM11_____FLNA-1_____KSR21_____NFATC21,1
AKT2,BAD,-1
AKT2,BRAF,-1
AKT2,CASP9,-1
AKT2,CDKN1A,1
AKT2,CDKN1B,-1
AKT2,CHUK,1
AKT2,CREB1,1
AKT2,EP300,1
AKT2,ESR1,1
AKT2,EZR,1
AKT2,FOXO1,-1
AKT2,FOXO3,-1
AKT2,GSK3B,-1
AKT2,HSPB1,-1
AKT2,HTRA2,-1
AKT2,MAP3K5,-1
AKT2,MDM2,1
AKT2,PPARGC1A,-1
AKT2,PTPN1,-1
AKT2,RAF1,-1
AKT2,SH3RF1,-1
AKT2,STK3,-1
AKT2,STK4,-1
AKT2,parent_of_CDKN2A-1,1
AKT3,BAD,-1
AKT3,BRAF,-1
AKT3,CASP9,-1
AKT3,CDKN1A,-1
AKT3,CHUK,1
AKT3,CREB1,1
AKT3,FOXO3,-1
AKT3,GSK3B,-1
AKT3,HSPB1,-1
AKT3,MAP3K8,1
AKT3,STK3,-1
AKT3,STK4,-1
AKT3,parent_of_CDKN2A-1,1
ALDH2,HDAC3,1
AMH,ACVR1,1
AMH,AMHR2,1
AMH,BMPR1B,1
AMHR2,ACVR1,1
AMHR2,BMPR1B,1
AMOT,WWTR1,-1
ANK2,parent_of_TGFBR11,1
ANK3,CDH1,1
ANXA1,parent_of_GNAI11_____GNAI31,1
APBB1,parent_of_HDAC11,1
APC2,AXIN1,1
APEX1,EGR1,1
APEX1,FOS,1
APEX1,STAT3,1
APEX1,TP53,1
APEX1,TXN,1
APLN,parent_of_GNAI11_____GNAI31,1
APOA1,parent_of_LRP51,1
AR,CDKN1A,1
AR,CFLAR,1
AR,FOXO1,-1
AR,FOXO3,-1
AR,JUN,1
AR,MMP2,1
AR,NR3C1,1
AR,RXRA,1
AR,parent_of_NR3C1-1,1
ARAF,MAP2K1,1
ARAF,MAP2K2,1
ARAF,MAPK1,1
ARAF,MAPK3,1
ARF1,GIT1,-1
ARF1,PLD1,1
ARF6,PLD1,1
ARHGAP32,CRK,1
ARHGAP32,CRKL,1
ARHGAP32,SRC,1
ARRB1,DVL1,1
ARRB1,FZD1,1
ARRB1,GNAI1,-1
ARRB1,SMO,1
ARRB2,GNAI1,-1
ARRB2,parent_of_GNAL1_____GNAS1,-1
ASAP2,ARF1,-1
ASAP2,ARF6,1
ASB2,parent_of_MAP2K41_____MAP2K71,-1
ASXL2,PPARG,1
ASXL3,BRD4,1
ASXL3,KDM1A,-1
ASXL3,NR1H3,-1
ASXL3,THRB,-1
ATAD2,AR,1
ATAD2,E2F1,1
ATAD2,ESR1,1
ATAD2,MYC,1
ATAD5,BRD4,1
ATE1,parent_of_EIF2AK3-1_____ERN1-1,-1
ATF2,ATF3,1
ATF2,GADD45A,1
ATF2,JUN,1
ATF2,MMP2,1
ATF3,parent_of_TSHR1,1
ATM,ABL1,1
ATM,ATF2,1
ATM,BRCA1,1
ATM,CHEK1,1
ATM,CHEK2,1
ATM,CREB1,-1
ATM,DAXX,-1
ATM,E2F1,1
ATM,EIF4EBP1,1
ATM,EP300,1
ATM,FBXW7,1
ATM,HERC2,1
ATM,HMGA2,1
ATM,IKBKG,1
ATM,L3MBTL2,1
ATM,MDC1,1
ATM,MDM2,-1
ATM,PLK1,-1
ATM,RASSF1,1
ATM,RBBP8,-1
ATM,RPA1,-1
ATM,SIAH1,-1
ATM,SMAD1,1
ATM,SMC3,1
ATM,SP1,1
ATM,TAOK1,1
ATM,TOPBP1,1
ATM,TP53,1
ATM,TP53BP1,1
ATM,TRIM28,-1
ATM,USP28,1
ATM,parent_of_CCND1-1,1
ATM,parent_of_EP3001,1
ATM,parent_of_ESR11,1
ATM,parent_of_HDAC11,-1
ATM,parent_of_RAF11,1
ATM,parent_of_STK31_____STK41,1
ATM,parent_of_TP53-1,-1
ATM,parent_of_TP531,1
ATR,ATM,1
ATR,BRCA1,1
ATR,CHEK1,1
ATR,CHEK2,1
ATR,CREB1,-1
ATR,E2F1,1
ATR,HERC2,1
ATR,MDM2,-1
ATR,PLK1,-1
ATR,RAD1,1
ATR,RBBP8,1
