source,score,level,source_original
AAK1,-0.5694508202224126,3,AAK1
ABL1,-0.6841795108564865,2,ABL1
ABL2,-0.3820499703911329,4,ABL2
ACAT1,-1.6309595575866447,5,ACAT1
ACE2,-1.2398706291601318,6,ACE2
ACP1,-0.6841795108564865,2,ACP1
ACTB,0.5694508202224126,3,ACTB
ACTN1,-1.4844040962488307,4,ACTN1
ACTR2,-1.2277950740082413,5,ACTR2
ACVR1,-1.6652976752492408,4,ACVR1
ACVR2A,-1.9806121735817206,5,ACVR2A
ACVR2B,-1.3121333967776148,4,ACVR2B
ACVRL1,-1.6652976752492408,4,ACVRL1
ADA,-0.5497459385411453,5,ADA
ADAM12,1.7414289057352368,4,ADAM12
ADAM15,1.411689354861213,4,ADAM15
ADAM17,0.5694508202224126,3,ADAM17
ADAM2,1.269643050084123,4,ADAM2
ADAM23,0.7214301922209889,4,ADAM23
ADAM9,1.0238207155334076,4,ADAM9
ADAMTS13,-1.310956268837792,5,ADAMTS13
ADM,1.6298955791133418,4,ADM
ADNP,-0.6841795108564865,2,ADNP
ADRA1A,2.2535964682792744,3,ADRA1A
ADRB2,2.2535964682792744,3,ADRB2
ADRM1,-0.6841795108564865,2,ADRM1
AFAP1L2,1.6298955791133418,4,AFAP1L2
AGT,-1.832244678160479,5,AGT
AGTR1,-0.8385196191463324,4,AGTR1
AHSA1,-1.0866910425688459,4,AHSA1
AIMP1,-0.5694508202224126,3,AIMP1
AKAP8,-0.6841795108564865,2,AKAP8
AKT1,-0.43712158372886,2,AKT1
AKT2,-1.0065103362914327,2,AKT2
AKT3,-1.8996589168828997,3,AKT3
ALDH2,-0.6841795108564865,2,ALDH2
ALK,-1.3893589135356366,4,ALK
AMH,-2.2223586831693214,5,AMH
AMHR2,-2.2223586831693214,5,AMHR2
AMOT,0.6841795108564865,2,AMOT
ANAPC1,0.6841795108564865,2,ANAPC1
ANK2,-0.597851006946029,5,ANK2
ANK3,0.8723819189491142,3,ANK3
ANKRD6,1.5412934063180137,3,ANKRD6
ANXA1,-0.597851006946029,5,ANXA1
APC2,0.8209550902955981,2,APC2
APEX1,-0.6030150948614552,4,APEX1
APH1A,0.8723819189491142,3,APH1A
APH1B,0.8723819189491142,3,APH1B
APLN,-0.597851006946029,5,APLN
APOA1,1.6298955791133418,4,APOA1
AR,-0.6841795108564865,2,AR
ARAF,-0.5201037756470349,3,ARAF
ARF6,0.7557899759142838,6,ARF6
ARHGAP1,1.5036436976221919,4,ARHGAP1
ARHGAP32,-0.5694508202224126,3,ARHGAP32
ARHGEF2,-1.0996191658620418,4,ARHGEF2
ARHGEF6,-0.5694508202224126,3,ARHGEF6
ARHGEF7,-2.0568149059908283,4,ARHGEF7
ARID5B,2.4186442886278265,0,ARID5B
ARRB1,0.29889893635278403,3,ARRB1
ARRB2,-0.9734761426157298,4,ARRB2
ASB2,1.5643600444309973,5,ASB2
ASB3,0.8524731285226289,6,ASB3
ASH2L,0.66079084449874,5,ASH2L
ASXL1,0.8723819189491142,3,ASXL1
ASXL3,-0.5694508202224126,3,ASXL3
ATAD2,-0.8093490567992723,3,ATAD2
ATAD5,-0.5694508202224126,3,ATAD5
ATE1,-0.9258726904116015,5,ATE1
ATF2,-0.5694508202224126,3,ATF2
ATF3,-1.4285070608714934,6,ATF3
ATG3,-2.025128345750228,4,ATG3
ATG4A,0.8119417804274562,6,ATG4A
ATG4B,-2.025128345750228,4,ATG4B
ATG7,-1.9148665293829423,5,ATG7
ATG9A,0.6615628203582903,6,ATG9A
ATM,-0.6841795108564865,2,ATM
ATR,-0.7180458829159002,3,ATR
ATXN2L,0.9462903664449023,5,ATXN2L
AURKA,0.8723819189491142,3,AURKA
AURKB,-0.5694508202224126,3,AURKB
AUTS2,-1.085958497749519,5,AUTS2
AVPR1B,2.2535964682792744,3,AVPR1B
AXIN1,1.8088177858564678,1,AXIN1
AXIN2,2.1379961605596516,3,AXIN2
AXL,-0.6562325221400097,4,AXL
BAG1,1.7668914822842214,4,BAG1
BAG2,1.2859704939323102,5,BAG2
BAG5,0.7483006603648794,5,BAG5
BAK1,0.691348496645187,5,BAK1
BAMBI,2.2535964682792744,3,BAMBI
BAP1,-0.6562325221400097,4,BAP1
BAX,-0.29997779013215464,4,BAX
BCAP31,-0.5235085276828191,4,BCAP31
BCAR3,-0.5694508202224126,3,BCAR3
BCL2,0.461381162431975,5,BCL2
BCL3,-0.6841795108564865,2,BCL3
BCL6,0.6881233952591448,4,BCL6
BCOR,-0.6841795108564865,2,BCOR
BCORL1,1.3069158349212935,5,BCORL1
BDKRB1,2.2535964682792744,3,BDKRB1
BDNF,1.5270022182339116,4,BDNF
BID,0.2580264919832177,5,BID
BIRC7,-0.7787020080483095,5,BIRC7
BLVRA,-0.5694508202224126,3,BLVRA
BMP1,2.2081410485718522,5,BMP1
BMP10,-3.383491127961631,5,BMP10
BMP15,-1.5677419757727309,5,BMP15
BMP4,-2.7282817057691133,5,BMP4
BMP5,-1.5677419757727309,5,BMP5
BMP6,-2.984942288088903,5,BMP6
BMP8A,-2.5297619601556214,5,BMP8A
BMP8B,-2.2223586831693214,5,BMP8B
BMPR1A,-1.6652976752492408,4,BMPR1A
BMPR1B,-1.6652976752492408,4,BMPR1B
