source,score,level,source_original
AANAT,0.5211710838925593,3,AANAT
ABL1,-1.8683575635433438,1,ABL1
ABL2,0.960244352619671,3,ABL2
ACE2,-1.1664818559614973,5,ACE2
ACP1,-0.694553954220957,2,ACP1
ACTB,1.4327200880038036,2,ACTB
ACTN1,-1.0238587488366593,3,ACTN1
ACTR2,1.1442525429615824,4,ACTR2
ACVR1,0.407368203743614,4,ACVR1
ACVR2A,1.1442525429615824,4,ACVR2A
ACVR2B,1.04054666268302,3,ACVR2B
ADA,-1.3100881761777439,4,ADA
ADAM10,-0.7282465908698114,3,ADAM10
ADAM12,-0.29783719830275796,3,ADAM12
ADAM15,-0.29783719830275796,3,ADAM15
ADAM17,-1.225137927531426,3,ADAM17
ADAM23,1.2228466260781605,4,ADAM23
ADAM9,-1.3209714381067326,3,ADAM9
ADIPOQ,0.6872756651643073,5,ADIPOQ
ADM,-1.5235783814348147,4,ADM
ADRA1A,-1.0827817430765017,3,ADRA1A
ADRB2,-1.0827817430765017,3,ADRB2
AFAP1L2,-0.4236162450472098,4,AFAP1L2
AGT,-0.6564806024906656,4,AGT
AGTR1,-1.0424565825426273,3,AGTR1
AKT1,-1.2269608636927027,2,AKT1
AKT1S1,0.39651811030539863,4,AKT1S1
AKT2,-0.8875144283187628,2,AKT2
AKT3,-0.3860309888811312,2,AKT3
ALK,0.7084866858347446,2,ALK
AMH,0.5456509429374686,5,AMH
AMHR2,0.5456509429374686,5,AMHR2
AMOT,-1.1008204055069932,2,AMOT
ANAPC1,-0.44282652462669925,2,ANAPC1
ANK3,-0.5652365627367023,3,ANK3
ANKRD6,-0.5098882526673634,3,ANKRD6
ANXA1,-1.3100881761777439,4,ANXA1
APAF1,-1.490613344027999,4,APAF1
APBA3,0.5233943737523266,6,APBA3
APBB1,1.7368593758360567,5,APBB1
APEX1,0.48824107680501105,1,APEX1
APH1A,-0.5652365627367023,3,APH1A
APH1B,-0.5652365627367023,3,APH1B
APIP,1.2656514745242697,5,APIP
APLF,0.5981972249700209,3,APLF
APLN,-1.3100881761777439,4,APLN
APPL1,0.6265302157396921,3,APPL1
AR,-1.3896087062807911,2,AR
ARAF,-0.2839415407605572,2,ARAF
ARF1,-0.6708279342066202,4,ARF1
ARHGAP1,-0.587390741712956,3,ARHGAP1
ARHGAP32,-1.4327200880038036,2,ARHGAP32
ARHGEF2,1.5578731900149232,3,ARHGEF2
ARHGEF6,-0.46313774243129036,2,ARHGEF6
ARRB1,0.7709819234766654,3,ARRB1
ARRB2,1.433408042977938,3,ARRB2
ASAP2,0.5515402653475662,5,ASAP2
ASB2,-2.0649983113935018,4,ASB2
ASB9,-1.4189868138848925,4,ASB9
ASH2L,-1.1787824584382651,4,ASH2L
ASXL1,1.8683575635433438,1,ASXL1
ASXL2,-1.8683575635433438,1,ASXL2
ATAD2,-2.1607476986199057,3,ATAD2
ATAD5,0.48464600783127126,1,ATAD5
ATE1,1.0861751779284778,4,ATE1
ATF1,1.135129791665338,4,ATF1
ATF2,0.7341045784083637,4,ATF2
ATG3,0.39252103143671596,4,ATG3
ATG4A,-1.1081314840686831,5,ATG4A
ATG7,-1.4818383265375703,5,ATG7
ATM,3.4874350230488558,1,ATM
ATOH1,-0.7770310083372922,5,ATOH1
ATP6AP1,1.787968786516728,4,ATP6AP1
ATR,2.1587027483402608,2,ATR
AURKA,-0.8340835254887671,2,AURKA
AURKB,1.3762240548917624,2,AURKB
AUTS2,0.9809420425613089,4,AUTS2
AVPR1B,-1.7953570172133302,3,AVPR1B
BAD,0.7084866858347446,2,BAD
BAG2,-1.5690109922857065,3,BAG2
BAG5,-1.3320247404794525,3,BAG5
BAK1,-0.5981972249700209,3,BAK1
BAX,-0.5981972249700209,3,BAX
BCAP31,0.6956859438295054,4,BCAP31
BCL2L1,0.7786813248604043,4,BCL2L1
BCL2L2,0.5611720759738198,4,BCL2L2
BCL3,0.34980185608059977,2,BCL3
BCL6,2.993320444250992,0,BCL6
BCR,-0.8671131114236519,3,BCR
BDKRB1,-1.7953570172133302,3,BDKRB1
BDNF,0.6972459877225083,4,BDNF
BECN1,0.5981972249700209,3,BECN1
BID,-0.5611720759738198,4,BID
BIRC2,-1.193269674768426,3,BIRC2
BIRC3,-0.9709043946640001,3,BIRC3
BIRC5,0.5652365627367023,3,BIRC5
BMF,-0.6800553910713851,5,BMF
BMP10,1.1442525429615824,4,BMP10
BMP15,0.9996529742417234,5,BMP15
BMP4,1.0954776711612093,5,BMP4
BMP6,1.1442525429615824,4,BMP6
BMP8A,1.1442525429615824,4,BMP8A
BMPR1A,0.407368203743614,4,BMPR1A
BMPR1B,0.407368203743614,4,BMPR1B
BMPR2,0.6690814909755656,5,BMPR2
BRAF,-1.4327200880038036,2,BRAF
BRAP,-0.8340136362862511,3,BRAP
BRCA1,1.4327200880038036,2,BRCA1
BRD2,0.5981972249700209,3,BRD2
BRD4,2.7238374865663437,0,BRD4
BRDT,-0.5960391073899002,5,BRDT
BRIP1,1.3670474437708708,3,BRIP1
BRMS1,0.46313774243129036,2,BRMS1
BRSK1,-0.4578461652960015,4,BRSK1
BRSK2,1.5383199948713033,3,BRSK2
BTF3,-1.5690109922857065,3,BTF3
BTG2,-2.6834730400853664,3,BTG2
BTG3,-0.8500531384892228,6,BTG3
BTK,-0.2993461400167629,3,BTK
C3,0.9340025070692107,4,C3
CABIN1,-0.9501321824204704,4,CABIN1
CABP1,1.456245942294944,3,CABP1
CALU,1.1667075167597065,6,CALU
CAMK2A,-1.3218826302195616,2,CAMK2A
CAMK2G,-0.7143512086539557,2,CAMK2G
CAPN1,1.1289796906629381,2,CAPN1
CARD8,1.490613344027999,4,CARD8
CARD9,1.216270610860369,2,CARD9
CARM1,-0.9232848775482213,1,CARM1
CASP1,0.45761441005394576,3,CASP1
CASP10,0.9775022275025357,3,CASP10
CASP12,-0.5370420935966654,4,CASP12
CASP2,-1.9552306199490779,3,CASP2
CASP3,-0.44282652462669925,2,CASP3
CASP5,1.4183573323057599,4,CASP5
CASP6,-2.7540393846894307,2,CASP6
CASP7,1.0515989360338611,3,CASP7
CASP8,-0.9164074440361133,3,CASP8
CASP8AP2,-1.3446045900583856,4,CASP8AP2
CASP9,-1.7604241320144518,3,CASP9
CAST,-0.6634440989691399,3,CAST
CBL,0.5185573458419105,3,CBL
CBLB,0.5823438185183474,2,CBLB
CBX4,-1.0714917466032237,6,CBX4
CCK,-1.5235783814348147,4,CCK
CCL16,-1.7715180527816707,4,CCL16
CCL7,1.1911633619650395,4,CCL7
CCND2,-0.5652365627367023,3,CCND2
CCNH,0.5981972249700209,3,CCNH
CD28,-0.7464450274527107,3,CD28
CD3E,-0.5857755738071528,3,CD3E
CDC14A,-0.7084866858347446,2,CDC14A
CDC14B,-0.7084866858347446,2,CDC14B
CDC25A,-0.2996484204123303,2,CDC25A
CDC42,-0.4507034627572458,2,CDC42
CDC7,1.224094035404128,4,CDC7
CDCA3,-2.477361084902845,4,CDCA3
CDH1,-0.44282652462669925,2,CDH1
CDK1,-2.368072736042885,2,CDK1
CDK10,-0.8514886790460638,5,CDK10
CDK2,-0.8042728929839117,2,CDK2
CDK2AP1,0.9310094700973913,3,CDK2AP1
CDK3,-0.8721734072246305,4,CDK3
CDK4,-2.0232092638306742,3,CDK4
CDK5,1.4927981713836482,2,CDK5
CDK5R1,0.4887841771677129,3,CDK5R1
CDK5RAP3,-1.749207280448498,3,CDK5RAP3
CDK6,-0.44282652462669925,2,CDK6
CDK7,0.7084866858347446,2,CDK7
CDK8,-1.0552825868496871,3,CDK8
CDK9,-0.5055695060165857,2,CDK9
CDKN1A,1.5324863052826645,3,CDKN1A
CDKN1B,0.365539319237421,4,CDKN1B
CDKN2A,0.8270539672625229,3,CDKN2A
CDKN2B,1.738755234927591,4,CDKN2B
CDKN2C,-0.5652365627367023,3,CDKN2C
CDON,-0.8106637753988576,2,CDON
CEBPA,0.31970496409038257,3,CEBPA
CEBPB,1.5288165965387899,2,CEBPB
CFH,-0.8434493423461872,5,CFH
CFHR1,0.8434493423461872,5,CFHR1
CFI,-0.8434493423461872,5,CFI
CFLAR,0.7419189988427255,4,CFLAR
CHEK2,0.7084866858347446,2,CHEK2
CHN1,-0.8671131114236519,3,CHN1
CHRM1,-1.3205147098292946,3,CHRM1
CHRM5,-1.3205147098292946,3,CHRM5
CHUK,-0.4888932589572388,1,CHUK
CIITA,2.1802337200679616,0,CIITA
CISH,0.5651574230618422,3,CISH
CLK1,1.4327200880038036,2,CLK1
CLK2,1.8891625838423862,3,CLK2
CLK4,1.4327200880038036,2,CLK4
