source,target,sign
AAK1,NUMB,1
AANAT,MTNR1A,1
ABL1,AHSA1,1
ABL1,APP,1
ABL1,ATR,1
ABL1,BCAR1,1
ABL1,CASP9,1
ABL1,CBL,1
ABL1,CD19,1
ABL1,CDK5,1
ABL1,CDKN1B,-1
ABL1,CRKL,1
ABL1,CTNND1,1
ABL1,DDX5,1
ABL1,EGFR,1
ABL1,EPHB2,1
ABL1,ERCC6,1
ABL1,ESR1,1
ABL1,GRAP,1
ABL1,HDAC2,1
ABL1,HIPK2,1
ABL1,HSPA1A,1
ABL1,JUN,1
ABL1,MAP3K1,1
ABL1,MAP4K1,1
ABL1,MDM2,-1
ABL1,MET,1
ABL1,MTOR,1
ABL1,MUC1,1
ABL1,NCK1,1
ABL1,NEDD9,1
ABL1,PDGFRB,1
ABL1,PLK1,1
ABL1,PPARG,1
ABL1,PRKD1,1
ABL1,PRKDC,-1
ABL1,PTPN6,1
ABL1,RAPGEF1,1
ABL1,RB1,-1
ABL1,RIN1,1
ABL1,STAT1,1
ABL1,STK3,1
ABL1,STK4,1
ABL1,TP53BP1,1
ABL1,VAV1,1
ABL1,VAV2,1
ABL1,YAP1,1
ABL1,parent_of_CBL1,1
ABL1,parent_of_MAPK11_____MAPK31,1
ABL1,parent_of_TP53-1,-1
ABL1,parent_of_VAV11,1
ACAT1,parent_of_SMAD1-1,-1
ACP1,AKT1,-1
ACP1,AKT3,-1
ACP1,CTNNB1,1
ACP1,EPHA2,1
ACP1,PDGFRB,-1
ACP1,PTK2,-1
ACP1,SRC,1
ACTB,ABL1,-1
ACTB,PLD1,-1
ACTN1,CAPN1,-1
ACTN1,PLD1,-1
ACTR2,parent_of_SMAD21_____SMAD31,1
ACVR1,SMAD1,1
ACVR1,VPS39,1
ACVR1,parent_of_SMAD41,1
ACVR2A,ACVR1,1
ACVR2A,parent_of_SMAD21_____SMAD31,1
ACVR2B,ACVR1,1
ACVR2B,ACVRL1,1
ACVR2B,BMPR1A,1
ACVR2B,BMPR1B,1
ACVR2B,SMAD2,1
ACVR2B,SMAD3,1
ACVR2B,parent_of_SMAD21_____SMAD31,1
ACVRL1,SMAD1,1
ADAM10,APP,1
ADAM10,CDH1,1
ADAM10,ERBB2,1
ADAM10,NOTCH1,1
ADAM10,parent_of_RBPJ1,1
ADAM15,ITGB3,1
ADAM15,parent_of_CSK1,1
ADAM17,APP,1
ADAM17,ITGB1,1
ADAM17,MUC1,-1
ADAM17,NOTCH1,1
ADAM17,PTPRF,-1
ADIPOQ,parent_of_APPL11,1
ADRB2,GNAL,1
ADRB2,GNAQ,1
ADRB2,GNB2,1
ADRM1,UCHL5,1
AHSA1,HSP90AA1,1
AHSA1,HSP90AB1,1
AIMP1,SMURF2,1
AKT1,AR,-1
AKT1,BAD,-1
AKT1,BRAF,-1
AKT1,CASP9,-1
AKT1,CDK2,1
AKT1,CDKN1B,-1
AKT1,CREB1,1
AKT1,CTNNB1,1
AKT1,EIF4EBP1,1
AKT1,FOXO1,-1
AKT1,GSK3A,-1
AKT1,ITGB3,-1
AKT1,MAP3K8,1
AKT1,MST1,1
AKT1,MST1R,1
AKT1,NR3C1,-1
