source,score,level,source_original
AAK1,0.2553679351934136,3,AAK1
AANAT,-0.7693649640162891,3,AANAT
AATK,-0.8389564027986112,3,AATK
ABL1,1.5855497013718944,2,ABL1
ACE2,-1.0781191255120481,5,ACE2
ACTB,-1.7035312753666296,3,ACTB
ACTN1,-0.37216222738098054,3,ACTN1
ACTR2,1.1357300440749516,4,ACTR2
ACVR2A,1.1357300440749516,4,ACVR2A
ACVR2B,1.1903174133698577,3,ACVR2B
ADA,-0.6564229258894192,4,ADA
ADAM10,-0.6346086192805133,3,ADAM10
ADAM12,-0.29742382008568424,3,ADAM12
ADAM9,-0.6537051337177856,3,ADAM9
ADM,-0.8488076340804039,4,ADM
ADNP,-1.610237531242733,4,ADNP
ADRA1A,-0.5604975033261399,3,ADRA1A
ADRB2,-0.5604975033261399,3,ADRB2
ADRM1,1.1357300440749516,4,ADRM1
AFAP1L2,-0.7164564638464628,4,AFAP1L2
AGT,-0.7134655186555965,4,AGT
AGTR1,-0.7769634170629108,3,AGTR1
AIMP1,1.1357300440749516,4,AIMP1
AKT2,-0.7566891597010268,1,AKT2
ALDH2,-0.7904275025093811,3,ALDH2
AMOT,-1.167379880174938,1,AMOT
ANAPC1,-0.5879836755424359,3,ANAPC1
ANK2,0.891826734660552,5,ANK2
ANK3,0.6477499662003322,3,ANK3
ANKRD6,-0.963928305511987,2,ANKRD6
ANXA1,-0.6564229258894192,4,ANXA1
APBA3,0.7288015700042694,5,APBA3
APC2,0.43439949258058314,3,APC2
APEX1,0.3541056479199135,2,APEX1
APH1A,0.5577417376990149,5,APH1A
APH1B,0.5577417376990149,5,APH1B
APLF,-2.2742517104726505,3,APLF
APLN,-0.6564229258894192,4,APLN
ARAF,-0.6197363761601336,2,ARAF
ARF1,0.8017669276971671,4,ARF1
ARF6,1.1337236375615196,5,ARF6
ARHGAP32,-0.3861691778995182,2,ARHGAP32
ARRB1,0.2501078181297613,3,ARRB1
ARRB2,0.8864976734346918,3,ARRB2
ASAP2,-0.9633286464382428,5,ASAP2
ASB2,-0.9777515920542311,4,ASB2
ASB4,-1.5355255912004986,6,ASB4
ASB9,1.9705874840775959,5,ASB9
ASXL1,-0.33052123739534434,1,ASXL1
ATAD5,-0.5277285674057942,3,ATAD5
ATF2,-1.2789498262233518,3,ATF2
ATG3,-0.5453203905488219,5,ATG3
ATG4A,1.431298082576528,6,ATG4A
ATG4B,-0.5453203905488219,5,ATG4B
ATG7,1.7031958870393742,6,ATG7
ATG9A,1.1795819228731945,5,ATG9A
ATOH1,2.2743511927440836,6,ATOH1
ATR,0.9993600315863711,2,ATR
ATXN2L,-1.7819687341713102,3,ATXN2L
AURKA,-0.9274711774059567,2,AURKA
AURKB,2.792901110965378,1,AURKB
AVPR1B,-0.8206776290817049,3,AVPR1B
AXIN1,0.5133075069548082,2,AXIN1
AXL,0.9379053027972962,3,AXL
BAG1,0.6946853780750722,4,BAG1
BAMBI,0.559765244015622,4,BAMBI
BANP,0.7904275025093811,3,BANP
BCL3,-0.8138583304231943,3,BCL3
BCL6,-1.3099340672941644,4,BCL6
BCOR,-0.8138583304231943,3,BCOR
BDKRB1,-0.8206776290817049,3,BDKRB1
BDNF,1.011015451534616,4,BDNF
BIRC6,-0.894247549880999,4,BIRC6
BMF,-0.8556222977209582,5,BMF
BMP10,1.1357300440749516,4,BMP10
BMP15,0.8128889347372253,5,BMP15
