source,target,sign
AAK1,parent_of_EGFR-1,1
AANAT,MTNR1A,1
AANAT,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1,1
AATK,CDK5R1,1
AATK,STK39,-1
ABL1,ATR,1
ABL1,BTK,-1
ABL1,CAV1,1
ABL1,CBL,1
ABL1,CD19,1
ABL1,CDKN1B,-1
ABL1,CEBPB,1
ABL1,CRKL,1
ABL1,DDB2,-1
ABL1,DDX5,1
ABL1,DOK1,1
ABL1,EGFR,1
ABL1,EPHB2,1
ABL1,ESR1,1
ABL1,GRAP,1
ABL1,HDAC2,1
ABL1,HIPK2,1
ABL1,IRS1,1
ABL1,JAK2,1
ABL1,JUN,1
ABL1,MAP2K6,1
ABL1,MAP3K1,1
ABL1,MAP4K1,1
ABL1,MDM2,-1
ABL1,MET,1
ABL1,MYOD1,-1
ABL1,PLCG1,-1
ABL1,PLK1,1
ABL1,PRKCD,1
ABL1,PRKD1,1
ABL1,PSTPIP1,1
ABL1,PTPN6,1
ABL1,PXN,1
ABL1,RAPGEF1,1
ABL1,RB1,-1
ABL1,RIN1,1
ABL1,SHC1,1
ABL1,STAT1,1
ABL1,STAT5A,1
ABL1,STAT6,1
ABL1,STK3,1
ABL1,STK4,1
ABL1,TP53BP1,1
ABL1,TP73,1
ABL1,UBE3A,-1
ABL1,VAV1,1
ABL1,YAP1,1
ABL1,parent_of_ACTB1,1
ABL1,parent_of_CBL1,1
ABL1,parent_of_MAPK11_____MAPK31,1
ABL1,parent_of_VAV11,1
ACE2,AGT,1
ACE2,APLN,1
ACTB,ABL1,-1
ACTB,PLD1,-1
ACTB,parent_of_ACTB1,1
ACTN1,PLD1,-1
ACTR2,parent_of_SMAD21_____SMAD31,1
ACVR2A,parent_of_SMAD21_____SMAD31,1
ACVR2B,SMAD2,1
ACVR2B,SMAD3,1
ACVR2B,parent_of_SMAD21_____SMAD31,1
ADA,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1_____GNB21,1
ADAM10,CDH1,1
ADAM10,EGF,1
ADAM10,ERBB2,1
ADAM10,NOTCH1,1
ADAM10,NOTCH2,1
ADAM10,parent_of_EGFR1_____ERBB41,1
ADAM10,parent_of_RBPJ1,1
ADAM12,PIK3CA,1
ADAM9,FGFR2,-1
ADAM9,parent_of_CSK1_____PTK21_____SRC1,1
ADM,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
ADNP,CTNNB1,1
ADNP,MAP1LC3B,1
ADRA1A,GNA11,1
ADRA1A,GNB2,1
ADRB2,GNAS,1
ADRB2,GNB2,1
ADRM1,UCHL5,1
AFAP1L2,PIK3CA,1
AGT,AGTR1,1
AGT,LRP2,1
AGT,parent_of_AGT1,1
AGTR1,GNAI1,1
AGTR1,GNG12,1
AIMP1,SMURF2,1
AKT2,BRAF,-1
AKT2,CDKN1A,1
AKT2,CDKN1B,-1
AKT2,CHUK,1
AKT2,CTNNB1,1
AKT2,EP300,1
AKT2,ESR1,1
AKT2,EZR,1
AKT2,GSK3A,-1
AKT2,HSPB1,-1
AKT2,HTRA2,-1
AKT2,KHSRP,-1
AKT2,MAP3K5,-1
AKT2,MDM2,1
AKT2,PPARGC1A,-1
AKT2,PTPN1,-1
AKT2,STK3,-1
AKT2,STK4,-1
AKT2,TSC2,-1
AKT2,parent_of_ACTB1,1
AKT2,parent_of_CDKN2A-1,1
AKT2,parent_of_YAP1-1,-1
ALDH2,HDAC3,1
AMOT,WWTR1,-1
AMOT,YAP1,-1
ANAPC1,CTNNB1,-1
ANK2,parent_of_TGFBR11,1
ANK3,CDH1,1
ANK3,GABARAP,1
ANK3,parent_of_PRKCA1,1
ANKRD6,CSNK1E,1
ANKRD6,DVL2,1
ANXA1,parent_of_GNAI11_____GNAI31,1
APBA3,STXBP1,1
APC2,AXIN1,1
APC2,CTNNB1,1
APEX1,TXN,1
APEX1,parent_of_PTH1R1,-1
APH1A,PSEN1,1
APH1B,NCSTN,1
APH1B,PSEN1,1
APLF,PARP1,1
APLN,parent_of_GNAI11_____GNAI31,1
ARAF,MAP2K1,1
ARAF,MAP2K2,1
ARAF,MAPK1,1
ARAF,MAPK3,1
ARF1,GIT1,-1
ARF1,PLD1,1
ARF6,PLD1,1
ARHGAP32,CRKL,1
ARHGAP32,SRC,1
ARRB1,ADRB2,-1
ARRB1,DVL2,1
ARRB1,F2RL1,-1
ARRB1,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1_____GNB21,-1
ARRB2,ADRB2,-1
ARRB2,GNAI1,-1
ARRB2,GNAI2,-1
ARRB2,INPP5D,1
