source,score,level,source_original
AAK1,-0.7348352648858707,4,AAK1
ABL1,-0.43044524525426164,1,ABL1
ACE2,-1.192034156466543,5,ACE2
ACP1,0.31137620161273427,2,ACP1
ACTB,0.5273555461153872,2,ACTB
ACTN1,-0.5094431501103555,3,ACTN1
ADA,-0.5864717963508106,4,ADA
ADAM10,-0.258922851941055,3,ADAM10
ADAM15,0.7799193941101045,4,ADAM15
ADAM23,1.1753442005444126,4,ADAM23
ADAM9,-0.5754709303577336,3,ADAM9
ADM,-0.8557570620013479,4,ADM
ADRA1A,-0.5747159407327215,3,ADRA1A
ADRB2,-0.5747159407327215,3,ADRB2
AGT,-0.9505520444165337,4,AGT
AGTR1,-1.058712173844399,3,AGTR1
AKAP5,-0.8372216869691607,3,AKAP5
AKAP8,-0.8372216869691607,3,AKAP8
AKT1,-0.2972022954379568,1,AKT1
AKT1S1,-1.0229316144436083,4,AKT1S1
AKT2,-0.9900765907483515,1,AKT2
AKT3,-0.33266003238372804,2,AKT3
ALDH2,-0.759900932192357,4,ALDH2
AMOT,-0.6327279941999724,1,AMOT
ANKRD6,-0.7026444589465691,2,ANKRD6
ANXA1,-0.5864717963508106,4,ANXA1
APBB1,1.39931061727096,5,APBB1
APEX1,-0.49415484954760935,2,APEX1
APLF,-7.7606940726350855,3,APLF
APLN,-0.5864717963508106,4,APLN
ARHGAP32,-0.5633237903262792,2,ARHGAP32
ARHGEF6,-0.6327059836488791,3,ARHGEF6
ARRB2,0.8152366607940145,3,ARRB2
ASB3,-0.7465733838288325,5,ASB3
ASB4,-0.8836454166377222,6,ASB4
ASXL3,0.5273555461153872,2,ASXL3
ATAD2,-0.5545520409721982,3,ATAD2
ATAD5,-0.915706012611495,4,ATAD5
ATF1,0.2750923229458857,1,ATF1
ATG3,-0.3494712277498755,5,ATG3
ATG4A,-0.5765326786355044,5,ATG4A
ATG7,-1.0011061668492311,5,ATG7
ATG9A,1.1481883056162256,5,ATG9A
ATM,-0.3233525216888672,2,ATM
ATR,0.6773344127365329,2,ATR
ATXN2L,-0.8576539602359481,3,ATXN2L
AURKA,-0.7026444589465691,2,AURKA
AURKB,7.008213939241327,1,AURKB
AVPR1B,-0.8032903995715437,3,AVPR1B
BAD,-1.0163568479783354,3,BAD
BAG1,-0.6114707021899979,4,BAG1
BAG2,-0.5403361789538255,3,BAG2
BAK1,0.7681679701002461,4,BAK1
BAX,0.7681679701002461,4,BAX
BCAR3,-0.7734962915998503,3,BCAR3
BCL2,0.412090423932127,4,BCL2
BCL2L2,-1.3869103377881369,5,BCL2L2
BCL6,0.2689166336310345,3,BCL6
BDKRB1,-0.8032903995715437,3,BDKRB1
BDNF,0.6248101776788606,4,BDNF
BECN1,-0.42786442557708493,3,BECN1
BID,1.5241953486021986,5,BID
BIRC2,-0.35030838132162356,3,BIRC2
BIRC3,-0.35030838132162356,3,BIRC3
BIRC5,-0.35030838132162356,3,BIRC5
BIRC6,-3.5983841032711563,4,BIRC6
BIRC7,-0.829570877551086,5,BIRC7
BMF,-0.653778434279856,5,BMF
BRAF,-0.5273555461153872,2,BRAF
BRAP,0.5678757750627139,4,BRAP
BRCA1,0.5273555461153872,2,BRCA1
BRD2,-1.107816956022402,4,BRD2
BRD4,-0.8539831111366807,3,BRD4
BRDT,-0.8922419187685274,5,BRDT
BRIP1,0.4890490135043559,3,BRIP1
BRMS1,0.5299476674167477,3,BRMS1
BRSK1,-0.5079788923034433,4,BRSK1
BTF3,-0.5754709303577336,3,BTF3
BTG2,-0.8497889594879724,3,BTG2
BTK,-0.8688724595304571,4,BTK
C3,0.712378502196875,4,C3
CALU,0.9054353116152565,6,CALU
CAMK4,-0.31419919852483474,1,CAMK4
CAMKK1,-0.32187738898533447,2,CAMKK1
CAMKK2,-0.46683649890183915,2,CAMKK2
CAPN1,0.5482384951559387,2,CAPN1
CARD11,0.6865403438054851,5,CARD11
CARD9,0.3980533441233031,2,CARD9
CARM1,-0.43044524525426164,1,CARM1
CASP1,0.2926684841754568,3,CASP1
CASP10,0.35030838132162356,3,CASP10
CASP12,2.669881493703232,4,CASP12
CASP2,0.4179807237121808,4,CASP2
CASP3,0.3852502581006602,2,CASP3
CASP6,0.9448320228005398,3,CASP6
CASP7,3.7914327272286523,3,CASP7
CASP9,0.3225475624146392,3,CASP9
CAST,-0.5090360887089217,3,CAST
CAV1,-1.141260839646862,3,CAV1
CBFB,1.5703644808314585,4,CBFB
CBL,0.6231363092857557,3,CBL
CBLB,0.5633237903262792,2,CBLB
CBLC,0.85305014703512,4,CBLC
CCK,-0.8557570620013479,4,CCK
CCL16,0.8576539602359481,3,CCL16
CCL2,0.8576539602359481,3,CCL2
CCL7,-0.8576539602359481,3,CCL7
CCND2,0.8964428543486365,2,CCND2
CD19,-0.5718806875316296,3,CD19
CD22,0.8576539602359481,3,CD22
CD28,-0.5241763547938731,3,CD28
CD3E,-0.5599274392092687,4,CD3E
CD40LG,0.701251658028749,4,CD40LG
CDC14B,0.859691248341134,3,CDC14B
CDC25A,0.5841598163305435,2,CDC25A
CDCA3,0.8173692283814827,3,CDCA3
CDK1,1.2172319081032832,1,CDK1
CDK10,0.8724054042577528,4,CDK10
CDK2,0.46420626408424637,1,CDK2
CDK4,1.2172319081032832,1,CDK4
CDK5,0.3920594847669375,1,CDK5
CDK5RAP3,0.8964428543486365,2,CDK5RAP3
CDK6,0.28950969786353997,2,CDK6
CDK9,-0.6658682400680154,2,CDK9
CDKN1A,-1.2799561699990387,2,CDKN1A
CDKN1B,-0.8497889594879724,3,CDKN1B
CDKN2A,-0.810789938579493,2,CDKN2A
CDKN2B,-0.8964428543486365,2,CDKN2B
CDKN2C,-0.8964428543486365,2,CDKN2C
CEBPA,0.8576539602359481,3,CEBPA
CEP76,0.9011755360139936,3,CEP76
CFH,-0.9126715380897593,5,CFH
CFHR1,0.9126715380897593,5,CFHR1
CFI,-0.9126715380897593,5,CFI
CFLAR,-0.5184297601631298,4,CFLAR
CHEK1,7.37442399951915,2,CHEK1
CHEK2,1.2172319081032832,1,CHEK2
CHFR,5.293640339250784,3,CHFR
CHRM1,-0.5747159407327215,3,CHRM1
CHRM5,-0.5747159407327215,3,CHRM5
CISH,1.114446052029262,3,CISH
CLK2,0.6505127487171027,3,CLK2
CLN8,0.6323161598341962,3,CLN8
CLOCK,-0.889860724974044,5,CLOCK
CMA1,-1.6388547760113594,5,CMA1
CNKSR1,-0.5403361789538255,3,CNKSR1
CNR1,-0.5754709303577336,3,CNR1
COL4A1,-0.5754709303577336,3,COL4A1
COL4A2,-0.5754709303577336,3,COL4A2
COMP,0.7799193941101045,4,COMP
COX5B,0.6301737949890642,5,COX5B
CR2,-0.5822295811393471,4,CR2
CREM,2.3852249156047036,0,CREM
CRHR1,-0.5747159407327215,3,CRHR1
CRK,0.3529259551020883,2,CRK
CRLF1,0.8576539602359481,3,CRLF1
CRTC2,-0.3920594847669375,1,CRTC2
CSF1,1.4848880486769556,3,CSF1
CSF1R,0.8576539602359481,3,CSF1R
CSF3R,1.2915351953045684,2,CSF3R
CSK,0.5633237903262792,2,CSK
CSNK1D,-0.6327279941999724,1,CSNK1D
CSNK1E,-0.6327279941999724,1,CSNK1E
CSNK1G2,-0.8476349645871187,3,CSNK1G2
CSNK1G3,-1.0163568479783354,3,CSNK1G3
CSNK2A1,-0.6653649997029556,2,CSNK2A1
CSNK2B,-0.7940558198762001,2,CSNK2B
CSRP3,-0.9281301347373712,5,CSRP3
CTDSP1,0.8519465110498418,3,CTDSP1
CTTNBP2,0.670861340738387,4,CTTNBP2
CTTNBP2NL,1.4957430898724156,4,CTTNBP2NL
CUL3,-0.31875744356129687,3,CUL3
CXCL17,-0.5864717963508106,4,CXCL17
DAB2IP,-0.26042868368546734,2,DAB2IP
DAPK1,-0.49415484954760935,2,DAPK1
DAXX,0.36280588278918324,3,DAXX
DBP,4.399588035600272,0,DBP
DCAF7,7.37442399951915,2,DCAF7
DCC,-1.130248393272915,4,DCC
DDB1,-1.1153467132948822,4,DDB1
DDB2,1.277085224043993,3,DDB2
DDIT3,0.712378502196875,4,DDIT3
DDX17,-0.5699772851654622,3,DDX17
DDX20,0.6987994108769211,2,DDX20
DDX5,-0.8704383839724258,3,DDX5
DEAF1,5.778641671540669,0,DEAF1
DHX58,0.6725968999399974,3,DHX58
DIABLO,0.6423250508525613,4,DIABLO
DIP2A,0.8687969590953885,4,DIP2A
DLG4,-1.32250142236098,5,DLG4
DLGAP1,-1.1908356201564472,5,DLGAP1
DNAJC3,0.9929544016924096,3,DNAJC3
DOK1,0.41698012971521775,3,DOK1
DPF2,-1.5703644808314585,4,DPF2
DPP3,-0.8029155179308349,4,DPP3
DRD1,-0.8032903995715437,3,DRD1
DRD2,-0.5754709303577336,3,DRD2
DRD4,-0.5754709303577336,3,DRD4
DTNBP1,1.0515285239227967,5,DTNBP1
DUSP18,-0.8152366607940145,3,DUSP18
DUSP22,0.5963858805488396,2,DUSP22
DUSP3,0.4378339680744495,2,DUSP3
DVL2,-0.42222167568850566,3,DVL2
DVL3,-0.6225625581944709,3,DVL3
DYRK1B,7.008213939241327,1,DYRK1B
DYRK3,1.1435376895024483,5,DYRK3
E2F1,-1.0227185272044959,3,E2F1
E2F2,-0.9090432799390634,3,E2F2
E2F3,-0.9090432799390634,3,E2F3
E2F4,-0.8964428543486365,2,E2F4
ECE1,-1.3678167017036724,5,ECE1
EDN1,-1.2115588366581185,4,EDN1
EDN2,-0.8557570620013479,4,EDN2
EDN3,-0.8557570620013479,4,EDN3
EDNRA,-0.8032903995715437,3,EDNRA
EFNA5,-0.5782615707474233,3,EFNA5
EFNB1,-0.5754709303577336,3,EFNB1
EFNB2,-0.716406199411674,3,EFNB2
EFR3A,-0.8546092113681171,4,EFR3A
EGLN2,-0.6419534296039864,4,EGLN2
EGR1,-0.27441290051965134,3,EGR1
EHMT1,0.8497889594879724,3,EHMT1
EID1,0.5540125040729449,3,EID1
EIF2AK2,-0.9901865872262354,2,EIF2AK2
EIF4EBP1,-0.8112594757793761,4,EIF4EBP1
ELAVL1,-1.1009686828103935,3,ELAVL1
ENPEP,0.9450396850043459,5,ENPEP
EP300,-0.516719564538857,2,EP300
EP400,0.9042240672598231,3,EP400
EPHB1,0.27820534451645185,3,EPHB1
EPHB2,-0.5633237903262792,2,EPHB2
EPHB3,1.188103822050826,5,EPHB3
ERBB2,-0.7940558198762001,2,ERBB2
ERBB3,-0.6161708535730576,3,ERBB3
ERBB4,-0.7168648467170534,3,ERBB4
ERG,-0.7959964133749081,5,ERG
ESR1,-0.557700182620732,2,ESR1
ETS1,-0.5084168443168982,2,ETS1
EVI5,0.7199935118630405,5,EVI5
EYA1,0.9051947810927499,5,EYA1
EZH2,-0.4959768583253406,3,EZH2
EZR,1.1067891416266704,4,EZR
F10,-1.8170976441235684,5,F10
F11,-7.5410317089890855,5,F11
F12,-0.3597661321556859,4,F12
F2,-1.5883858633243428,4,F2
F2RL1,-0.8032903995715437,3,F2RL1
F2RL2,-0.8152366607940145,3,F2RL2
F7,-1.828719440698328,6,F7
FAM20C,0.7799833357608233,4,FAM20C
FAM83G,0.670861340738387,4,FAM83G
FANCC,0.9929544016924096,3,FANCC
FBXL17,-0.9394658981712345,6,FBXL17
FBXL2,-1.2044579315003205,3,FBXL2
FBXO11,1.0163568479783354,3,FBXO11
FBXO32,0.9281301347373712,5,FBXO32
FBXO6,-7.697182916543976,3,FBXO6
FBXO9,0.8504198238436413,4,FBXO9
FBXW7,-0.9900765907483515,1,FBXW7
FBXW8,-1.2100421523817055,3,FBXW8
FCGR3A,-1.17826953635124,3,FCGR3A
FES,0.8576539602359481,3,FES
FFAR2,-0.5747159407327215,3,FFAR2
FGF2,-0.7392021865085862,3,FGF2
FGF3,0.7060768234238496,4,FGF3
FGF9,-0.5218384362025901,3,FGF9
FGFR1,-0.4694474054831538,3,FGFR1
FGFR2,0.5188448037181252,3,FGFR2
FGFR3,-0.5084168443168982,2,FGFR3
FGFR4,-0.5084168443168982,2,FGFR4
FGR,-0.42786442557708493,3,FGR
FKBP6,0.5066478434009382,4,FKBP6
FKBP8,0.7867914527308809,3,FKBP8
FLCN,1.281539230990335,5,FLCN
FLI1,1.7633092866964772,5,FLI1
FLT3,-0.524681183266172,2,FLT3
FLT3LG,-0.537723999111727,3,FLT3LG
FMR1,-0.553005539215837,3,FMR1
FOXL2,0.9900765907483515,1,FOXL2
FOXM1,4.388025291394066,0,FOXM1
FOXO1,0.43044524525426164,1,FOXO1
FOXO3,0.46458804108723595,3,FOXO3
FRS2,-0.5053517139147805,2,FRS2
FSTL1,1.0983560985808485,5,FSTL1
FYCO1,-0.8163680996101034,5,FYCO1
FZD1,-0.3333918155209653,3,FZD1
FZD7,-0.6436263936349331,3,FZD7
G3BP1,-0.9929544016924096,3,G3BP1
GAB1,-0.7207572782598937,3,GAB1
GAB2,-0.7207572782598937,3,GAB2
GAD1,-0.5864717963508106,4,GAD1
GADD45A,-0.7840746905741502,2,GADD45A
GADD45B,2.58105758648371,4,GADD45B
GADD45GIP1,0.7123884894440484,3,GADD45GIP1
GALR2,-0.5747159407327215,3,GALR2
GAPDH,-0.5079094236803919,3,GAPDH
GATA1,1.5703644808314585,4,GATA1
GATA2,0.43044524525426164,1,GATA2
GATA4,2.0242884517730424,0,GATA4
GDF15,-0.8010011985275144,3,GDF15
GFI1,0.5218384362025901,3,GFI1
GGCX,-0.8904848427240265,5,GGCX
GGNBP2,0.5699772851654622,3,GGNBP2
GH1,1.4848880486769556,3,GH1
GH2,1.2369034626802005,3,GH2
GHR,1.2915351953045684,2,GHR
GIGYF2,-0.5403361789538255,3,GIGYF2
GLI1,0.7730122795666466,4,GLI1
GLI2,0.9846268488955088,5,GLI2
GNAI1,-0.5633237903262792,2,GNAI1
GNAI2,-0.5633237903262792,2,GNAI2
GNAS,-0.5633237903262792,2,GNAS
GNG12,-1.0140797502129124,2,GNG12
GNG2,-0.4421987915038936,3,GNG2
GNGT1,-0.4421987915038936,3,GNGT1
GOLGA7,-1.3371035231418709,4,GOLGA7
GPR132,-0.5747159407327215,3,GPR132
GPR17,-0.5747159407327215,3,GPR17
GPR174,-0.5754709303577336,3,GPR174
GPSM3,0.5754709303577336,3,GPSM3
GRAP,0.28308374099881495,3,GRAP
GRB10,-0.5273555461153872,2,GRB10
GRB2,-0.3734646162575278,3,GRB2
GRK4,0.5855797005802125,4,GRK4
GRK5,1.3248857165167618,3,GRK5
GRK6,-1.0126612547623615,3,GRK6
GRM1,-0.5747159407327215,3,GRM1
GRM7,-0.5754709303577336,3,GRM7
GRP,-0.8557570620013479,4,GRP
GRPEL1,-1.021762225433245,6,GRPEL1
GSK3A,0.34947763573347684,2,GSK3A
GSK3B,0.43134892057706054,1,GSK3B
GTF2I,0.8497889594879724,3,GTF2I
GZMA,0.5079094236803919,3,GZMA
HCFC1,-1.6038209302535855,4,HCFC1
HCK,-0.5273555461153872,2,HCK
HCRT,-0.8288426672570806,4,HCRT
HCRTR2,-0.5747159407327215,3,HCRTR2
HDAC1,0.8704383839724258,3,HDAC1
HDAC10,-1.828281405759858,4,HDAC10
HDAC11,1.244422859946356,5,HDAC11
HDAC2,-0.8497889594879724,3,HDAC2
HDAC3,-0.7222143294814737,3,HDAC3
HDAC4,0.33809391683804674,4,HDAC4
HDAC5,0.41188647266000145,4,HDAC5
HDAC9,-3.388184572159607,0,HDAC9
HDC,-1.1734098021170725,4,HDC
HIF1A,0.5927184650645436,5,HIF1A
HIPK2,1.1862587285394728,2,HIPK2
HMGA2,-0.3411481203113314,3,HMGA2
HNF1B,3.6025128351670173,0,HNF1B
HNF4A,3.1263951228133537,0,HNF4A
HNRNPK,-1.1998997421513697,3,HNRNPK
HNRNPU,-0.9355282349697394,5,HNRNPU
HOXA10,2.26526544638351,0,HOXA10
HOXB8,-0.9426364980634864,6,HOXB8
HOXD12,-0.8734296271685645,4,HOXD12
HRAS,-0.8781893477180276,3,HRAS
HRG,-0.6345655333965934,4,HRG
HSPA1B,0.32294052816887836,3,HSPA1B
HSPA8,1.0678366615649186,5,HSPA8
HSPB2,-0.5386159842005674,2,HSPB2
HSPB6,-0.4121818630490539,2,HSPB6
HSPG2,0.712378502196875,4,HSPG2
HTR2A,-0.5747159407327215,3,HTR2A
HTR2B,-0.5747159407327215,3,HTR2B
HTR6,-0.5747159407327215,3,HTR6
HTT,0.5403361789538255,3,HTT
HUWE1,1.0163568479783354,3,HUWE1
IBSP,1.0084224371326422,4,IBSP
ICAM3,0.712378502196875,4,ICAM3
ICAM4,1.0084224371326422,4,ICAM4
ID1,2.207111711860347,0,ID1
ID2,0.9281301347373712,5,ID2
ID3,0.9426364980634864,6,ID3
IER3,-0.6789599371282725,3,IER3
IFIH1,-0.6725968999399974,3,IFIH1
IFNAR1,0.9044814671585769,2,IFNAR1
IFNG,1.4848880486769556,3,IFNG
IGF1,-0.9725659208090514,3,IGF1
IGF1R,-0.2821078385329856,3,IGF1R
IGF2,-0.5188448037181252,3,IGF2
IHH,-0.9609560771549704,4,IHH
IKBKE,-0.5084168443168982,2,IKBKE
IL10,1.4848880486769556,3,IL10
IL12A,0.8576539602359481,3,IL12A
IL13,1.698279991600854,3,IL13
IL13RA1,0.9044814671585769,2,IL13RA1
IL15,1.7549797194267256,3,IL15
IL15RA,1.2915351953045684,2,IL15RA
IL18,0.721057269980768,6,IL18
IL19,0.8576539602359481,3,IL19
IL2,1.2369034626802005,3,IL2
IL26,0.8576539602359481,3,IL26
IL2RG,1.2915351953045684,2,IL2RG
IL34,1.1067891416266704,4,IL34
IL4,2.1098604592658963,3,IL4
IL4R,1.5974451494741613,2,IL4R
IL5,0.8576539602359481,3,IL5
IL5RA,0.9044814671585769,2,IL5RA
IL6,1.4848880486769556,3,IL6
IL6R,0.9044814671585769,2,IL6R
IL6ST,1.2915351953045684,2,IL6ST
IL7,1.2369034626802005,3,IL7
IL7R,0.8576539602359481,3,IL7R
ILK,-1.0151432166654784,2,ILK
INCENP,-1.1428092305134818,3,INCENP
ING1,-0.7342613839757682,3,ING1
ING2,-0.5299476674167477,3,ING2
INSR,-0.5053517139147805,2,INSR
IQSEC2,-0.6220884079956284,6,IQSEC2
IRF1,-0.4085513307706409,1,IRF1
IRF3,0.8576539602359481,3,IRF3
IRF9,0.8576539602359481,3,IRF9
IRS1,0.9044814671585769,2,IRS1
IRS2,-0.4421987915038936,3,IRS2
IRS4,-0.2971155992312952,4,IRS4
ITGA5,0.7235081944415303,3,ITGA5
ITGB1,-0.7695873734028854,3,ITGB1
ITGB1BP1,0.8152366607940145,3,ITGB1BP1
ITGB3,0.5241763547938731,3,ITGB3
ITGB4,-0.5633237903262792,2,ITGB4
ITK,-1.530242675824286,4,ITK
JAK1,1.2264460427055364,1,JAK1
JAK2,1.2264460427055364,1,JAK2
JAK3,1.2264460427055364,1,JAK3
JARID2,0.5882597153644422,1,JARID2
JUN,-0.34800939788395907,2,JUN
KAT2B,-0.38453505313027936,3,KAT2B
KDM6A,0.731479427061753,4,KDM6A
KDR,-0.42786442557708493,3,KDR
KEAP1,0.600764949572927,3,KEAP1
KHSRP,-0.5633237903262792,2,KHSRP
KL,0.5188448037181252,3,KL
KLC2,-0.8322482516493308,6,KLC2
KLF2,-0.8576539602359481,3,KLF2
KLF4,-2.270242700108972,5,KLF4
KLF6,-1.294706561504316,4,KLF6
KLK3,-0.6246651745788182,5,KLK3
KNG1,-1.0201295571962927,4,KNG1
KPNA2,0.273736566877311,2,KPNA2
KRAS,-0.8023196804220304,3,KRAS
LAMA1,-0.5754709303577336,3,LAMA1
LAMB1,-0.8152366607940145,3,LAMB1
LAMC1,-0.5754709303577336,3,LAMC1
LAT,-0.7237305716763429,3,LAT
LATS1,-0.6327279941999724,1,LATS1
LATS2,-0.6327279941999724,1,LATS2
LCK,-1.1792621135126713,2,LCK
LEP,0.7151531398372895,3,LEP
LEPR,0.7587739508031763,2,LEPR
LIFR,1.2915351953045684,2,LIFR
LIPH,-1.2115588366581185,4,LIPH
LMAN2,1.489317384258363,6,LMAN2
LPA,-0.8557570620013479,4,LPA
LPAR3,-0.5747159407327215,3,LPAR3
LRIG1,-0.8010011985275144,3,LRIG1
LRP2,0.7730122795666466,4,LRP2
LRRK2,-0.4121818630490539,2,LRRK2
LTA,1.0152771196591095,5,LTA
LTB4R,-0.5754709303577336,3,LTB4R
LZTR1,0.8546092113681171,4,LZTR1
MAD2L2,-0.49415484954760935,2,MAD2L2
MADCAM1,0.712378502196875,4,MADCAM1
MAF,0.5218384362025901,3,MAF
MAGEL2,0.6931519779704561,4,MAGEL2
MALT1,0.521688478005844,4,MALT1
MAP1B,-0.5079094236803919,3,MAP1B
MAP1LC3A,-0.5449584138803976,4,MAP1LC3A
MAP1LC3B,-0.5449584138803976,4,MAP1LC3B
MAP1LC3C,0.5132032881428311,5,MAP1LC3C
MAP2K2,-0.43044524525426164,1,MAP2K2
MAP2K3,4.8292754625048575,2,MAP2K3
MAP3K11,2.5018332867937283,3,MAP3K11
MAP3K3,2.1152887547856305,3,MAP3K3
MAP3K4,2.0976849389675536,3,MAP3K4
MAP3K5,0.3980533441233031,2,MAP3K5
MAP3K7,0.3980533441233031,2,MAP3K7
MAPK10,-0.3920594847669375,1,MAPK10
MAPK11,-0.5084168443168982,2,MAPK11
MAPK12,0.5273555461153872,2,MAPK12
MAPK13,-0.5387404902385982,3,MAPK13
MAPK14,0.4210082298097319,1,MAPK14
MAPK3,0.3239556259707069,1,MAPK3
MAPK8,0.5903467626881208,1,MAPK8
MAPK8IP3,-0.49415484954760935,2,MAPK8IP3
MAPK9,-0.3920594847669375,1,MAPK9
MAPKAPK3,-0.5513351088153678,3,MAPKAPK3
MAPKAPK5,-1.0163568479783354,3,MAPKAPK5
MARK2,-0.5067734560251321,4,MARK2
MAVS,-0.6725968999399974,3,MAVS
MC1R,-0.5747159407327215,3,MC1R
MCL1,0.412090423932127,4,MCL1
MCM10,0.5066478434009382,4,MCM10
MDM2,0.5677822523267915,3,MDM2
MECP2,2.4023725241573683,1,MECP2
MEF2C,-0.3652162656942727,3,MEF2C
MET,-5.135948301546552,3,MET
MFN1,0.9788769773969516,5,MFN1
MIB1,0.5079094236803919,3,MIB1
MIF,0.8576539602359481,3,MIF
MIR17HG,-0.9044814671585769,2,MIR17HG
MKNK1,0.45911183091801655,4,MKNK1
MKRN1,1.8054621299844682,3,MKRN1
MLH1,1.3797441213947321,6,MLH1
MLLT11,2.2272985424359435,6,MLLT11
MLNR,-0.5747159407327215,3,MLNR
MMP12,0.7606123004340948,5,MMP12
MOV10,-0.5218384362025901,3,MOV10
MSC,2.725593042293072,0,MSC
MSH2,0.6355561559480841,3,MSH2
MSH6,-1.107816956022402,4,MSH6
MST1,-0.7033049067898242,3,MST1
MST1R,-3.3469610149101965,4,MST1R
MTOR,-0.7795268829897349,2,MTOR
MUC1,0.3529259551020883,2,MUC1
MUTYH,0.6355561559480841,3,MUTYH
MYO10,-1.2710940743637473,5,MYO10
MYOD1,-0.841507146579595,4,MYOD1
MYOG,-0.8836454166377222,6,MYOG
MYT1L,1.294706561504316,4,MYT1L
NAMPT,-0.5188448037181252,3,NAMPT
NBR1,-0.5449584138803976,4,NBR1
NCK1,-0.553005539215837,3,NCK1
NCK2,-0.553005539215837,3,NCK2
NCL,1.1943795896714404,5,NCL
NCOA2,-0.5903467626881208,1,NCOA2
NCOR2,0.43044524525426164,1,NCOR2
NDN,0.9900765907483515,1,NDN
NEDD4L,-0.5254871348695849,3,NEDD4L
NEK6,-0.6554124751597821,2,NEK6
NEK9,-0.6654514563141916,3,NEK9
NEO1,-0.5079094236803919,3,NEO1
NEUROD1,0.6248101776788606,4,NEUROD1
NF1,1.3371035231418709,4,NF1
NF2,-1.0015664410208538,2,NF2
NFE2L2,-0.4413786475734301,4,NFE2L2
NFIA,2.0681195226952935,0,NFIA
NFKBIE,-0.712378502196875,4,NFKBIE
NFYA,1.1770167763012378,5,NFYA
NGF,-0.5403361789538255,3,NGF
NKX3-1,-1.1219211121466115,4,NKX3-1
NLGN2,0.5118125108995657,4,NLGN2
NLRC4,-0.6071360793966684,3,NLRC4
NMB,-1.2115588366581185,4,NMB
NME1,0.5449584138803976,4,NME1
NMU,-0.5457301410380236,4,NMU
NOD1,0.3980533441233031,2,NOD1
NOD2,0.35721172387054206,2,NOD2
NOL3,-0.521688478005844,4,NOL3
NONO,2.0714987603397756,0,NONO
NOSIP,-0.6323161598341962,3,NOSIP
NOXA1,-0.5566668186972555,5,NOXA1
NPFF,-0.5864717963508106,4,NPFF
NPM1,-1.0140797502129124,2,NPM1
NPTX1,-1.107816956022402,4,NPTX1
NPY,0.5855797005802125,4,NPY
NR0B1,3.596197498493181,0,NR0B1
NR0B2,1.0001539832242987,1,NR0B2
