source,target,sign
AAK1,NUMB,1
ABL1,APBB1,1
ABL1,ATR,1
ABL1,BTK,-1
ABL1,CAV1,1
ABL1,CBL,1
ABL1,CD19,1
ABL1,CDKN1B,-1
ABL1,DDB2,-1
ABL1,DDX5,1
ABL1,EPHB2,1
ABL1,ESR1,1
ABL1,HDAC2,1
ABL1,HIPK2,1
ABL1,IRS1,1
ABL1,JAK2,1
ABL1,MDM2,-1
ABL1,MET,1
ABL1,MTOR,1
ABL1,MYOD1,-1
ABL1,NCK1,1
ABL1,PDGFRB,1
ABL1,PLCG1,-1
ABL1,PLK1,1
ABL1,PPARG,1
ABL1,PSTPIP1,1
ABL1,PTPN6,1
ABL1,RAPGEF1,1
ABL1,RB1,-1
ABL1,STAT6,1
ABL1,STK3,1
ABL1,STK4,1
ABL1,TP53BP1,1
ABL1,TP73,1
ABL1,parent_of_CBL1,1
ABL1,parent_of_TP53-1,-1
ACE2,AGT,1
ACE2,APLN,1
ACP1,AKT2,-1
ACP1,PDGFRB,-1
ACP1,PTK2,-1
ACTB,ABL1,-1
ACTB,parent_of_ACTB1,1
ACTN1,CAPN1,-1
ADA,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1_____GNB21,1
ADAM10,ERBB2,1
ADAM15,ITGA5,1
ADAM15,ITGB1,1
ADAM15,ITGB3,1
ADAM15,parent_of_CSK1,1
ADAM23,ITGA5,1
ADAM23,ITGB3,1
ADAM9,FGFR2,-1
ADAM9,ITGB1,1
ADAM9,parent_of_CSK1,1
ADAM9,parent_of_CSK1_____PTK21_____SRC1,1
ADM,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
ADRA1A,GNAS,1
ADRB2,GNAS,1
AGT,AGTR1,1
AGT,LRP2,1
AGT,parent_of_AGT1,1
AGTR1,GNAI1,1
AGTR1,GNG12,1
AKAP5,PRKACA,1
AKAP5,parent_of_BAD1_____DNM11_____FLNA-1_____KSR21_____NFATC21,1
AKAP8,HDAC3,1
AKAP8,PRKACA,1
AKT1,ADRB2,-1
AKT1,AKT1S1,-1
AKT1,BAD,-1
AKT1,BAX,-1
AKT1,BRAF,-1
AKT1,BRCA1,1
AKT1,CDKN1A,1
AKT1,CDKN1B,-1
AKT1,CFLAR,-1
AKT1,CHEK1,-1
AKT1,CLK2,1
AKT1,EIF4EBP1,1
AKT1,EP300,1
AKT1,ESR1,1
AKT1,GAB2,-1
AKT1,GATA1,1
AKT1,IRS1,1
AKT1,ITGB1,1
AKT1,ITGB3,-1
AKT1,KHSRP,-1
AKT1,MAP3K11,-1
AKT1,MDM2,1
AKT1,MST1,1
AKT1,MST1R,1
AKT1,NR3C1,-1
AKT1,NR4A1,-1
AKT1,NUAK1,1
AKT1,PAK1,1
AKT1,PHB2,-1
AKT1,PPARGC1A,-1
AKT1,PRKAA1,-1
AKT1,PRKACA,1
AKT1,RAF1,-1
AKT1,SH2B2,1
AKT1,SKP2,1
AKT1,STK3,-1
AKT1,STK4,-1
AKT1,TAL1,-1
AKT1,TOPBP1,1
AKT1,TP53BP1,-1
AKT1,TWIST1,1
AKT1,parent_of_AURKA-1,1
AKT1,parent_of_CDKN2A-1,1
AKT1,parent_of_CXCR41,1
AKT1,parent_of_EZR1,1
AKT1,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1,1
AKT1,parent_of_TP53-1,1
AKT1,parent_of_TP531,1
AKT1S1,parent_of_MTOR-1,-1
AKT2,AKT1S1,-1
AKT2,BAD,-1
AKT2,BRAF,-1
AKT2,CASP9,-1
AKT2,CDKN1A,1
AKT2,CDKN1B,-1
AKT2,EP300,1
AKT2,ESR1,1
AKT2,EZR,1
AKT2,FOXO1,-1
AKT2,FOXO3,-1
AKT2,GSK3A,-1
AKT2,GSK3B,-1
AKT2,KHSRP,-1
AKT2,MAP3K5,-1
AKT2,MDM2,1
AKT2,PPARGC1A,-1
AKT2,PTPN1,-1
AKT2,RAF1,-1
AKT2,SH3RF1,-1
AKT2,STK3,-1
AKT2,STK4,-1
AKT2,parent_of_ACTB1,1
AKT2,parent_of_CASP3-1_____CASP7-1_____CASP9-1,1
AKT2,parent_of_CDKN2A-1,1
AKT3,AKT1S1,-1
AKT3,BAD,-1
AKT3,BRAF,-1
AKT3,CDKN1A,-1
AKT3,STK3,-1
AKT3,STK4,-1
AKT3,parent_of_CDKN2A-1,1
ALDH2,HDAC3,1
AMOT,WWTR1,-1
ANKRD6,CSNK1E,1
ANXA1,parent_of_GNAI11_____GNAI31,1
APBB1,parent_of_HDAC11,1
APEX1,TP53,1
APEX1,parent_of_HIF1A1,1
APEX1,parent_of_PTH1R1,-1
APLF,PARP1,1
APLN,parent_of_GNAI11_____GNAI31,1
ARHGAP32,CRK,1
ARHGAP32,RAC1,-1
ARHGAP32,RHOA,1
ARHGAP32,SRC,1
ARHGEF6,CBL,-1
ARHGEF6,PAK1,1
ARHGEF6,RAC1,1
ARRB2,ADRB2,-1
ARRB2,GNAI1,-1
ARRB2,GNAI2,-1
ARRB2,parent_of_GNAL1_____GNAS1,-1
ASB3,TNFRSF1B,-1
ASB4,ID2,-1
ASXL3,BRD4,1
ASXL3,THRB,-1
ATAD2,E2F1,1
ATAD2,ESR1,1
ATAD5,BRD4,1
ATF1,IL10,1
ATG3,MAP1LC3B,1
