source,score,level,source_original
AAK1,-0.5019261767027884,5,AAK1
AANAT,-0.45911138964551534,3,AANAT
AATK,-1.4207780899926532,4,AATK
ABL1,-1.5510834763675585,3,ABL1
ABL2,-1.3297658821870117,3,ABL2
ACAA2,-0.8257056705313734,6,ACAA2
ACAT1,0.711179434128328,5,ACAT1
ACE2,-2.121148148817248,6,ACE2
ACP1,1.6513365919225373,3,ACP1
ACTB,1.5816343630398124,4,ACTB
ACTR2,1.042970765927449,3,ACTR2
ACVR1,0.7999062739698325,4,ACVR1
ACVR2A,1.042970765927449,3,ACVR2A
ACVR2B,1.1979831927485223,2,ACVR2B
ACVRL1,0.7999062739698325,4,ACVRL1
ADAM12,-0.8694206434745295,4,ADAM12
ADAM15,-1.389833815451537,4,ADAM15
ADAM17,-1.695222592439593,4,ADAM17
ADAM2,-1.389833815451537,4,ADAM2
ADAM23,-1.0372247899242089,5,ADAM23
ADAM9,-1.389833815451537,4,ADAM9
ADAMTS13,1.2979628720588152,5,ADAMTS13
ADCY5,-1.389833815451537,4,ADCY5
ADNP,1.3628478626742833,5,ADNP
ADRA1A,-1.190592804492799,4,ADRA1A
ADRB2,-1.190592804492799,4,ADRB2
ADRM1,1.042970765927449,3,ADRM1
AFAP1L2,-0.9145212300365859,4,AFAP1L2
AGT,-2.057268074275048,5,AGT
AGTR1,-1.3402654870733888,4,AGTR1
AKAP5,-1.3433331456916184,3,AKAP5
AKAP8,-1.3433331456916184,3,AKAP8
AKT1S1,-1.5056842349218722,5,AKT1S1
AKT2,-1.5028288987504534,2,AKT2
AKT3,-1.5028288987504534,2,AKT3
ALDH2,-1.1131537076439473,4,ALDH2
ALK,0.26447876629419637,4,ALK
AMH,1.2424177727766963,5,AMH
AMHR2,1.2424177727766963,5,AMHR2
AMOT,0.722054992819748,2,AMOT
ANAPC1,-0.7925032411476051,5,ANAPC1
ANK2,0.7999062739698325,4,ANK2
ANK3,-0.5769105586964192,4,ANK3
ANKRD6,1.185876625955073,3,ANKRD6
ANXA1,-0.8730892775022859,6,ANXA1
APBB1,1.3799240351728759,6,APBB1
APC2,1.042970765927449,3,APC2
APH1A,0.8774751907215839,5,APH1A
APH1B,0.8774751907215839,5,APH1B
APLF,0.7999062739698325,4,APLF
APLN,-0.8730892775022859,6,APLN
AR,-0.3798896553921573,4,AR
ARAF,-0.5161300548386075,2,ARAF
ARF1,0.5769105586964192,4,ARF1
ARF6,0.6558672810765671,5,ARF6
ARHGAP32,-1.2210556030683823,4,ARHGAP32
ARHGEF2,0.6115880524029544,4,ARHGEF2
ARHGEF6,-0.8131721616327123,4,ARHGEF6
ARHGEF7,-0.7387952896893288,4,ARHGEF7
ARRB1,1.042970765927449,3,ARRB1
ARRB2,1.625430174140892,5,ARRB2
ASAP2,-0.6558672810765671,5,ASAP2
ASB2,-2.427358999093863,5,ASB2
ASB3,1.0555692507978962,5,ASB3
ASB9,-1.7991353306088482,6,ASB9
ASH2L,1.0634384546121332,4,ASH2L
ASXL1,0.9896172542323368,3,ASXL1
ASXL2,0.7999062739698325,4,ASXL2
ASXL3,-1.1253527716545213,4,ASXL3
ATAD2,1.042970765927449,3,ATAD2
ATAD5,-1.1253527716545213,4,ATAD5
ATE1,0.711179434128328,5,ATE1
ATF1,0.7999062739698325,4,ATF1
ATF3,-1.693513528996512,6,ATF3
ATG3,-0.711179434128328,5,ATG3
ATG4B,-0.711179434128328,5,ATG4B
ATG7,-0.6965159022606576,6,ATG7
ATG9A,-1.2159722012702336,6,ATG9A
ATM,1.5028288987504534,2,ATM
ATR,1.5028288987504534,2,ATR
AURKA,0.6237666440624157,3,AURKA
AURKB,1.3136477091340328,3,AURKB
AVPR1B,-0.6674765637807809,4,AVPR1B
AXIN1,1.1979831927485223,2,AXIN1
AXIN2,1.7308355308884116,3,AXIN2
AXL,-0.5682921421227085,5,AXL
BAG1,-1.0486150539355081,4,BAG1
BAG2,-0.8924096018478889,4,BAG2
BAG5,1.2077925735018282,4,BAG5
BAMBI,1.042970765927449,3,BAMBI
BANP,1.1131537076439473,4,BANP
BAP1,-0.718211256210002,5,BAP1
BCAP31,0.5880447812551572,5,BCAP31
BCAR1,-1.1979831927485223,2,BCAR1
BCAR3,-1.0087366888541671,4,BCAR3
BCL2,-0.7842900239332249,5,BCL2
BCL2L1,-0.611756025980956,5,BCL2L1
BCL2L2,-0.4891041681410599,5,BCL2L2
BCL3,-1.1131537076439473,4,BCL3
BCOR,-1.1131537076439473,4,BCOR
BCORL1,-0.711179434128328,5,BCORL1
BDKRB1,-0.6298079216641705,4,BDKRB1
BECN1,0.5862224550615592,4,BECN1
BID,0.4891041681410599,5,BID
BIRC5,-0.40399006105409163,4,BIRC5
BIRC7,-0.543364005943408,6,BIRC7
BLVRA,-1.3297658821870117,3,BLVRA
BMF,1.3061560147598208,6,BMF
BMP1,-2.2563080243765485,5,BMP1
BMP10,1.042970765927449,3,BMP10
BMP15,0.7999062739698325,4,BMP15
BMP4,0.7999062739698325,4,BMP4
BMP5,0.8774751907215839,5,BMP5
BMP6,1.042970765927449,3,BMP6
BMP8A,1.042970765927449,3,BMP8A
BMP8B,1.2424177727766963,5,BMP8B
BMPR1A,0.7999062739698325,4,BMPR1A
BMPR1B,0.7999062739698325,4,BMPR1B
BMPR2,1.523464482944461,5,BMPR2
BNIP3,0.7353062354674897,5,BNIP3
BRAF,-0.8028559467611168,3,BRAF
BRAP,1.1087165151117984,5,BRAP
BRCA1,1.5816343630398124,4,BRCA1
BRD2,0.7082908509622687,5,BRD2
BRD4,-1.0562289413855748,3,BRD4
BRDT,-1.1131537076439473,4,BRDT
BRIP1,1.1181701877500383,5,BRIP1
BRSK2,0.5309506244722383,4,BRSK2
