source,score,level,source_original
AANAT,0.47832153841224406,3,AANAT
ABL1,-0.34736513160156235,1,ABL1
ABL2,0.3340636659166661,3,ABL2
ACAA2,1.1405865704340448,5,ACAA2
ACAT1,-0.4189817453147106,5,ACAT1
ACE2,-0.8257947234612202,5,ACE2
ACP1,-1.6061800058957882,2,ACP1
ACTR2,-0.698152912910801,3,ACTR2
ACVR1,-0.6410070019312495,4,ACVR1
ACVR2A,-0.698152912910801,3,ACVR2A
ACVR2B,-0.5214601758521954,2,ACVR2B
ACVRL1,-0.6410070019312495,4,ACVRL1
ADA,-0.5338739377645103,4,ADA
ADAM12,2.3487503068461653,4,ADAM12
ADAM15,1.4603167869761147,4,ADAM15
ADAM17,1.1096080967030826,3,ADAM17
ADAM2,1.4429571818060052,4,ADAM2
ADAM23,0.6186990148485709,4,ADAM23
ADAM9,-0.5792918444152017,3,ADAM9
ADAMTS13,-1.0561907180141805,5,ADAMTS13
ADIPOQ,-0.5138377843420746,5,ADIPOQ
ADM,-0.7514789690008802,4,ADM
ADRA1A,-0.5792918444152017,3,ADRA1A
ADRB2,-0.5792918444152017,3,ADRB2
ADRM1,-0.698152912910801,3,ADRM1
AFAP1L2,1.8101774233138146,4,AFAP1L2
AGT,-0.5338739377645103,4,AGT
AGTR1,-0.5792918444152017,3,AGTR1
AHSA1,1.2541833834457845,3,AHSA1
AIMP1,-0.698152912910801,3,AIMP1
AKAP5,0.513218821493989,3,AKAP5
AKAP8,-0.6545864588729905,2,AKAP8
AKT1,1.492193758834336,1,AKT1
AKT1S1,2.102950017149529,4,AKT1S1
AKT2,-0.5906960108114553,2,AKT2
AKT3,-0.29830524847266976,3,AKT3
ALDH2,-0.6545864588729905,2,ALDH2
ALK,-0.4890285540425065,3,ALK
AMH,-0.9553816405667271,5,AMH
AMHR2,-0.9553816405667271,5,AMHR2
ANK2,-0.6410070019312495,4,ANK2
ANKRD6,-0.7714457529598027,3,ANKRD6
ANXA1,-0.5338739377645103,4,ANXA1
APAF1,-1.331613107577783,4,APAF1
APBB1,-0.8554013621347881,3,APBB1
APC2,-0.3650286422962389,2,APC2
APEX1,-0.3442416360589898,2,APEX1
APIP,1.2651690077622946,5,APIP
APLF,-0.6805807651266098,3,APLF
APLN,-0.5338739377645103,4,APLN
APOA1,-0.740229634838292,5,APOA1
AR,-0.8454626172463042,2,AR
ARAF,0.31226593550473203,2,ARAF
ARF1,-0.6366356620982925,4,ARF1
ARHGAP1,-0.47832153841224406,3,ARHGAP1
ARHGAP32,-0.420754692098092,2,ARHGAP32
ARHGEF2,1.771558961465112,3,ARHGEF2
ARHGEF6,1.1900762345922087,3,ARHGEF6
ARHGEF7,2.0244559952249714,3,ARHGEF7
ARRB2,0.8206839874563713,3,ARRB2
ASAP2,0.67099267123182,5,ASAP2
ASB2,-0.7141624370993537,4,ASB2
ASB3,-0.538532816336728,5,ASB3
ASB4,2.102950017149529,4,ASB4
ATAD2,-1.5405633451318959,3,ATAD2
ATG3,-1.6835533440892247,5,ATG3
ATG4A,-0.5832631481736947,5,ATG4A
ATG4B,-1.6835533440892247,5,ATG4B
ATG7,-1.012538209862495,5,ATG7
ATM,0.5273452627420405,1,ATM
ATOH1,-0.5832631481736947,5,ATOH1
ATP6AP1,2.5675595226072248,4,ATP6AP1
ATXN2L,0.5764542756176771,5,ATXN2L
ATXN7,-2.0358885618870346,1,ATXN7
AURKA,0.3442416360589898,2,AURKA
AURKB,0.7405740996923516,2,AURKB
AUTS2,1.8154294675315412,4,AUTS2
AVPR1B,-0.8206839874563713,3,AVPR1B
AXIN1,-0.5214601758521954,2,AXIN1
AXL,1.1253035250674237,4,AXL
AZI2,2.314571589549561,3,AZI2
BAD,-0.3442416360589898,2,BAD
BAG1,1.3237242314379993,4,BAG1
BAG2,-0.5792918444152017,3,BAG2
BAK1,0.4890285540425065,3,BAK1
BAMBI,-0.698152912910801,3,BAMBI
BANP,-0.8521177899091101,4,BANP
BAX,0.4890285540425065,3,BAX
BCAR1,0.3650286422962389,2,BCAR1
BCAR3,1.1900762345922087,3,BCAR3
BCL2,-1.158122597652001,4,BCL2
BCL2L1,-0.3364058146133778,4,BCL2L1
BCL2L2,-0.6065004468781144,4,BCL2L2
BCL3,-0.9376766972391573,2,BCL3
BCOR,-0.9376766972391573,2,BCOR
BCR,-2.0244559952249714,3,BCR
BDKRB1,-0.8206839874563713,3,BDKRB1
BDNF,0.5704527574528938,4,BDNF
BECN1,1.2840053158489833,3,BECN1
BID,0.6065004468781144,4,BID
BIRC2,1.6259378817016847,3,BIRC2
BIRC3,1.6259378817016847,3,BIRC3
BIRC5,1.6259378817016847,3,BIRC5
BIRC6,0.3097833539882969,4,BIRC6
BIRC7,2.6399606788605143,5,BIRC7
BLVRA,1.8704769333853437,4,BLVRA
BMF,1.6533493398144827,5,BMF
BMP1,1.9363244061792124,5,BMP1
BMP10,-0.698152912910801,3,BMP10
BMP15,-0.6410070019312495,4,BMP15
BMP4,-0.6410070019312495,4,BMP4
BMP5,-0.6747251189701873,5,BMP5
BMP6,-0.698152912910801,3,BMP6
BMP8A,-0.698152912910801,3,BMP8A
BMP8B,-0.9553816405667271,5,BMP8B
BMPR1A,-0.6410070019312495,4,BMPR1A
BMPR1B,-0.6410070019312495,4,BMPR1B
BMPR2,-1.1715446822764468,5,BMPR2
BNIP3,-1.1860731774445041,4,BNIP3
BRAF,-0.420754692098092,2,BRAF
BRAP,0.3224645313879879,3,BRAP
BRCA1,0.420754692098092,2,BRCA1
BRMS1,0.9050159107389568,3,BRMS1
BTF3,-0.5792918444152017,3,BTF3
BTG2,-0.7547494646671072,3,BTG2
BTG3,-1.159225973405511,6,BTG3
BTK,1.52261256386147,4,BTK
CABIN1,2.0995389265735485,4,CABIN1
CALU,-0.7736748565853385,6,CALU
CAMK1,2.099821510126852,3,CAMK1
CAMK2D,2.4875222935077974,3,CAMK2D
CAMK4,1.07056793840329,3,CAMK4
CAMKK1,2.0211248627946095,2,CAMKK1
CAMKK2,2.0211248627946095,2,CAMKK2
CAPN1,0.420754692098092,2,CAPN1
CAPRIN2,-0.9035379112414333,4,CAPRIN2
CARD11,0.4565619359774424,5,CARD11
