source,target,sign
AANAT,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1,1
ABL1,AHSA1,1
ABL1,APBB1,1
ABL1,BCR,1
ABL1,BTK,-1
ABL1,CASP9,1
ABL1,CAV1,1
ABL1,CBL,1
ABL1,CD19,1
ABL1,CRKL,1
ABL1,CTNND1,1
ABL1,DDB2,-1
ABL1,DDX5,1
ABL1,DOK1,1
ABL1,EGFR,1
ABL1,ERCC6,1
ABL1,ESR1,1
ABL1,GRAP,1
ABL1,IRS1,1
ABL1,JAK2,1
ABL1,JUN,1
ABL1,MTOR,1
ABL1,MYOD1,-1
ABL1,PLCG1,-1
ABL1,PPARG,1
ABL1,PRKCD,1
ABL1,PRKDC,-1
ABL1,PXN,1
ABL1,RB1,-1
ABL1,RIN1,1
ABL1,SOS1,1
ABL1,STAT1,1
ABL1,STK3,1
ABL1,TP73,1
ABL1,UBE3A,-1
ABL1,VAV2,1
ABL1,parent_of_CBL1,1
ABL1,parent_of_MAPK11_____MAPK31,1
ABL2,RIN1,1
ACAA2,BNIP3,-1
ACAT1,parent_of_SMAD1-1,-1
ACE2,AGT,1
ACE2,APLN,1
ACP1,AKT1,-1
ACP1,AKT2,-1
ACP1,AKT3,-1
ACP1,CTNNB1,1
ACP1,EPHA2,1
ACP1,PDGFRB,-1
ACP1,PTK2,-1
ACP1,SRC,1
ACTR2,parent_of_SMAD21_____SMAD31,1
ACVR1,SMAD1,1
ACVR1,VPS39,1
ACVR1,parent_of_SMAD41,1
ACVR2A,ACVR1,1
ACVR2A,parent_of_SMAD21_____SMAD31,1
ACVR2B,ACVR1,1
ACVR2B,ACVRL1,1
ACVR2B,BMPR1A,1
ACVR2B,BMPR1B,1
ACVR2B,SMAD2,1
ACVR2B,SMAD3,1
ACVR2B,parent_of_SMAD21_____SMAD31,1
ACVRL1,SMAD1,1
ADA,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1_____GNB21,1
ADAM12,ITGB1,1
ADAM12,PIK3CA,1
ADAM12,SDC4,1
ADAM15,ITGA5,1
ADAM15,ITGB1,1
ADAM15,ITGB3,1
ADAM17,ERBB4,1
ADAM17,EREG,1
ADAM17,ITGA5,1
ADAM17,ITGB1,1
ADAM17,MUC1,-1
ADAM17,PTPRF,-1
ADAM17,TNF,1
ADAM17,parent_of_EGFR1_____ERBB21,1
ADAM17,parent_of_EGFR1_____ERBB41,1
ADAM2,ITGB1,1
ADAM23,ITGA5,1
ADAM9,FGFR2,-1
ADAM9,ITGB1,1
ADAM9,parent_of_CSK1_____PTK21_____SRC1,1
ADAMTS13,VWF,-1
ADM,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
ADRA1A,GNA11,1
ADRA1A,GNB2,1
ADRB2,GNAQ,1
ADRB2,GNAS,1
ADRB2,GNB2,1
ADRM1,UCHL5,1
AFAP1L2,PIK3CA,1
AGT,AGTR1,1
AGT,LRP2,1
