TR:TCGAMGAAMC01:CellLine,TR:TCGACH574801:CellLine,TR:TCGACH574101:CellLine,TR:TCGAV1A9O901:CellLine,TR:TCGAYLA9WL01:CellLine,TR:TCGAHC774401:CellLine,TR:TCGAKKA6E001:CellLine,TR:TCGAYLA8HK01:CellLine,TR:TCGAQUA6IL01:CellLine,TR:TCGAJ4A67L01:CellLine,TR:TCGAEJ549701:CellLine,TR:TCGACH576101:CellLine,DA:ALL,TR:CDC7,TR:CDON,TR:GADD45B,TR:parent_of_TRIM281,TR:RPS6KA2,TR:RYK,TR:WNT1,TR:WNT4,TR:HMGA2,TR:MAPKAPK3,TR:parent_of_ATM1,TR:PPARA,TR:PPARD,TR:ULK2,TR:HDAC10,TR:BIRC5,TR:HIPK1,TR:KCNIP3,TR:parent_of_CASP3-1_____CASP7-1_____CASP9-1,TR:PRKCA,TR:BIRC7,TR:EIF2AK3,TR:RIPK1,TR:SF1,TR:CSNK1E,TR:GOLGA7,DV:ABL1,DV:ATM,DV:AXIN1,DV:BAK1,DV:BCL2L2,DV:CDK5,DV:CREB1,DV:CREBBP,DV:DAXX,DV:DDX3X,DV:E2F1,DV:EIF4E,DV:ESCO1,DV:FAS,DV:FUS,DV:FZD8,DV:IRS1,DV:LRP6,DV:MAP3K4,DV:NR1H2,DV:parent_of_FUS1,DV:parent_of_HRAS1_____NRAS1,DV:PRKAB1,DV:PSIP1,DV:RNF111,DV:TRIM28,DV:BAX,DV:BID,DV:CASP3,DV:DIABLO,DV:EIF4G2,DV:HSPB2,DV:ILK,DV:parent_of_AKT11_____AKT21_____AKT31,DV:PPP1R1B
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,0,0,0,0,0,0,0,0,0,0,0,10,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4857761416219345,0.08944584837890988,1,0.6479002965661732,0.44561593548160233,0.21186375373583988,1,1,0.9926393066008601,0,0.4071993898235554,1,0,0.6371167293724509,0.6845809184523712,0.5970251895893443,0.6135957652317566,1,0.6390192602469826,0,0.6778472639660494,0,0.6884063803011462,0.5568962254801052,1,0.7546123148926218,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5580111516301711,0.795361395941594,0.06220742631609268,0.9838072223175507,0.11155128720298488,0.5085906566275157,0.957294577924611,0.6658373234088963,1,0.26413041399781784,0.494510245599053,0.8200223611396145,0.7058385947291617,0.6122896689642452,0.7487862733937769,0.6012286448001092,0.8362728578060592,0.4985509692999436,0.9324398220295649,0.5993474023934867,0.6518751822288531,0.14459613820181982,0.8305565676736115,0.24079960718066973,0.3980565800313561,1,0.7043979033510831,0.9743901464046476,0.5098875746433337,0.5949288322617035,0.4522592714143856,0.7750051317694558,0.7750051317694558,0.7750051317694558,0.8328650702092124
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,1,0,0,0,0,0,0,0,0,0,10,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.3732749223083886,0.28317734562065433,0.3707745143914324,0.9729967291952442,0,0.4810611020820465,0.5648335229395389,0.8368302022701994,0.4169250559424662,0.546099249529347,0.39631933100165356,0.6820479836518611,0.4590585695137175,0.3183060648497924,0.6120421535996216,0.40172116640909494,0.22763332124261668,0.1936249566711689,0.35051212835303536,0.690117520820279,0.6233126313109478,0.11324833945929556,0.3045864060585875,0.6742606573353044,0.6820479836518611,0.22787706589143733,1,0.7847912379446815,1,1,0,NA,0.35604440820987215,0.35604440820987215,0.04205013613815727
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.01378749130414149,1,NA,0.3959316740869349,0.5887687040003429,0.8585178273707865,0.5334269160628302,0.5676517846812652,0,0.5,NA,0.8117731956948733,0.0637365986760381,0,NA,NA,1,NA,0.5075658902014636,0.01378749130414149,NA,0,1,NA,NA,0.3627496618544913,0.3959316740869349,0.40707116953162575,0.4426769608888983,NA,NA,0.14505234162198283,0.07989069103397267,0.07330629075950452,0.25823012825811476
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0.4713977569309738,0.5789742668751418,0.4190190088380993,0.5678797959998996,0.3934335422730439,0.557127620476923,1,0.35262089465627544,NA,1,0.47233750100523997,0.46608346104682263,NA,0.5647796165454947,0,0.23062053568082594,0.6320484276764875,0.27827128422697045,0.6596427975104666,0.4713977569309738,0,0.3768001702153365,0.644818369377506,1,0.4190190088380993,0,0.5678797959998996,0.6018933774884389,0.18346018340615164,0,1,0.7287171111397347,1,1,0.6977843187750321
