TR:SU2CLCMDA1444:CellLine,TR:SU2CLCDFC1004:CellLine,TR:SU2CLCMGH1148:CellLine,TR:SU2CLCUCD1143:CellLine,TR:SU2CLCMGH1414:CellLine,TR:SU2CLCDFCDF0241:CellLine,TR:SU2CLCMDA1563:CellLine,TR:SU2CLCMGH1163:CellLine,TR:SU2CLCDFCDF0033:CellLine,TR:SU2CLCDFC1539:CellLine,TR:SU2CLCCLENIVO10:CellLine,TR:SU2CLCMGH1169:CellLine,DA:ALL,TR:ARAF,TR:AREL1,TR:AXIN1,TR:BAG2,TR:BIRC6,TR:DUSP6,TR:GIT1,TR:GOLGA7,TR:KPNB1,TR:LTA,TR:parent_of_CDK5RAP21,TR:parent_of_CREBBP-1,TR:parent_of_EIF4E1,TR:parent_of_MYC1,TR:parent_of_STK31_____STK41,TR:PLPPR1,TR:PRPF19,TR:RAPGEF3,TR:RASSF6,TR:RBL2,TR:TRAF7,TR:ASB9,TR:BIRC7,TR:CAMK4,TR:CDON,TR:GADD45B,TR:LTB,TR:parent_of_ABL11,TR:parent_of_BRCA1-1,TR:parent_of_MYC-1,TR:parent_of_RPA1-1_____RPA2-1,TR:PIAS3,TR:RASSF1,TR:TAGLN2,TR:TAOK1,TR:BMF,TR:GHR,TR:IL4,TR:IL6,TR:parent_of_CSF2RA1_____CSF3R1,TR:parent_of_GNAI11_____GNAI21_____GNAI31_____JAK31,TR:parent_of_IL6ST1_____LIFR1,TR:PYCARD,TR:SPAG9,TR:NME1,TR:SPRY4,TR:ERBIN,TR:RNF149,TR:SIRT1,TR:EIF4EBP2,TR:CLK4,TR:FAM83G,TR:SMURF1,DV:ABL1,DV:ACTB,DV:ARF1,DV:BAK1,DV:BAX,DV:BCAR1,DV:BCL2,DV:BCL2L1,DV:BCL2L2,DV:BRAF,DV:BRCA1,DV:BRIP1,DV:CBL,DV:CDK5RAP2,DV:CHUK,DV:CREB1,DV:CREBBP,DV:CSF3R,DV:DIABLO,DV:EIF4E,DV:EIF4EBP1,DV:EP300,DV:ESR1,DV:FOXO1,DV:HDAC3,DV:HDAC5,DV:HRAS,DV:HTRA2,DV:IL13RA1,DV:IL4R,DV:IL6ST,DV:JAK2,DV:JAK3,DV:LATS1,DV:LIFR,DV:LTBR,DV:LYN,DV:MAP2K2,DV:MAP2K3,DV:MAP3K1,DV:MAP3K3,DV:MAP3K7,DV:MAPK14,DV:MCL1,DV:MET,DV:MINK1,DV:MTOR,DV:MYC,DV:NCOR1,DV:NCOR2,DV:NRAS,DV:parent_of_BAX-1,DV:parent_of_BRAF1,DV:parent_of_HRAS1_____KRAS1_____NRAS1,DV:parent_of_HRAS1_____NRAS1,DV:parent_of_LATS11_____LATS21,DV:parent_of_MAPK11_____MAPK31,DV:parent_of_RAF11,DV:PMAIP1,DV:PTPRC,DV:RAF1,DV:RAPGEF1,DV:RPA1,DV:RUNX2,DV:SMAD3,DV:SMAD6,DV:SMARCA4,DV:STK3,DV:STK4,DV:SYN1,DV:TRIM28,DV:WDR62,DV:WWTR1,DV:CSNK2A1,DV:LATS2,DV:MAP3K4,DV:parent_of_ACTB1,DV:parent_of_BRCA11,DV:RPA2,DV:SMAD1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,0,0,0,0,0,0,0,0,0,0,0,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4129835169866265,0.5457349185297162,0,0,0,0.23316663972889423,1,1,1,1,0.5457349185297162,0.5795480520446483,0.4476894452766001,0.7495782473506988,0.5075119125964651,0.30139313157656766,0.28468374243255623,0.4251451189637101,0.8170633312645608,0.5779832397963015,0,0.46142318515605646,0.2711870298136056,0.3842427798300703,0.7210313616069634,0.6468789903891856,1,0,0.36798709643684696,0.4251451189637101,0.4251451189637101,0.4129835169866265,0.344386958920704,0.693412752176964,0.4251451189637101,0.5813352759433108,1,1,0.03282754740245408,1,0.7283258309220416,0.43775783838082677,0,1,0.7652583725856719,0,0,0.775482067292441,1,0.6493604747271539,1,0.9508153442632907,1,1,1,0.5949840424657821,1,1,0,0.4559420778861187,1,1,0.6281435244785102,0.2783631680741931,0.5601577563723904,1,0.5756262629116944,0,0.583733675091306,0.5613396001495454,0.48716294257887627,0.741685276599512,0.4385505234623576,NA,NA,NA,NA,NA,NA,NA
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,1,0,0,0,0,0,0,0,0,0,0,10,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8138628013543648,0.25188713092004694,0.37655518307697017,0.08268289793566218,0.33690605265676205,0.7474812096420622,0.7130550158454114,0.609683392366692,0.7130550158454114,0.9123463273653869,0.25188713092004694,0.3876546550067694,0.5471367069122959,1,0.7849106066407094,0.6217397941356412,0.6191194718131402,0.354541846871838,0.3226679098704775,0.7575819433222111,0.20595215583275803,1,NA,0.7417982734113414,0.3777530483478212,0.4360623006343023,NA,0.191110616518416,0.22952930187000392,0.2230147732767765,0.17754954797781175,0.2518154817610453,0.4220313755817245,0.3553904123900254,0.354541846871838,1,0.7333532254665971,0.8768460172755883,0.3760392781080396,1,0.8627243665810989,1,0.4181861428255813,0.7130550158454114,0.22190309022352356,0.3760392781080396,0.3980538289870113,0.3162066427563006,0.5083949828003266,0.16107694952580653,0.8081976061581623,0.7130550158454114,0.9235788861893217,0.9180144770984151,0.6929795783019108,0.48830356060895835,0.8768460172755883,0.674253922027731,0.2863474115547956,0.3292517833440839,0.6832388003465513,0.8100805551546941,0.2065618813538055,0.6217397941356412,0.7779735400453631,0.3354671889152343,0.06096853678116454,0.5961887302313718,0.8331058342662856,0.19390831090196484,0.8015734979753115,1,0.5435059092889358,0.3478057641209503,0.5099638934931485,0.8826556151410497,0.19390831090196484,0.19390831090196484,0.2237372352613178,0.5943026681333947
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,1,0,0,0,0,0,0,0,0,0,10,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.7608573975912056,0.2766846361282495,0.18537177151743736,NA,0.7142187429887606,0.16039939347273588,0.1958086666005609,0.2977758980145725,0.29034831158315344,1,0.2766846361282495,0.23308770691205768,0.20687557837622,0.8900802142010172,0.74604664338136,0.2927299528562183,0.43217917835709685,0.7950851487254336,1,0.8388784507951799,0.18368525625574592,0.33355520668055916,0.7328229330310423,0.74604664338136,0.5446324717483078,0.7355914274466114,0.7361933546864156,0.2631861624607851,0.7950851487254336,0.8996853502857627,0.7950851487254336,1,0.47112866530667913,NA,0.7950851487254336,0.7016378340227554,0.8095409028111237,0.7558115967229108,NA,0.7558115967229108,0.6001262845325266,0.7608573975912056,NA,0.43281002885389935,0.33516382644265386,NA,0.3264237854612158,NA,0.35698630886846866,0.2960230065126038,0.7361933546864156,0.2984840462101357,1,0.7768702137639611,0.839583430549766,0.3617608257205646,0.7558115967229108,1,0.6866049122669202,0.533422746029967,1,0.718431574098536,0.11809286029825296,0.5206707752862079,0.8537149597662259,0.2766846361282495,0.5,0.3248865953926187,NA,0.23308770691205768,0.764342204212462,0.7737973248467656,NA,0.07924605868098446,0.24484259968562075,0.605787270390137,0.23308770691205768,0.23308770691205768,0.25166329918300134,0.2970445936396494
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.5877482771589185,0.3875122512696367,0.6841210506850448,0.5237385332906062,0.5237385332906062,NA,0.9474835623577684,0.6641335369716913,0.4044678145512538,0.46770489800826076,0.3875122512696367,0.3460405961773409,0.5955753968438089,0.8051584623305523,0.6878352210831592,NA,0.689588432474582,NA,0.7082099251532638,NA,NA,0.6038512954668722,0.5234633684910622,NA,0.31159217750805424,0.46305403365670694,0.46623337724895586,0.5333469867111325,0.4312863131988152,NA,NA,0.46916257894409347,0.7415391683339667,0.3790764483934722,NA,0.73603475187801,0.42198969682688314,0.4974222855310271,1,0.4125953015136302,1,0.6137359259656479,0.6965678213235719,0.9474835623577684,0,0.7608482189463692,0.22091299116033908,NA,0.2360180840052645,0.4228313859082548,0.46623337724895586,NA,NA,0.3921361312667383,0.37590876166606124,NA,0.4974222855310271,0.3781376200370865,0,0.9518793141951364,0.4164122787965291,NA,0.3031360013622641,0.738211090795937,NA,NA,0.36892907972603556,0.3721277323921563,0.5782403533676104,0.3460405961773409,0.46630538491591617,0.6803896507152497,0.5317609987222816,0.5529034047309918,0.6363849999659191,1,0.3460405961773409,0.3460405961773409,0.3821304000965633,0.6185243406413572
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0.5988385402628538,NA,1,0.8259189146574546,0.8259189146574546,NA,0.2925146892243602,NA,0.1578232568215843,0,NA,0.4756559535297746,0.6005600216174752,0.20947513588187316,0.7903282338605995,NA,0.5988385402628538,NA,0.4682768723911015,NA,0.6460985770283816,0.5988385402628538,0.3334485196499902,0.7903282338605995,0,NA,0.07765826876948906,1,NA,NA,0.5288378875824624,0.5988385402628538,NA,0.7715027815344419,0.5288378875824624,0.7118917169704304,0.406213523868992,0,0.6875981001102313,0.21693422091416592,0.6837710753424493,0.42065278666769634,0.662970819046448,0.2925146892243602,NA,0.6875981001102313,0.6759034198023737,0.5875007149209819,0,0,0,0.2796084677378208,0,0,0,0.7696814834116033,0,0,0.8640456426027008,NA,0,0,0.3680819123057506,NA,NA,0.6071516263574499,0.25731402686206317,0.7696814834116033,0.865542516272942,0.4756559535297746,1,0.45877456711038495,0,0.46451700554308273,0.7715027815344419,0.4062761590979885,NA,NA,0.4279256610836803,NA
