source,target,sign
AAK1,parent_of_EGFR-1,1
AANAT,MTNR1A,1
AATK,CDK5R1,1
AATK,STK39,-1
ABL2,CEBPB,1
ABL2,CRK,-1
ABL2,PDGFRB,-1
ABL2,RIN1,1
ABL2,parent_of_ACTB1,1
ABL2,parent_of_BCL2L1-1,1
ABL2,parent_of_NFKB1-1,1
ACAA2,BNIP3,-1
ACAT1,parent_of_SMAD1-1,-1
ACE2,APLN,1
ACP1,CTNNB1,1
ACP1,PDGFRB,-1
ACP1,SRC,1
ACP1,ZAP70,1
ACTB,PLD1,-1
ACTB,parent_of_ACTB1,1
ACTN1,CAPN1,-1
ACTN1,PLD1,-1
ACVRL1,SMAD1,1
ADA,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1_____GNB21,1
ADAM12,ITGB1,1
ADAM12,PIK3CA,1
ADAM12,SDC4,1
ADAM12,parent_of_CSK1,1
ADAM23,ITGA5,1
ADAM23,ITGB3,1
ADAM9,FGFR2,-1
ADAM9,ITGB1,1
ADAM9,parent_of_CSK1,1
ADAM9,parent_of_CSK1_____PTK21_____SRC1,1
ADAM9,parent_of_FPR21,1
ADCY5,CAMP,1
ADRA1A,GNA11,1
ADRA1A,GNA13,1
ADRA1A,GNAL,1
ADRA1A,GNAS,1
ADRA1A,GNB2,1
ADRB2,GNAL,1
ADRB2,GNAS,1
ADRB2,GNB2,1
AFAP1L2,PIK3CA,1
AGTR1,GNA13,1
AGTR1,GNAI1,1
AGTR1,GNG12,1
AGTR1,parent_of_ADCY5-1,1
AHSA1,HSP90AA1,1
AHSA1,HSP90AB1,1
AKAP5,PRKACA,1
AKAP5,parent_of_BAD1_____DNM11_____FLNA-1_____KSR21_____NFATC11_____NFATC21,1
AKT1,AKT1S1,-1
AKT1,BAD,-1
AKT1,BAX,-1
AKT1,BRAF,-1
AKT1,CASP9,-1
AKT1,CDKN1B,-1
AKT1,CREB1,1
AKT1,CTNNB1,1
AKT1,DAB2IP,-1
AKT1,EP300,1
AKT1,ESR1,1
AKT1,EZH2,-1
AKT1,FOXO1,-1
AKT1,FOXO3,1
AKT1,GAB2,-1
AKT1,GATA2,-1
AKT1,HTRA2,-1
AKT1,IRAK1,-1
AKT1,IRS1,1
AKT1,ITGB1,1
AKT1,ITGB3,-1
AKT1,KHSRP,-1
AKT1,MAP2K4,-1
AKT1,NCOR1,-1
AKT1,NR3C1,-1
AKT1,NUAK1,1
AKT1,PRKACA,1
AKT1,PTEN,-1
AKT1,RARA,-1
AKT1,SH2B2,1
AKT1,SH3RF1,-1
AKT1,SKP2,1
AKT1,SMAD3,1
AKT1,THRA,1
AKT1,TP53BP1,-1
AKT1,TSC1,-1
AKT1,TSC2,-1
AKT1,TWIST1,1
AKT1,YWHAZ,1
AKT1,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,-1
AKT1,parent_of_CASP3-1_____CASP7-1_____CASP9-1,1
AKT1,parent_of_CXCR41,1
AKT1,parent_of_EIF2S21,1
AKT1,parent_of_EZR1,1
AKT1,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1,1
AKT1,parent_of_MAP2K41_____MAP2K71,1
AKT1,parent_of_MAPK11_____MAPK31,1
AKT1,parent_of_RAC11,1
AKT1,parent_of_TP53-1,1
AKT1,parent_of_TP531,1
AKT1S1,parent_of_MTOR-1,-1
AKT3,AKT1S1,-1
AKT3,BAD,-1
AKT3,BRAF,-1
AKT3,CASP9,-1
AKT3,CREB1,1
AKT3,FOXO3,-1
ALK,PIK3R3,1
ALK,PLCG1,1
ALK,PTPN11,1
ALK,STAT3,1
ANK3,CDH1,1
ANK3,GABARAP,1
ANXA1,FPR2,1
ANXA1,parent_of_GNAI11_____GNAI31,1
APAF1,CASP9,1
APEX1,EGR1,1
APEX1,FOS,1
APEX1,RELB,1
APEX1,STAT3,1
APEX1,TP53,1
APEX1,TXN,1
APEX1,parent_of_HIF1A1,1
APEX1,parent_of_PTH1R1,-1
APH1A,PSEN1,1
APH1A,PSENEN,1
APH1B,NCSTN,1
APH1B,PSENEN,1
APIP,APAF1,-1
APLN,parent_of_GNAI11_____GNAI31,1
APPL1,STK11,1
ARAF,MAP2K1,1
ARAF,MAP2K2,1
ARAF,MAPK1,1
ARAF,MAPK3,1
AREL1,DIABLO,-1
AREL1,HTRA2,-1
ARF1,GIT1,-1
ARF1,PLD1,1
ARF6,PLD1,1
ARHGAP1,RHOA,-1
ARHGAP1,ROCK2,1
ARHGAP32,ARHGAP1,-1
ARHGAP32,CRK,1
ARHGAP32,RAC1,-1
ARHGAP32,RHOA,1
