source,target,sign
AAK1,NUMB,1
AATK,CDK5R1,1
AATK,STK39,-1
ABL1,ABL2,1
ABL1,AHSA1,1
ABL1,APBB1,1
ABL1,ATR,1
ABL1,BCAR1,1
ABL1,BCR,1
ABL1,CASP9,1
ABL1,CAV1,1
ABL1,CBL,1
ABL1,CDK5,1
ABL1,CEBPB,1
ABL1,CRK,-1
ABL1,CRKL,1
ABL1,DDB2,-1
ABL1,DDX5,1
ABL1,DOK1,1
ABL1,EPHB2,1
ABL1,ERCC6,1
ABL1,ESR1,1
ABL1,GRAP,1
ABL1,GRB2,-1
ABL1,HIPK2,1
ABL1,HSPA1A,1
ABL1,IRS1,1
ABL1,JAK2,1
ABL1,MAP2K6,1
ABL1,MAP3K1,1
ABL1,MAP4K1,1
ABL1,MDM2,-1
ABL1,MET,1
ABL1,MTOR,1
ABL1,MUC1,1
ABL1,NCK1,1
ABL1,NEDD9,1
ABL1,PLCG1,-1
ABL1,PLK1,1
ABL1,PPARG,1
ABL1,PRKCD,1
ABL1,PRKD1,1
ABL1,PRKDC,-1
ABL1,PSTPIP1,1
ABL1,PTPN6,1
ABL1,PXN,1
ABL1,RACK1,1
ABL1,RAPGEF1,1
ABL1,RB1,-1
ABL1,SHC1,1
ABL1,SOS1,1
ABL1,STAT1,1
ABL1,STAT3,1
ABL1,STAT6,1
ABL1,TP53BP1,1
ABL1,TP63,1
ABL1,VAV1,1
ABL1,VAV2,1
ABL1,parent_of_ACTB1,1
ABL1,parent_of_CBL1,1
ABL1,parent_of_MAPK11_____MAPK31,1
ABL1,parent_of_RAC1-1_____RHOA-1,1
ABL2,CEBPB,1
ABL2,CRK,-1
ABL2,parent_of_ACTB1,1
ABL2,parent_of_NFKB1-1,1
ACTB,ABL1,-1
ACTB,parent_of_ACTB1,1
ACTN1,CAPN1,-1
ACTR2,parent_of_SMAD21_____SMAD31,1
ACVR2A,parent_of_SMAD21_____SMAD31,1
ACVR2B,SMAD2,1
ACVR2B,parent_of_SMAD21_____SMAD31,1
ADAM12,ITGB1,1
ADAM12,PIK3CA,1
ADAM12,SDC4,1
ADAM15,ITGB1,1
ADAM15,ITGB3,1
ADAM9,FGFR2,-1
ADAM9,ITGB1,1
ADAM9,parent_of_CSK1_____PTK21_____SRC1,1
ADAMTS13,VWF,-1
ADCY5,CAMP,1
ADRB2,GNAL,1
ADRM1,UCHL5,1
AFAP1L2,PIK3CA,1
AHSA1,HSP90AB1,1
AKAP5,PRKACA,1
AKAP5,parent_of_BAD1_____DNM11_____FLNA-1_____KSR21,1
AKAP8,PRKACA,1
AKT3,BAD,-1
AKT3,BRAF,-1
AKT3,CASP9,-1
AKT3,CDKN1A,-1
AKT3,CREB1,1
AKT3,FOXO3,-1
AKT3,GSK3B,-1
AKT3,MAP3K8,1
AKT3,parent_of_CDKN2A-1,1
ALDH2,HDAC3,1
ANK2,parent_of_TGFBR11,1
ANK3,parent_of_PRKCA1,1
ANKRD26,PIDD1,1
ANXA1,FPR2,1
APAF1,CASP9,1
APBB1,parent_of_HDAC11,1
APC2,AXIN1,1
APEX1,parent_of_JUN1,1
APEX1,parent_of_PTH1R1,-1
APH1A,PSEN1,1
APH1A,PSENEN,1
APH1B,NCSTN,1
APH1B,PSENEN,1
APIP,APAF1,-1
APOE,LRP5,1
APPL1,STK11,1
AR,FOXO3,-1
AR,NKX3-1,1
ARAF,MAP2K2,1
ARAF,MAPK1,1
ARAF,MAPK3,1
AREL1,DIABLO,-1
AREL1,HTRA2,-1
ARHGAP32,CRK,1
ARHGAP32,RAC1,-1
ARHGAP32,RHOA,1
ARHGEF2,RAC1,1
ARHGEF2,RHOA,1
ARHGEF6,CBL,-1
ARHGEF6,PAK1,1
ARHGEF6,RAC1,1
ARHGEF6,parent_of_ARHGAP11_____RHOA1,-1
ARRB1,SMO,1
ARRB1,parent_of_ADCY5-1,-1
ARRB2,ADRB2,-1
ARRB2,GNAI1,-1
ARRB2,GNAI2,-1
ARRB2,INPP5D,1
ARRB2,parent_of_ADCY5-1,-1
ARRB2,parent_of_GNAL1_____GNAS1,-1
ASB2,parent_of_MAP2K41_____MAP2K71,-1
ASB3,TNFRSF1B,-1
ASB9,parent_of_ACTB1,-1
ASH2L,GATA3,1
ASXL1,NCOA1,1
ASXL1,PPARG,-1
ASXL1,RXRA,1
ASXL2,PPARG,1
ASXL3,NR1H3,-1
ASXL3,THRB,-1
ATF1,SH3RF1,1
ATG3,MAP1LC3B,1
ATG3,parent_of_SQSTM11,1
ATG4A,parent_of_SQSTM11,1
ATG7,ATG3,1
ATG7,MAP1LC3B,1
ATG7,parent_of_SQSTM11,1
ATM,ABL1,1
ATM,ATF1,-1
ATM,BID,1
ATM,BRCA1,1
ATM,CHEK2,1
ATM,CREB1,-1
ATM,DYRK2,1
ATM,E2F1,1
ATM,EP300,1
ATM,FBXW7,1
ATM,HMGA2,1
ATM,IKBKG,1
ATM,KHSRP,1
ATM,L3MBTL2,1
ATM,MDC1,1
ATM,MDM2,-1
ATM,PIDD1,1
ATM,PLK1,-1
ATM,PPP1R2,-1
