source,score,level,source_original
AAK1,0.40834147859843273,4,AAK1
AANAT,0.8456539003440059,3,AANAT
AATK,0.8470594706540657,4,AATK
ABL1,1.3467165291761902,2,ABL1
ABL2,-1.1152040341216167,3,ABL2
ACAT1,0.47475261554383424,5,ACAT1
ACTB,-1.1152040341216167,3,ACTB
ACTN1,0.6891255023194282,3,ACTN1
ACTR2,0.5147093438736452,4,ACTR2
ACVR1,0.5232266349615319,4,ACVR1
ACVR2A,0.5147093438736452,4,ACVR2A
ACVR2B,0.5731256972969021,3,ACVR2B
ACVRL1,0.5232266349615319,4,ACVRL1
ADA,-0.8231856856013802,5,ADA
ADAM10,-1.4390753218368582,3,ADAM10
ADAM12,-0.6891255023194282,3,ADAM12
ADAM15,-0.6891255023194282,3,ADAM15
ADAM17,-1.2747643468400747,3,ADAM17
ADAM23,-2.3452481557204266,5,ADAM23
ADAM9,-0.6891255023194282,3,ADAM9
ADAMTS13,0.8541019455999772,4,ADAMTS13
ADCY5,-0.6891255023194282,3,ADCY5
ADNP,0.8410603008693465,4,ADNP
ADRB2,0.3455983401574065,3,ADRB2
ADRM1,0.5147093438736452,4,ADRM1
AHSA1,1.2522767644939057,4,AHSA1
AIMP1,0.5147093438736452,4,AIMP1
AKAP5,-0.5425765435581921,2,AKAP5
AKAP8,-0.5425765435581921,2,AKAP8
AKT1,-0.7571158236910518,2,AKT1
AKT1S1,-0.7208130619333323,5,AKT1S1
AKT2,0.5425765435581921,2,AKT2
AKT3,0.5425765435581921,2,AKT3
ALDH2,-0.817444858346911,3,ALDH2
ALK,-0.6642625851781779,4,ALK
AMER1,-0.5425765435581921,2,AMER1
AMH,0.7037993329600957,5,AMH
AMHR2,0.7037993329600957,5,AMHR2
ANAPC1,-1.033976484208542,4,ANAPC1
ANGPT1,-0.5952918320114624,5,ANGPT1
ANK2,0.9439405062638371,5,ANK2
ANK3,0.7208602185660357,4,ANK3
ANKRD26,1.103214923973244,4,ANKRD26
ANXA1,-0.471677828836378,5,ANXA1
APBB1,-1.507145674819168,5,APBB1
APC2,2.010654127911628,4,APC2
APEX1,0.8844432364017986,3,APEX1
APH1A,-1.2695156714047517,5,APH1A
APH1B,-1.2695156714047517,5,APH1B
APLF,1.1882294355343117,4,APLF
AR,1.0659312646356258,2,AR
ARAF,1.5663768459652043,2,ARAF
AREL1,1.5478177212399487,4,AREL1
ARF1,-0.6808417112288936,4,ARF1
ARF6,-0.7416733209081317,5,ARF6
ARHGAP1,-0.4154718419397468,3,ARHGAP1
ARHGAP32,0.8561102139833706,3,ARHGAP32
ARHGEF2,0.7810874752317997,3,ARHGEF2
ARHGEF6,-1.0953842209464173,2,ARHGEF6
ARHGEF7,-0.3811637424963778,3,ARHGEF7
ARRB2,-0.9374558139707985,4,ARRB2
ASAP2,0.6212192140274612,5,ASAP2
ASB2,-1.6164046240954177,4,ASB2
ASB3,-2.789792597789631,5,ASB3
ASB9,1.2132825222022883,5,ASB9
ASH2L,-0.8532343445144721,5,ASH2L
ASXL1,2.3684674501954386,0,ASXL1
ATAD2,0.8456539003440059,3,ATAD2
ATAD5,2.2531114751026764,5,ATAD5
ATE1,1.3172109998672086,4,ATE1
ATG13,0.5244080834993017,4,ATG13
ATG14,-1.5048221187776993,4,ATG14
ATG3,-0.74628145031631,5,ATG3
ATG4A,-1.1632710818193768,6,ATG4A
ATG4B,-0.74628145031631,5,ATG4B
ATG7,-1.8241871211730987,6,ATG7
ATM,-1.4270503614592138,1,ATM
ATRX,0.6175324237333246,1,ATRX
AURKA,-0.4750448966908586,3,AURKA
AURKB,-1.0913659688145843,2,AURKB
AXIN1,1.9361572431377299,3,AXIN1
AXIN2,-0.5425765435581921,2,AXIN2
AXL,-1.12053807720799,4,AXL
AZI2,0.6565934027859149,4,AZI2
BAD,0.4750448966908586,3,BAD
BAG1,1.056649174563611,5,BAG1
BAG2,0.8598164842848036,4,BAG2
BAG5,-1.1995780960010096,4,BAG5
BAK1,-1.7047371375174043,4,BAK1
BAMBI,1.298397328656432,4,BAMBI
BANP,0.817444858346911,3,BANP
BAX,-0.8189852699998302,3,BAX
BCAR1,1.1152040341216167,3,BCAR1
BCAR3,-1.0953842209464173,2,BCAR3
BCL2,0.9951392116985986,4,BCL2
BCL2L1,0.6346202507625517,4,BCL2L1
BCL2L2,0.9951392116985986,4,BCL2L2
BCL3,-0.817444858346911,3,BCL3
BCOR,-0.817444858346911,3,BCOR
BCORL1,-1.431600421570278,1,BCORL1
BDNF,-1.9917963858729972,4,BDNF
BECN1,-0.7744833800271101,4,BECN1
BID,-0.9951392116985986,4,BID
BIRC2,1.1030986731880401,4,BIRC2
BIRC5,0.2673965725998744,4,BIRC5
BIRC6,0.9283842588263482,4,BIRC6
BIRC7,0.6406504805794333,6,BIRC7
BLVRA,1.9198226837257004,4,BLVRA
BMF,-1.7104668314159788,5,BMF
BMP1,-1.48323297804439,4,BMP1
BMP4,0.9930958829730001,5,BMP4
BMP6,0.5147093438736452,4,BMP6
BMP8A,0.5147093438736452,4,BMP8A
BMP8B,0.7037993329600957,5,BMP8B
BMPR1A,0.5232266349615319,4,BMPR1A
BMPR1B,0.5232266349615319,4,BMPR1B
BMPR2,0.8627291530561867,5,BMPR2
BRAF,1.6901877572750805,3,BRAF
BRAP,-1.173306430613425,4,BRAP
BRCA1,-1.1152040341216167,3,BRCA1
BRD2,-0.673132302827409,4,BRD2
BRD4,2.4054752717455026,4,BRD4
BRDT,-0.9857027732096996,6,BRDT
BRIP1,-0.6421694746221841,4,BRIP1
BRMS1,-1.7662058116326422,4,BRMS1
BRSK1,1.1987322020447664,4,BRSK1
BTG2,1.2157996888731213,3,BTG2
BTK,-1.561262735585877,4,BTK
BTRC,0.5419605554399604,3,BTRC
C1QBP,-0.5572512125992017,6,C1QBP
C3,-1.5610537954734294,5,C3
CABIN1,0.8353214187725841,4,CABIN1
CABP1,-0.8738772184229122,3,CABP1
CALU,-0.8180529670313252,6,CALU
CAMK1,0.4735099260308869,3,CAMK1
CAMK2A,1.0953842209464173,2,CAMK2A
CAMK2G,1.0953842209464173,2,CAMK2G
CAMK4,0.6766681677062559,2,CAMK4
CAMKK1,0.4524562192909352,2,CAMKK1
CAMP,-0.5425765435581921,2,CAMP
CAND1,0.7701626289308497,5,CAND1
CAPN1,-0.5425765435581921,2,CAPN1
CAPN2,-0.5425765435581921,2,CAPN2
CAPN3,-0.5425765435581921,2,CAPN3
CAPNS1,-0.6891255023194282,3,CAPNS1
CARD11,1.6843327527303948,5,CARD11
CARD9,1.3467165291761902,2,CARD9
CARM1,0.6766681677062559,2,CARM1
CASP1,0.6694195426747236,1,CASP1
CASP10,-1.1167528874037054,4,CASP10
CASP12,-0.678276584249906,2,CASP12
CASP2,2.5725720841945146,4,CASP2
CASP3,0.8813102654845031,3,CASP3
CASP4,0.678276584249906,2,CASP4
CASP5,1.103214923973244,4,CASP5
CASP6,1.3467165291761902,2,CASP6
CASP7,-1.2014232463482217,3,CASP7
CAST,1.203057985274337,3,CAST
CAV1,-0.3779301685629732,3,CAV1
CBL,0.41648237799658167,3,CBL
CBLB,-0.6413156896789755,3,CBLB
CBLC,1.6700634025786258,4,CBLC
CBX4,1.0953842209464173,2,CBX4
CCAR2,1.4478628447061987,3,CCAR2
CCL2,0.6654640287324461,5,CCL2
CCND2,1.3274139315759015,4,CCND2
CCNF,-1.1859342147745013,4,CCNF
CCNH,0.5731256972969021,3,CCNH
CCP110,0.4552676197829074,4,CCP110
CD19,0.8456539003440059,3,CD19
CD22,-1.6819646066887728,5,CD22
CD247,0.8904755937725867,4,CD247
CD28,-1.2196729605331582,3,CD28
CD3E,-1.2196729605331582,3,CD3E
CD4,1.1717596379674693,4,CD4
CD40,2.975712117798203,4,CD40
CD40LG,1.8356946061058912,5,CD40LG
CDC14A,-0.9829128728779932,3,CDC14A
CDC25A,-1.0659312646356258,2,CDC25A
CDC42,-0.37203343552361345,2,CDC42
CDC7,0.5147093438736452,4,CDC7
CDC73,1.3536748807712427,4,CDC73
CDCA3,0.9174407033929372,3,CDCA3
CDH1,-0.8787139643550549,4,CDH1
CDK1,0.7896833574775788,1,CDK1
CDK2,1.5326525590122162,2,CDK2
CDK2AP1,-1.2943905800607796,3,CDK2AP1
CDK3,1.355071725584677,4,CDK3
