source,target,sign
ABL1,JUN,1
ABL1,MDM2,-1
ABL1,NEDD9,1
ABL1,PLK1,1
ABL1,PPARG,1
ABL1,PRKCD,1
ABL1,PSTPIP1,1
ABL1,RAPGEF1,1
ABL1,STAT6,1
ABL1,TP63,1
ABL1,UBE3A,-1
ABL1,parent_of_FPR21,1
ABL1,parent_of_TP53-1,-1
AMH,AMHR2,1
ANAPC1,parent_of_TP53-1,1
ANGPT1,TIE1,1
ANK2,parent_of_TGFBR11,1
ANXA1,FPR2,1
APH1A,PSEN1,1
APH1A,PSENEN,1
APH1B,NCSTN,1
APH1B,PSEN1,1
AREL1,DIABLO,-1
ARF1,PLD1,1
ARF6,PLD1,1
ASAP2,ARF1,-1
ASAP2,ARF6,1
ASB3,TNFRSF1B,-1
ASH2L,GATA3,1
ASXL1,NCOA1,1
ASXL1,PPARG,-1
ATE1,parent_of_EIF2AK3-1_____ERN1-1,-1
ATG3,GABARAP,1
ATG4B,GABARAP,1
ATG7,ATG3,1
ATXN2L,parent_of_JAK21_____TYK21,-1
BAD,BCL2,-1
BAD,BCL2L2,-1
BAG2,BCL2,1
BAK1,BAD,-1
BAK1,BAX,1
BAK1,DIABLO,1
BAX,BAD,-1
BAX,COX5B,1
BAX,DIABLO,1
BCL2,BAK1,-1
BCL2,BAX,-1
BCL2,parent_of_BAX-1,-1
BCL2,parent_of_BCL2L1-1,-1
BCL2L2,BAK1,-1
BCL2L2,BAX,-1
BCL2L2,parent_of_BCL2L1-1,-1
BCORL1,CTBP1,1
BIRC7,DIABLO,-1
BLVRA,JUN,1
BMF,BCL2,-1
BMF,BCL2L2,-1
BMF,MCL1,-1
BMP4,ACVR2A,1
BMP4,BMPR2,1
BMP6,ACVR2A,1
BMP6,AMHR2,1
BMP6,BMPR2,1
BMP8A,ACVR2A,1
BMP8A,BMPR2,1
BRAP,parent_of_RAF11,-1
BRDT,EIF4EBP1,1
BTG3,parent_of_NR1D11,-1
C1QBP,KRT1,1
CALU,GGCX,-1
CAND1,CUL1,-1
CASP5,IL18,1
CASP5,parent_of_IL1R11_____IL1RAP1,1
CCL2,MMP14,1
CD40LG,CD40,1
CDC14B,parent_of_CTNNB1-1,1
CDC14B,parent_of_TP531,-1
CDK11A,parent_of_EIF3F-1,1
CDK11A,parent_of_NOTCH11,-1
CDK19,parent_of_NOTCH11,1
CDK3,JUN,1
CEBPA,parent_of_JAK21,1
CENPK,parent_of_CTNNB1-1,1
CFH,C3,-1
CFH,CFI,1
CFHR1,C3,1
CFHR1,CFH,-1
CFI,C3,-1
CHM,parent_of_RAB5A1,-1
CISD2,BCL2,1
CLU,LRP2,1
CNTN1,NOTCH1,1
CNTN1,parent_of_ANK21_____ANK31,1
COL5A3,parent_of_NOTCH11,1
COPS5,JUN,1
COPS5,NCOA1,1
COPS5,parent_of_JUN1,1
CREB5,JUN,1
CREM,KCNIP3,-1
CRTC3,BCL3,1
CSDE1,parent_of_JUN1,-1
CSF1,parent_of_JAK21,1
CSMD1,C3,-1
CSMD1,SMAD3,1
CTBP1,ZEB2,1
CTBP1,parent_of_RBPJ1,1
CYTH2,ARF1,1
CYTH2,ARF6,1
DCAF1,NF2,-1
DCC,MYO10,1
DDIT3,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,1
DDX1,DDX21,1
DDX21,JUN,1
DLGAP1,parent_of_ACTN11,1
DLX5,MSX2,-1
DPF2,RUNX1,-1
DTL,parent_of_TP531,-1
DYNLL2,BMF,-1
DYNLL2,parent_of_BECN11,-1
DYRK2,JUN,-1
DYRK3,AKT1S1,-1
EGLN3,IKBKG,-1
EGLN3,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,1
EGLN3,parent_of_STAT31,1
EIF2A,parent_of_FUS1,1
EIF2AK3,EIF2A,-1
EIF2AK3,parent_of_FUS1,1
EIF2AK4,EIF2A,-1
EIF3J,EIF4G2,1
EIF4E,SMAD3,1
EIF4EBP1,EIF4E,-1
EIF4G2,BCL2,1
ELOC,parent_of_RBPJ1,-1
EP300,FLI1,1
EP300,GATA3,1
EP300,MYB,1
EP300,RECQL4,-1
EP300,SMAD3,1
EP300,STAT6,1
EP300,ZBTB16,1
EP300,parent_of_JUN1,1
EPB41,NUMA1,1
EPHB3,parent_of_HRAS-1,1
EPX,RNASE2,1
ETS1,GFI1,-1
F10,F2,1
F11,parent_of_MET1,1
F12,F11,1
F2,F7,1
F7,F10,1
FANCM,BHLHE40,1
FANCM,parent_of_TP531,1
FASLG,FAS,1
FASLG,TNFRSF10B,1
FBXO11,DTL,-1
FBXO8,ARF6,-1
FGF9,FGFR3,1
FGF9,parent_of_FGFR21,1
FHL5,CREM,1
FLCN,parent_of_RPTOR1,1
FLI1,BCL2,1
FLI1,GATA1,1
FPR2,parent_of_ADCY5-1,1
FST,GDF11,-1
FST,INHBA,-1
FST,MSTN,-1
GADD45GIP1,NR4A1,-1
GATA1,RUNX1,1
GATA3,CEBPA,-1
GATA3,parent_of_FGFR21,1
GDF1,ACTR2,1
GDF1,ACVR2A,1
GDF1,BMPR2,1
GDF10,BMPR2,1
GDF11,ACTR2,1
GDF11,ACVR2A,1
GDF5,ACVR2A,1
GDF5,BMPR2,1
GDF9,ACVR2A,1
