source,score,level,source_original
AAK1,1.1960621458150547,2,AAK1
AANAT,-0.7294902016813983,3,AANAT
ABL1,4.438634697405627,2,ABL1
ABL2,0.36331872252513525,3,ABL2
ACAA2,0.5840562296691312,5,ACAA2
ACAT1,-0.5099968832696786,4,ACAT1
ACE2,0.5036913258204013,5,ACE2
ACP1,0.7733434347702116,2,ACP1
ACTB,-4.002718026904323,3,ACTB
ACTN1,0.2550071052593777,3,ACTN1
ACTR2,-0.4598113923110466,2,ACTR2
ACVR1,-0.38951611401962705,3,ACVR1
ACVR2A,-0.4598113923110466,2,ACVR2A
ACVR2B,-0.607685449006675,1,ACVR2B
ACVRL1,-0.5995980079391615,3,ACVRL1
ADAM12,-0.39769312941551554,3,ADAM12
ADAM15,-0.9968192473112879,3,ADAM15
ADAM17,-0.42373996870140085,2,ADAM17
ADAM23,1.410814300414329,4,ADAM23
ADAM9,-0.9968192473112879,3,ADAM9
ADAMTS13,0.8428064828145599,4,ADAMTS13
ADCK5,-0.7396421413759142,1,ADCK5
ADCY5,-0.9968192473112879,3,ADCY5
AFAP1L2,0.7574270675906438,3,AFAP1L2
AGT,0.5799785354484202,4,AGT
AGTR1,0.7814616787872797,3,AGTR1
AHSA1,-0.5887776486262419,3,AHSA1
AIMP1,-0.38262735632341166,2,AIMP1
AKAP5,-1.0712930917980548,2,AKAP5
AKAP8,-1.0712930917980548,2,AKAP8
AKT1,-0.8688015948049752,1,AKT1
AKT1S1,0.5435120906009825,4,AKT1S1
AKT2,-0.3887778521259256,2,AKT2
ALK,-0.3487231658478888,2,ALK
AMER1,-0.5001019246859426,2,AMER1
AMH,-0.661945521969062,4,AMH
AMHR2,-0.661945521969062,4,AMHR2
AMOT,-1.6854917898521302,1,AMOT
ANAPC1,0.44853713604128437,3,ANAPC1
ANGPT1,-0.6161124843313879,4,ANGPT1
ANKRD26,-0.8664432634949338,4,ANKRD26
ANKRD6,-0.7632598636211797,2,ANKRD6
ANXA1,0.2924436273523002,5,ANXA1
APAF1,-1.1010903100774097,4,APAF1
APBB1,-0.6249920300802065,3,APBB1
APC2,-0.4598113923110466,2,APC2
APEX1,-1.4701674444004234,3,APEX1
APIP,1.1192757476344104,5,APIP
APPL1,0.5651371447018556,3,APPL1
AR,-0.4598113923110466,2,AR
ARAF,-1.102320781144974,2,ARAF
AREL1,-0.8704316679317394,4,AREL1
ARF6,0.5385715880216427,5,ARF6
ARHGAP1,0.5258354873468386,3,ARHGAP1
ARHGAP32,1.163296996026341,3,ARHGAP32
ARHGEF2,-1.4874108650047495,3,ARHGEF2
ARHGEF6,-1.1741858849449096,3,ARHGEF6
ARHGEF7,-0.7020151118649591,3,ARHGEF7
ARRB1,-0.4598113923110466,2,ARRB1
ARRB2,-1.455774163838439,4,ARRB2
ASB3,-0.7271623873828132,4,ASB3
ASB9,3.390726815020853,5,ASB9
ASXL1,0.7027447979994224,3,ASXL1
ASXL2,0.5511628122951134,3,ASXL2
ASXL3,-1.232499547760145,3,ASXL3
ATAD5,0.47489939981493606,3,ATAD5
ATE1,-0.62009795883082,4,ATE1
ATF2,-1.1799490800868575,3,ATF2
ATG101,-1.3887422902708055,5,ATG101
ATG13,-1.3790549556121674,4,ATG13
ATG14,-0.7294902016813983,3,ATG14
ATG3,0.3819828667855667,4,ATG3
ATG4A,1.0045816803089715,6,ATG4A
ATG9A,0.6419464649482971,5,ATG9A
ATM,-0.5548398084311774,1,ATM
ATP6AP1,-1.1414109151377703,4,ATP6AP1
ATR,-0.6455930416000932,2,ATR
ATXN2L,-3.065162382816652,3,ATXN2L
AURKA,-1.77284346743022,2,AURKA
AURKB,-0.3965476761057089,2,AURKB
AUTS2,-0.9933042991943775,4,AUTS2
AXIN1,-0.607685449006675,1,AXIN1
AXL,2.0737060916262737,3,AXL
AZI2,-0.7294902016813983,3,AZI2
BAD,-1.628290552007836,3,BAD
BAG1,-0.7257869369561923,4,BAG1
BAG2,0.8522498328513369,4,BAG2
BAK1,1.5907013617340042,4,BAK1
BAMBI,-0.4598113923110466,2,BAMBI
BAX,1.5907013617340042,4,BAX
BCAR1,0.607685449006675,1,BCAR1
BCL2,0.6161124843313879,4,BCL2
BCL2L1,1.215496180802281,4,BCL2L1
BCL2L2,-2.103026578145111,5,BCL2L2
BCL3,-0.6567673021742688,2,BCL3
BCL6,1.58875908838825,3,BCL6
BCOR,-0.6567673021742688,2,BCOR
BCR,1.1741858849449096,3,BCR
BECN1,-0.7294902016813983,3,BECN1
BIRC2,0.46888445734834516,3,BIRC2
BIRC3,0.46888445734834516,3,BIRC3
BIRC5,0.46888445734834516,3,BIRC5
BIRC6,1.0443757774385722,4,BIRC6
BIRC7,0.828256145911636,5,BIRC7
BLVRA,-0.7421378988740533,3,BLVRA
BMF,-1.2712842345049777,5,BMF
BMP1,-1.4648973616103493,4,BMP1
BMP4,-0.44853713604128437,3,BMP4
BMP5,-0.6074268257530434,4,BMP5
BMP8B,-0.661945521969062,4,BMP8B
BMPR1A,-0.7192443531048238,3,BMPR1A
BMPR1B,-0.7192443531048238,3,BMPR1B
BMPR2,-0.8922192062315824,4,BMPR2
BNIP3,-0.5474969000613029,4,BNIP3
BRAF,-1.09716956513663,3,BRAF
BRCA1,-3.5242800814683433,3,BRCA1
BRD2,-1.2103680609954468,4,BRD2
BRD4,0.5716360444336549,2,BRD4
BRIP1,-3.1050824085834625,4,BRIP1
BRMS1,0.4598113923110466,2,BRMS1
BRSK2,1.1960621458150547,2,BRSK2
BTF3,1.9529152125626081,4,BTF3
BTG3,0.7874679665554103,6,BTG3
BTK,2.517892538174787,2,BTK
BTRC,1.014453539633444,1,BTRC
CABIN1,1.1065420764454965,3,CABIN1
CABP1,-0.5257756842519006,3,CABP1
CAMK1,-1.166769985057978,2,CAMK1
CAMK2A,0.6284305642143013,2,CAMK2A
CAMK2B,0.5182749701320829,2,CAMK2B
CAMK4,1.5588322469623763,1,CAMK4
