source,score,level,source_original
AAK1,1.7499716637992406,2,AAK1
AANAT,-0.8691078082695007,3,AANAT
ABL1,-0.31055414253250413,1,ABL1
ABL2,1.28081709574344,3,ABL2
ACE2,1.3501314199860057,5,ACE2
ACP1,-2.110597102771631,2,ACP1
ADAM10,-0.8229581213930205,1,ADAM10
ADAM15,-1.3863719527073242,3,ADAM15
ADAM17,-0.8229581213930205,1,ADAM17
ADAM23,-0.8757088253697454,3,ADAM23
ADAM9,-1.5050015714281078,3,ADAM9
ADAMTS13,1.3985257335008465,4,ADAMTS13
ADCK5,-0.6869995421167642,2,ADCK5
ADNP,-1.1985863304615305,2,ADNP
ADRA1A,1.2910033873506124,3,ADRA1A
ADRB2,1.2910033873506124,3,ADRB2
AGT,1.5907141362642405,4,AGT
AGTR1,0.707674114848235,3,AGTR1
AHSA1,0.7788151552738477,3,AHSA1
AKT1,0.8485695440482057,1,AKT1
AKT1S1,0.876319949871348,4,AKT1S1
AKT2,-1.3192349914417034,2,AKT2
AKT3,1.214161922236832,2,AKT3
ALDH2,-1.2652132410372599,3,ALDH2
ALK,-0.6426915741117387,2,ALK
ANAPC1,1.1985863304615305,2,ANAPC1
ANGPT1,1.1768744220276794,4,ANGPT1
ANK3,0.7303622801168935,3,ANK3
ANKRD6,1.3365445174869646,2,ANKRD6
APC2,-1.1985863304615305,2,APC2
APEX1,-0.2582506695357938,1,APEX1
APH1A,-1.1985863304615305,2,APH1A
APH1B,-1.1985863304615305,2,APH1B
APOE,1.2910033873506124,3,APOE
AR,-1.6162691242158471,2,AR
ARAF,0.5189538385052943,2,ARAF
AREL1,-0.6545217472389419,4,AREL1
ARF1,-2.2973134218099656,3,ARF1
ARF6,0.6392982939794238,5,ARF6
ARHGAP1,-0.4491065232050124,3,ARHGAP1
ARHGEF2,0.691156026518972,3,ARHGEF2
ARHGEF6,0.5675342595356511,2,ARHGEF6
ARHGEF7,2.3287344205220526,3,ARHGEF7
ARRB2,-1.1852671387963685,4,ARRB2
ASAP2,2.1037432681792683,4,ASAP2
ASB2,-1.241886048316804,4,ASB2
ASCL1,-2.1221545367919976,0,ASCL1
ASH2L,-0.8550892839683033,1,ASH2L
ASXL3,0.516594256740038,2,ASXL3
ATAD2,-0.8674861960240856,2,ATAD2
ATG14,1.8469631240603424,3,ATG14
ATG3,-1.2091277032573515,3,ATG3
ATG4B,-1.2091277032573515,3,ATG4B
ATG7,-1.1360273701505437,4,ATG7
ATG9A,-0.5965301229871709,5,ATG9A
ATP6AP1,1.498520194296797,4,ATP6AP1
AURKA,0.4605840019468756,2,AURKA
AURKB,0.9747541767966902,2,AURKB
AUTS2,0.8475446176023224,4,AUTS2
AXIN1,-1.9563810365395857,2,AXIN1
AXIN2,-1.2149921965478405,2,AXIN2
AXL,-0.297701755243199,3,AXL
BAG1,1.0296884250031346,4,BAG1
BAG2,2.235208310574218,2,BAG2
BAMBI,0.7410980051831174,2,BAMBI
BANP,-0.612185262833338,3,BANP
BCAP31,1.0736961196470205,3,BCAP31
BCAR1,4.578764885816131,2,BCAR1
BCAR3,0.5675342595356511,2,BCAR3
BCL2,-0.5126796412241313,4,BCL2
BCL3,-0.29118660275793956,2,BCL3
BCL6,-2.1405966768638245,0,BCL6
BCORL1,-1.6196739697355793,3,BCORL1
BCR,-0.6306959222304046,3,BCR
BDKRB1,1.2910033873506124,3,BDKRB1
BECN1,1.3486071102226247,3,BECN1
BIRC2,1.781602658563706,3,BIRC2
BIRC3,0.6562083789481359,3,BIRC3
BIRC5,1.6824199627689846,3,BIRC5
BIRC6,1.0736961196470205,3,BIRC6
BIRC7,2.4568367285253068,5,BIRC7
BMF,0.7804127466282598,5,BMF
BMP1,-1.0736961196470205,3,BMP1
BNIP3,-0.40117953907331927,4,BNIP3
BRAF,2.235208310574218,2,BRAF
BRCA1,0.2868274945977942,2,BRCA1
BRD4,-0.4250363782384268,2,BRD4
BRMS1,0.8905613189531253,2,BRMS1
