source,score,level,source_original
AATK,0.7574725375945985,3,AATK
ABL1,1.1674831926349165,2,ABL1
ABL2,1.4293733180858215,3,ABL2
ACAT1,-0.7419980348134235,4,ACAT1
ACE2,1.0518470350329514,5,ACE2
ACP1,-1.3341375373121203,2,ACP1
ACTB,-1.2714228365448748,3,ACTB
ACTN1,-1.4275614994725585,4,ACTN1
ACTR2,-1.6113799129220985,3,ACTR2
ACVR1,-0.2897399823473143,3,ACVR1
ACVR2A,-1.6113799129220985,3,ACVR2A
ACVR2B,-1.7750831940861962,2,ACVR2B
ACVRL1,-0.7574725375945985,3,ACVRL1
ADAM12,-0.7463954595029276,3,ADAM12
ADAM15,-0.7463954595029276,3,ADAM15
ADAM9,-0.7463954595029276,3,ADAM9
ADAMTS13,0.6924595430602694,4,ADAMTS13
ADCK5,-0.9917516012616365,1,ADCK5
ADCY5,-0.7463954595029276,3,ADCY5
ADNP,-0.96591962916904,2,ADNP
ADRB2,0.5844238900260887,4,ADRB2
ADRM1,-1.6113799129220985,3,ADRM1
AGT,0.9772536383543202,4,AGT
AGTR1,1.0038047521494506,3,AGTR1
AHSA1,1.0307480693646363,3,AHSA1
AIMP1,-1.6113799129220985,3,AIMP1
AKAP5,-0.8950175688277527,2,AKAP5
AKAP8,-0.8950175688277527,2,AKAP8
AKT1,0.7581486235241778,1,AKT1
AKT1S1,-0.706084205098098,3,AKT1S1
AKT2,-0.32279451216419175,2,AKT2
AKT3,1.3279218078368458,2,AKT3
ALDH2,1.6750386637741976,4,ALDH2
ALK,0.7357522555048184,4,ALK
AMER1,0.96591962916904,2,AMER1
AMH,-0.8929179439282772,4,AMH
AMHR2,-0.8929179439282772,4,AMHR2
AMOT,1.8459742355630935,3,AMOT
ANAPC1,0.96591962916904,2,ANAPC1
ANGPT1,1.002998693342207,4,ANGPT1
ANK2,-1.5195137709449886,4,ANK2
ANK3,1.0733773534280397,3,ANK3
ANKRD26,1.002998693342207,4,ANKRD26
ANXA1,0.5689293988240361,5,ANXA1
APBB1,-1.4364744128042641,5,APBB1
APC2,-0.96591962916904,2,APC2
APEX1,1.4293733180858215,3,APEX1
APH1A,1.0733773534280397,3,APH1A
APH1B,1.0733773534280397,3,APH1B
APLF,-0.8158239079530124,3,APLF
APLN,0.5689293988240361,5,APLN
APOE,-1.6004498974201111,4,APOE
APPL1,0.995058304699272,4,APPL1
AR,0.88890942396282,3,AR
ARAF,0.6461562642661919,2,ARAF
AREL1,0.7053782701144025,4,AREL1
ARF1,-0.7443439789457151,4,ARF1
ARHGAP1,0.7463954595029276,3,ARHGAP1
ARHGEF2,-0.4241361385272927,3,ARHGEF2
ARHGEF6,0.32710672749713715,3,ARHGEF6
ARRB1,-1.6080508660411685,3,ARRB1
ARRB2,-0.9751525839456814,4,ARRB2
ASAP2,0.7915130921828154,5,ASAP2
ASB2,1.744724759477223,4,ASB2
ASB9,1.27401034367927,5,ASB9
ASCL1,-2.4822820506833523,0,ASCL1
ASH2L,-1.345194933373766,4,ASH2L
ASXL1,-0.876062003346093,2,ASXL1
ASXL2,0.876062003346093,2,ASXL2
ASXL3,-0.876062003346093,2,ASXL3
ATAD5,-0.7574725375945985,3,ATAD5
ATF1,-1.7292862545238972,4,ATF1
ATF2,1.1392597352626121,3,ATF2
ATG101,1.4891460601778104,5,ATG101
ATG13,1.3842742009782798,4,ATG13
ATG14,1.0307480693646363,3,ATG14
ATG9A,1.2987106783578413,5,ATG9A
ATM,-0.9723461167816144,1,ATM
ATP6AP1,0.8148151603298116,4,ATP6AP1
AURKA,-1.4293733180858215,3,AURKA
AURKB,-0.874614993942805,2,AURKB
AXIN1,-1.3878100286024595,2,AXIN1
AXIN2,0.8903892164743231,3,AXIN2
AZI2,1.0307480693646363,3,AZI2
BAD,1.4293733180858215,3,BAD
BAG1,1.3725724261423655,4,BAG1
BAG2,1.7354218644011883,4,BAG2
BAK1,-1.4773345835176834,4,BAK1
BAMBI,-1.6113799129220985,3,BAMBI
BANP,-1.8240038286480553,4,BANP
BAP1,-0.7278393840486819,3,BAP1
BAX,-1.4773345835176834,4,BAX
BCAP31,-0.9278768815970957,4,BCAP31
BCAR1,0.96591962916904,2,BCAR1
BCL2,-1.002998693342207,4,BCL2
BCL2L1,-0.587875338215475,4,BCL2L1
BCL2L2,2.2393108777686286,5,BCL2L2
BCL6,-1.2073668392363854,3,BCL6
BCORL1,1.241845177004203,2,BCORL1
BECN1,1.0307480693646363,3,BECN1
BID,-1.5484119617236785,5,BID
BIRC2,0.34762859304720567,3,BIRC2
BIRC3,0.34762859304720567,3,BIRC3
BIRC5,0.34762859304720567,3,BIRC5
BIRC6,-0.26936805723006124,4,BIRC6
BIRC7,0.7478827767135471,5,BIRC7
BLVRA,0.8625702176033149,2,BLVRA
BMF,1.5993308186170452,5,BMF
BMP1,-1.2019613146071924,4,BMP1
BMP4,-1.900311590268121,4,BMP4
BMP5,-1.0050634794551063,4,BMP5
BMP6,-1.6113799129220985,3,BMP6
BMP8A,-1.6113799129220985,3,BMP8A
BMP8B,-0.8929179439282772,4,BMP8B
BMPR1A,-1.0737285488155288,3,BMPR1A
BMPR1B,-1.0737285488155288,3,BMPR1B
BMPR2,-1.3115003867693864,4,BMPR2
BRAF,1.2408820932182747,3,BRAF
BRAP,-0.5003141928534354,4,BRAP
BRCA1,-1.2714228365448748,3,BRCA1
BRD2,0.7503956412701969,1,BRD2
BRD4,-0.9063320179803875,2,BRD4
BRMS1,0.9063320179803875,2,BRMS1
BRSK1,-2.5149561153839537,5,BRSK1
BTF3,0.5955511344883189,4,BTF3
BTG2,-0.3939232040563919,3,BTG2
BTK,0.8475459979215771,4,BTK
BTRC,0.51822861815628,2,BTRC
C1QBP,1.0437380493429826,4,C1QBP
CABIN1,1.4201768788827427,3,CABIN1
CALU,-1.5591236239689605,6,CALU
CAMK1,1.3279218078368458,2,CAMK1
CAMK2B,1.6247789257371268,2,CAMK2B
CAMK2D,1.3279218078368458,2,CAMK2D
CAMK2G,1.3279218078368458,2,CAMK2G
CAMK4,-0.31108048288001894,2,CAMK4
CAMKK1,0.9224811090213113,2,CAMKK1
CAMKK2,0.9224811090213113,2,CAMKK2
CAMP,-0.8950175688277527,2,CAMP
CAND1,-1.0733773534280397,3,CAND1
CAPN1,1.4745772628353782,3,CAPN1
CAPN2,1.3486008696650897,3,CAPN2
CAPN3,1.3486008696650897,3,CAPN3
CAPNS1,1.3069543452504209,4,CAPNS1
CAPRIN2,-1.847907079220399,4,CAPRIN2
CARD11,1.212061074291411,5,CARD11
CARD9,-0.9063320179803875,2,CARD9
CARM1,-1.0025058337976624,1,CARM1
CASP1,1.0733773534280397,3,CASP1
CASP10,-0.34762859304720567,3,CASP10
CASP12,-0.38221480456828194,4,CASP12
CASP2,0.9481622527002802,4,CASP2
CASP3,-0.4872485280154963,2,CASP3
CASP4,1.0437380493429826,4,CASP4
CASP5,-0.7030326142030784,4,CASP5
CASP6,0.8087488449236678,2,CASP6
CASP7,0.5588785374850582,3,CASP7
CASP8,0.9521216397617278,3,CASP8
CASP8AP2,0.9278768815970957,4,CASP8AP2
CAST,-2.342936700030343,4,CAST
CAV1,1.0522991508004325,3,CAV1
CBX4,-1.3445946665409179,3,CBX4
CCAR2,-1.3934758498212687,3,CCAR2
CCL2,-1.0047278814500702,4,CCL2
CCL7,-0.5636200053710981,5,CCL7
CCND2,1.18141445366859,2,CCND2
CCNF,-0.42853840233881785,4,CCNF
CCNH,0.5690247087409144,3,CCNH
CCNY,-1.9783990098732092,5,CCNY
CCP110,0.9719803232645828,3,CCP110
CD19,0.8890988938391684,3,CD19
CD247,-0.7574725375945985,3,CD247
CD28,0.6170952201229155,4,CD28
CD4,-0.7574725375945985,3,CD4
CD40,0.8030069599162362,4,CD40
CD40LG,-1.002998693342207,4,CD40LG
CDC14A,-0.5450345458468381,3,CDC14A
CDC14B,-0.7891203751972525,3,CDC14B
CDC25A,0.25537643798615084,2,CDC25A
CDC42,-0.8957671353266402,3,CDC42
CDC73,-0.96591962916904,2,CDC73
CDCA3,-0.6538936619107447,3,CDCA3
CDCA5,0.758687672475447,5,CDCA5
CDH1,0.96591962916904,2,CDH1
CDH4,-0.96591962916904,2,CDH4
CDK1,-0.6498901623876647,1,CDK1
CDK10,0.9604779394191665,4,CDK10
CDK11A,0.6924595430602694,4,CDK11A
CDK14,-1.847907079220399,4,CDK14
CDK19,-0.6924595430602694,4,CDK19
CDK2,1.344330060909768,2,CDK2
CDK2AP1,-1.4455442731960484,3,CDK2AP1
CDK4,1.0025058337976624,1,CDK4
CDK5,1.0025058337976624,1,CDK5
CDK5R1,-0.8632641945150551,4,CDK5R1
CDK5RAP2,0.552236897171033,4,CDK5RAP2
CDK5RAP3,-0.537816627796206,2,CDK5RAP3
CDK6,0.96591962916904,2,CDK6
CDK7,0.45105563152517225,2,CDK7
CDK8,0.96591962916904,2,CDK8
CDK9,0.96591962916904,2,CDK9
CDKN1A,-0.45105563152517225,2,CDKN1A
CDKN1B,-1.2851264495885857,3,CDKN1B
CDKN2A,-1.18141445366859,2,CDKN2A
CDKN2B,-1.18141445366859,2,CDKN2B
CDKN2C,-1.18141445366859,2,CDKN2C
CDON,-0.9063320179803875,2,CDON
CEBPA,-0.9743254761801202,4,CEBPA
CEBPB,1.3279218078368458,2,CEBPB
CENPK,1.0733773534280397,3,CENPK
CFLAR,-0.4354573289077731,4,CFLAR
CHEK1,0.4876907566263975,3,CHEK1
CHEK2,0.3108954572730181,3,CHEK2
CHFR,-1.418725394822364,1,CHFR
CHM,-1.1819947286399897,6,CHM
CHRM5,-0.8746206838361071,4,CHRM5
CHUK,-2.622436520361245,3,CHUK
CISD2,-1.0688687924337763,5,CISD2
CLK1,-1.4757605644433127,3,CLK1
CLK2,-0.3816380734548599,3,CLK2
CLK4,-1.2714228365448748,3,CLK4
CLN8,-1.0522991508004325,3,CLN8
CLU,-1.2059519005126653,4,CLU
CNOT9,1.6996575646900889,5,CNOT9
CNTN1,-0.7463954595029276,3,CNTN1
COL18A1,-0.7463954595029276,3,COL18A1
COL1A1,-0.7463954595029276,3,COL1A1
COL1A2,-0.7463954595029276,3,COL1A2
COL2A1,-0.7463954595029276,3,COL2A1
COL3A1,-0.7463954595029276,3,COL3A1
COL4A1,-0.7463954595029276,3,COL4A1
COL4A2,0.5955511344883189,4,COL4A2
COL4A4,-0.7463954595029276,3,COL4A4
COL4A6,-0.7463954595029276,3,COL4A6
COL5A1,-0.7463954595029276,3,COL5A1
COL5A2,-0.7463954595029276,3,COL5A2
COL5A3,-0.6924595430602694,4,COL5A3
COL6A1,-0.7463954595029276,3,COL6A1
COMP,-0.7463954595029276,3,COMP
COPS5,0.9063320179803875,2,COPS5
CR2,0.8676797985292292,4,CR2
CRADD,0.579652862679202,4,CRADD
CREB1,1.1392547821130894,1,CREB1
CREB3L1,2.7014194508028146,0,CREB3L1
CREBBP,-2.0544896188490136,2,CREBBP
CREM,-0.7911573802253762,1,CREM
CRKL,0.9192482740524615,3,CRKL
CRTC2,1.3279218078368458,2,CRTC2
CSF1,-0.6733966432797769,4,CSF1
CSF1R,-0.726422962431516,3,CSF1R
CSMD1,-0.96591962916904,2,CSMD1
CSNK1A1,1.870396839483443,2,CSNK1A1
CSNK1A1L,-0.96591962916904,2,CSNK1A1L
CSNK1E,0.96591962916904,2,CSNK1E
CSNK1G1,0.3669011876727241,3,CSNK1G1
CSNK1G2,0.96591962916904,2,CSNK1G2
CSNK1G3,1.4293733180858215,3,CSNK1G3
CSNK2A1,-1.1950449963267944,1,CSNK2A1
CSNK2A2,-1.0590547432501394,1,CSNK2A2
CSNK2B,-0.96591962916904,2,CSNK2B
CTBP1,1.0590547432501394,1,CTBP1
CTDNEP1,-1.0050634794551063,4,CTDNEP1
CTNNA3,-0.96591962916904,2,CTNNA3
CTNNB1,-1.0590547432501394,1,CTNNB1
CTSE,-1.1559421666576752,5,CTSE
CTTNBP2,-1.27401034367927,5,CTTNBP2
CTTNBP2NL,-0.9450626737642718,4,CTTNBP2NL
CUL1,0.96591962916904,2,CUL1
CUL3,0.7463954595029276,3,CUL3
CXCL17,-1.2247333844091959,5,CXCL17
CYLD,0.7195919108394242,3,CYLD
CYSLTR2,-0.6072678831593987,4,CYSLTR2
CYTH2,-0.7915130921828154,5,CYTH2
DAAM1,-0.7463954595029276,3,DAAM1
DAB2,-1.4969857615930455,2,DAB2
DAB2IP,0.96591962916904,2,DAB2IP
DAPK1,-0.7228322611640743,3,DAPK1
DAPK3,0.6589383295585768,3,DAPK3
DAXX,-0.7816823150791746,3,DAXX
DCC,1.2650631456969703,4,DCC
DDB1,1.4293733180858215,3,DDB1
DDB2,1.3279218078368458,2,DDB2
DDX17,1.0149040885761547,3,DDX17
DDX3X,1.1870323061758852,3,DDX3X
DDX5,1.4293733180858215,3,DDX5
DEF6,-0.8350653018379418,4,DEF6
DHX58,-1.0307480693646363,3,DHX58
DIABLO,-0.703626296925167,4,DIABLO
DIP2A,1.3842742009782798,4,DIP2A
DKK2,1.6004498974201111,4,DKK2
DKK4,2.445350766829386,4,DKK4
DLG4,-1.1184849423655938,5,DLG4
DLGAP1,-0.7861066907965543,5,DLGAP1
DLX5,1.2280957462578068,6,DLX5
DNAJC3,-0.6538936619107447,3,DNAJC3
DNAJC5,1.3759870773153033,4,DNAJC5
DNMT3A,-1.8131440075870808,4,DNMT3A
DOK1,1.2561276993442279,3,DOK1
DRD1,0.7705587287396819,4,DRD1
DRD2,0.7377098102398758,4,DRD2
DTL,-1.3842742009782798,4,DTL
DTX1,1.126083782720076,1,DTX1
DTX4,-1.0307480693646363,3,DTX4
DUSP10,0.9063320179803875,2,DUSP10
DUSP16,1.3009692577533394,2,DUSP16
DUSP18,0.8430663304503623,4,DUSP18
DUSP2,-0.5727496913826049,2,DUSP2
DUSP22,0.9063320179803875,2,DUSP22
DUSP26,0.9063320179803875,2,DUSP26
DUSP3,-0.9287131566922755,2,DUSP3
DUSP6,0.6461562642661919,2,DUSP6
DUSP7,0.5727496913826049,2,DUSP7
DUSP8,-0.9063320179803875,2,DUSP8
DUSP9,1.0450839976779458,2,DUSP9
DVL1,-1.6840778832912784,2,DVL1
DVL3,0.8337409200463476,3,DVL3
DYNLL1,0.7463954595029276,3,DYNLL1
DYNLL2,-1.0794722133931163,5,DYNLL2
DYRK1A,0.808844324651869,3,DYRK1A
DYRK1B,-1.1277403496178076,3,DYRK1B
DYRK3,0.6539852592422157,4,DYRK3
E2F1,1.3279218078368458,2,E2F1
E2F2,-1.3082034330961327,4,E2F2
E2F3,-1.3082034330961327,4,E2F3
E2F4,0.537816627796206,2,E2F4
E2F6,-1.4293733180858215,3,E2F6
E2F7,-0.7149266369239465,4,E2F7
EDN1,-1.1413399343788444,5,EDN1
EDN2,-0.9367435981137204,5,EDN2
EDNRA,-0.8798250351024158,4,EDNRA
EFNA2,1.2851264495885857,3,EFNA2
EFNA3,1.2851264495885857,3,EFNA3
EFNA5,1.2851264495885857,3,EFNA5
EFNB1,-0.35908938345627067,4,EFNB1
EFNB2,1.6431551876155992,3,EFNB2
EFNB3,1.2851264495885857,3,EFNB3
EGFR,0.9274918308590626,3,EGFR
EGLN2,-0.5626893348451241,4,EGLN2
EGLN3,1.4333140498325325,5,EGLN3
EHMT1,1.2851264495885857,3,EHMT1
EHMT2,-1.940837884268998,5,EHMT2
EID1,0.9063320179803875,2,EID1
EID2,0.96591962916904,2,EID2
EIF2A,-1.2674626658648633,6,EIF2A
EIF2AK2,0.537816627796206,2,EIF2AK2
EIF2AK3,0.4967256190500516,4,EIF2AK3
EIF3J,0.5368657698202149,5,EIF3J
EIF4E,-1.344330060909768,2,EIF4E
EIF4EBP1,0.3392638039198142,3,EIF4EBP1
EIF4EBP2,1.1870323061758852,3,EIF4EBP2
EIF4G2,0.4967256190500516,4,EIF4G2
ELANE,0.7031258407565654,5,ELANE
ELAVL1,1.3969933109925976,3,ELAVL1
ELOC,-1.2029743489463636,5,ELOC
EP300,-1.0025058337976624,1,EP300
EP400,0.7357055241457402,3,EP400
EPB41,1.8080757937131795,4,EPB41
EPHA2,-0.42376671840932295,4,EPHA2
EPHA4,1.18141445366859,2,EPHA4
EPHB1,-1.1770168207360876,3,EPHB1
EPHB2,0.6040320284072074,3,EPHB2
EPHB3,-0.7915130921828154,5,EPHB3
EPX,0.8141787246948391,6,EPX
ERBB2,-0.2963851212644844,2,ERBB2
ERBB3,1.0307480693646363,3,ERBB3
ERBB4,-1.0149040885761547,3,ERBB4
ERBIN,-1.7750831940861962,2,ERBIN
ERC1,-2.4921739843693755,4,ERC1
ERCC6,-1.2030937822923138,3,ERCC6
ERCC8,-0.726422962431516,3,ERCC8
EREG,0.5539374981756306,4,EREG
ESCO1,-0.4458531980555488,4,ESCO1
ESR1,1.6858093166801424,3,ESR1
ETS1,1.7761735771311298,4,ETS1
EZR,-0.6733966432797769,4,EZR
F10,-1.6778346390239416,6,F10
F11,1.1231953932546654,5,F11
F2,-1.6124107740590148,5,F2
F2RL2,-0.6784157399529885,4,F2RL2
FADD,0.6910665092470405,4,FADD
FAM107A,1.4293733180858215,3,FAM107A
FAM83G,-1.27401034367927,5,FAM83G
FAM8A1,-1.2394184197034797,6,FAM8A1
FANCC,-0.6538936619107447,3,FANCC
FAS,-0.7574725375945985,3,FAS
FASLG,-0.7030326142030784,4,FASLG
FBLIM1,-1.744724759477223,4,FBLIM1
FBXL12,-1.4293733180858215,3,FBXL12
FBXL15,1.202280540155099,3,FBXL15
FBXL17,-1.5058080689542528,5,FBXL17
FBXL2,-1.824619461897062,3,FBXL2
FBXO11,-1.4293733180858215,3,FBXO11
FBXO2,0.6245330965104058,4,FBXO2
FBXO22,1.2394184197034797,6,FBXO22
FBXO7,0.6176994524971335,4,FBXO7
FBXO9,0.9538589756529794,3,FBXO9
FBXW11,-0.51822861815628,2,FBXW11
FBXW7,0.717437604871452,3,FBXW7
FCGR3A,-0.7574725375945985,3,FCGR3A
FER,0.96591962916904,2,FER
FERMT3,-0.7463954595029276,3,FERMT3
FES,-0.726422962431516,3,FES
FFAR2,-1.428087883999544,4,FFAR2
FGA,-0.7463954595029276,3,FGA
FGF1,1.2375666906641205,4,FGF1
FGF2,0.36298072355029487,4,FGF2
FGF9,1.443661099748808,5,FGF9
FGFR1,0.8638773469422089,3,FGFR1
FGFR2,-0.3774279967016544,4,FGFR2
FGFR3,1.341995095454263,4,FGFR3
FGFR4,1.341995095454263,4,FGFR4
FGG,1.2019613146071924,4,FGG
FGR,1.0307480693646363,3,FGR
FH,1.1067145425268494,4,FH
