source,target,sign
AAK1,NUMB,1
AATK,STK39,-1
ABL1,ABL2,1
ABL1,AHSA1,1
ABL1,APBB1,1
ABL1,ATR,1
ABL1,BCR,1
ABL1,BTK,-1
ABL1,CASP9,1
ABL1,CAV1,1
ABL1,CBL,1
ABL1,CD19,1
ABL1,CDK5,1
ABL1,CEBPB,1
ABL1,CRK,-1
ABL1,CRKL,1
ABL1,CTNND1,1
ABL1,DDB2,-1
ABL1,DDX5,1
ABL1,DOK1,1
ABL1,EGFR,1
ABL1,EPHB2,1
ABL1,ERCC6,1
ABL1,ESR1,1
ABL1,GRAP,1
ABL1,HDAC2,1
ABL1,HIPK2,1
ABL1,HSPA1A,1
ABL1,IRS1,1
ABL1,JAK2,1
ABL1,JUN,1
ABL1,MAP2K6,1
ABL1,MAP3K1,1
ABL1,MAP4K1,1
ABL1,MDM2,-1
ABL1,MET,1
ABL1,MTOR,1
ABL1,MUC1,1
ABL1,NEDD9,1
ABL1,PDGFRB,1
ABL1,PLK1,1
ABL1,PRKCD,1
ABL1,PRKD1,1
ABL1,PRKDC,-1
ABL1,PSTPIP1,1
ABL1,PTPN6,1
ABL1,PXN,1
ABL1,RACK1,1
ABL1,RB1,-1
ABL1,SHC1,1
ABL1,SOS1,1
ABL1,STAT3,1
ABL1,STAT6,1
ABL1,STK3,1
ABL1,STK4,1
ABL1,TP53BP1,1
ABL1,TP73,1
ABL1,UBE3A,-1
ABL1,VAV1,1
ABL1,VAV2,1
ABL1,YAP1,1
ABL1,parent_of_ACTB1,1
ABL1,parent_of_CBL1,1
ABL1,parent_of_MAPK11_____MAPK31,1
ABL1,parent_of_RAC1-1_____RHOA-1,1
ABL1,parent_of_TP53-1,-1
ABL1,parent_of_VAV11,1
ABL2,CEBPB,1
ABL2,CRK,-1
ABL2,PDGFRB,-1
ABL2,parent_of_ACTB1,1
ABL2,parent_of_BCL2L1-1,1
ABL2,parent_of_NFKB1-1,1
ACAA2,BNIP3,-1
ACAT1,parent_of_SMAD1-1,-1
ACP1,AKT1,-1
ACP1,AKT2,-1
ACP1,AKT3,-1
ACP1,EPHA2,1
ACP1,PDGFRB,-1
ACP1,PTK2,-1
ACP1,SRC,1
ACP1,ZAP70,1
ACTB,ABL1,-1
ACTB,PLD1,-1
ACTB,parent_of_ACTB1,1
ACVR1,SMAD1,1
ACVRL1,SMAD1,1
ADA,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1_____GNB21,1
ADAM12,ITGB1,1
ADAM12,PIK3CA,1
ADAM12,SDC4,1
ADAM12,parent_of_CSK1,1
ADAM15,ITGA5,1
ADAM15,ITGB1,1
ADAM15,ITGB3,1
ADAM15,parent_of_CSK1,1
ADAM23,ITGA5,1
ADAM23,ITGB3,1
ADAM9,ITGB1,1
ADAM9,parent_of_CSK1,1
ADAM9,parent_of_CSK1_____PTK21_____SRC1,1
ADAMTS13,VWF,-1
ADCY5,CAMP,1
ADRA1A,GNA11,1
ADRA1A,GNA13,1
ADRA1A,GNAL,1
ADRA1A,GNAQ,1
ADRA1A,GNAS,1
ADRA1A,GNB2,1
ADRB2,GNAL,1
ADRB2,GNAQ,1
ADRB2,GNAS,1
ADRB2,GNB2,1
AFAP1L2,PIK3CA,1
AHSA1,HSP90AA1,1
AHSA1,HSP90AB1,1
AKAP5,PRKACA,1
AKAP8,HDAC3,1
AKT1,ADRB2,-1
AKT1,AKT1S1,-1
AKT1,AR,-1
AKT1,BAD,-1
AKT1,BAX,-1
AKT1,BRAF,-1
AKT1,BRCA1,1
AKT1,CASP9,-1
AKT1,CDK2,1
AKT1,CDKN1A,1
